x,M-cases,M-controls,F-cases,F-controls
43.0,9.91790478131164e-16,8.071979750858613e-16,1.3611517883550647e-19,6.652096830759253e-28
44.0,2.3271676306748032e-14,1.9349103025290734e-14,5.0614669201201715e-18,9.04516762351497e-26
45.0,4.608489470617086e-13,3.9099262924269437e-13,1.5857004092530655e-16,9.94299428840274e-24
46.0,7.702178357365123e-12,6.66048113699075e-12,4.185436593524347e-15,8.836093014610646e-22
47.0,1.0864109998450461e-10,9.564803208722608e-11,9.3075482268328e-14,6.348131256260288e-20
48.0,1.2933119506587234e-09,1.1579427752232408e-09,1.7438323784882546e-12,3.6870079246159755e-18
49.0,1.2994108799143409e-08,1.1818204234909769e-08,2.752638168021495e-11,1.7311904627239242e-16
50.0,1.1018796093862566e-07,1.0169313928065608e-07,3.660737170410856e-10,6.571406746265832e-15
51.0,7.88652619432066e-07,7.378146111205133e-07,4.101693454075188e-09,2.0165769875755006e-13
52.0,4.764728066043913e-06,4.514280421485643e-06,3.871983995431719e-08,5.002818431762901e-12
53.0,2.4303051443549315e-05,2.3299151882704264e-05,3.0795038199734017e-07,1.0033657400226751e-10
54.0,0.00010468523329264167,0.00010148999117135051,2.063514416685568e-06,1.6268623064007197e-09
55.0,0.00038103179841998284,0.00037344823523057397,1.1649851401861318e-05,2.1325270470453865e-08
56.0,0.001173166903396354,0.0011626696237838836,5.5415996704942196e-05,2.259965786979984e-07
57.0,0.0030617522327919585,0.0030712917285638216,0.00022212110147680017,1.9364107663117485e-06
58.0,0.006799091317156721,0.006917279986484198,0.0007503714933962165,1.3416388754081154e-05
59.0,0.01293702825774295,0.013392022858465238,0.0021375566648956144,7.51857795918584e-05
60.0,0.02135215622509096,0.022579383727569947,0.005141101288696584,0.0003410061415474403
61.0,0.031184058878689677,0.033790811639611465,0.010471607970143432,0.0012534417368340023
62.0,0.041465989690084415,0.04598515062398567,0.01819671352710741,0.0037452212141475955
63.0,0.051904590477688875,0.05837321173615012,0.027452281760003167,0.009158197218659491
64.0,0.06304110447791111,0.07067591593409457,0.037364085874697785,0.01859818187130445
65.0,0.0761079697635161,0.0833390137391021,0.049211802682587416,0.03231717500031289
66.0,0.09363480063528581,0.09830779722265098,0.06821342731086162,0.05061711932179387
67.0,0.12042807302666902,0.11961207123299501,0.10291804643484725,0.07625766145289796
68.0,0.16271128135009807,0.15199593631590302,0.16207219474544038,0.11495000177405534
69.0,0.2243765929353537,0.19765079755878112,0.2507288499703997,0.17127412294551478
70.0,0.30274438254343095,0.2541493556989022,0.3668762515642919,0.24428364208471884
71.0,0.3876060071700519,0.3165615555619467,0.4989274640400166,0.32997585408746344
72.0,0.465091369273524,0.38249512839565913,0.6262366365526809,0.4288126126800726
73.0,0.5245805932152005,0.45495457776391124,0.7261337325063126,0.5470112651673467
74.0,0.5645803479146602,0.5392158834832312,0.7855806779422657,0.6859528665463778
75.0,0.5932453716071878,0.6355275956443772,0.8077631857910562,0.829397013121118
76.0,0.6226036658918368,0.7339312602916075,0.8064507808731182,0.9443865853143525
77.0,0.6609783750479569,0.8165888351959353,0.7938308203457126,1.0
78.0,0.7093633363837741,0.8669797811286958,0.7740910173381214,0.9883294700603487
79.0,0.762402955891872,0.8789429227254442,0.7466622284736615,0.9272211483491657
80.0,0.8103318599362038,0.8583395584378477,0.7121504671562136,0.8443287526663544
81.0,0.8406612662989985,0.8171887383173905,0.6739477550548726,0.7612431134256639
82.0,0.8419644618591283,0.7664457098430085,0.6356398248527347,0.6892140466779391
83.0,0.8092845370651188,0.7121641436832439,0.5980915903369769,0.6308303398871407
84.0,0.7461180485937258,0.6548844725738739,0.5586196437773342,0.5813282318333606
85.0,0.6607882003820672,0.5911733211911534,0.5124940672635304,0.5315956979274529
86.0,0.56181884712343,0.5174961138833746,0.45599084784203137,0.47396025451471313
87.0,0.4568657459578332,0.4346737055529046,0.3892909690660018,0.406009624776195
88.0,0.35367220650854336,0.3488248827978767,0.3171059035272455,0.32976077496777917
89.0,0.2595328695033888,0.26766156114470685,0.24637564011078256,0.24961584346147983
90.0,0.17952906718504835,0.19623892923378838,0.18287474770073192,0.17211202400939277
91.0,0.11589578975632762,0.13623332319153197,0.12940072590722185,0.10539360124376193
92.0,0.06876624948105174,0.08794931791089201,0.08639030629400661,0.05600638029746814
93.0,0.03683623152287422,0.05165501062509073,0.05344682527722846,0.02535858818939058
94.0,0.017511601201243156,0.02705228362159239,0.030001974651469084,0.009653926125571997
95.0,0.007284192693589916,0.012437862903885473,0.014986528608123544,0.0030616214738020298
96.0,0.002623128894018705,0.004965225186951455,0.006559276381145975,0.0008036532774463157
97.0,0.0008116041988188975,0.001708009477887363,0.002487160518384771,0.00017380108321477943
98.0,0.00021461639541482812,0.0005036573539556026,0.0008105839560255364,3.086049996556211e-05
99.0,4.8327258612193583e-05,0.00012684734491975698,0.0002258117524093819,4.486867603361449e-06
100.0,9.243466349408108e-06,2.721290168339483e-05,5.356483780927701e-05,5.329851365673835e-07
101.0,1.4990776521543076e-06,4.963104465538735e-06,1.0789856993513461e-05,5.16321883330231e-08
