bucket,mean,stddev,size
0.0,0.3668509764643116,0.33825047801311003,276.0
1.0,0.3953510421490435,0.33731851253889805,23.0
2.0,0.3893689844329764,0.335798604798828,127.0
3.0,0.27603256351200006,0.29774011492187025,37.0
4.0,0.37467291847768996,0.3305696865406505,200.0
5.0,0.2332663941905263,0.2493471152373081,19.0
6.0,0.40236459679115216,0.34240501662165446,92.0
7.0,0.2713978453750435,0.2826089043123054,46.0
8.0,0.29203654457600003,0.30601842279032304,134.0
9.0,0.3380069770061539,0.362150190439809,13.0
10.0,0.33400198612547366,0.3196175662207891,38.0
11.0,0.21856097526799995,0.2508962091287947,20.0
12.0,0.2428412198105,0.28348401771879544,72.0
13.0,0.13358881727272726,0.174143856133603,11.0
14.0,0.233285152617,0.29032100152559354,36.0
15.0,0.16499893497230772,0.20677889139707262,26.0
16.0,0.19551785861717239,0.23925614270057718,58.0
17.0,0.05154371671400001,0.01973937583096663,9.0
18.0,0.22409031394399997,0.32627820538852725,10.0
19.0,0.12740716722,0.15339477301216264,8.0
20.0,0.15751207742692308,0.24819478389709967,26.0
21.0,0.13876984838666667,0.13936837715157568,6.0
22.0,0.18940469939500001,0.29428823336083576,14.0
23.0,0.1979544017577778,0.29964582136402695,9.0
24.0,0.17195642929789473,0.24400790279620937,19.0
25.0,0.08049782978999999,0.05057136589586634,6.0
26.0,0.07295586885142857,0.057427802632077786,7.0
27.0,0.1310282938257143,0.17480454474110516,7.0
28.0,0.08869984376,0.05686788382950087,11.0
29.0,0.11941467756400001,0.07468648513721532,5.0
30.0,0.08627084503000002,0.024423986791161475,4.0
32.0,0.09612128131777778,0.05639409841615022,9.0
33.0,0.19940204493333336,0.08728907705868817,3.0
34.0,0.113523359528,0.04289863050104147,5.0
35.0,0.06777960298,0.02210783311608295,4.0
36.0,0.10490668913333334,0.045221504755780254,3.0
37.0,0.03127121322,0.0,1.0
38.0,0.14644021720000003,0.0,1.0
40.0,,,
42.0,,,
44.0,,,
46.0,,,
