x,M-cases,M-controls,F-cases,F-controls
43.0,1.7067473000762334e-33,2.970365997634416e-44,0.03198370064705244,0.05590217087370788
44.0,3.820500364675237e-32,2.155234666120961e-42,0.036986263337748744,0.06192249994716176
45.0,8.006947853110847e-31,1.4235903327617498e-40,0.04251678018174733,0.06828171393650519
46.0,1.5711204748231443e-29,8.560149776810424e-39,0.04858496470558861,0.07495715178072697
47.0,2.8863414779737483e-28,4.6857980163614844e-37,0.05519251482355428,0.08192053985614266
48.0,4.964570316437215e-27,2.335025522888748e-35,0.06233217734963126,0.08913819190974781
49.0,7.994869075097699e-26,1.059267303141411e-33,0.06998700465067616,0.09657136482448306
50.0,1.2054155234432418e-24,4.374469260958189e-32,0.0781298564862701,0.10417676929280598
51.0,1.701601808470792e-23,1.644564982219634e-30,0.08672319423633797,0.11190722819492493
52.0,2.2489242725017853e-22,5.628369168297748e-29,0.09571920542304437,0.11971246898255132
53.0,2.7828350244335586e-21,1.7535573723125932e-27,0.10506028383826609,0.12754002996792152
54.0,3.2240058877308916e-20,4.973512930313618e-26,0.11467987509459378,0.1353362544449446
55.0,3.497034605944339e-19,1.2841400501708158e-24,0.12450367968465444,0.14304734136476896
56.0,3.5514015051423935e-18,3.018334718383275e-23,0.1344511865567683,0.1506204171785716
57.0,3.376722433329323e-17,6.458449625547365e-22,0.14443749088897775,0.15800459073861636
58.0,3.005984255602218e-16,1.2580416638996219e-20,0.15437533140019083,0.16515195205296812
59.0,2.505381107791018e-15,2.2308360027171533e-19,0.16417726646694555,0.172018476385211
60.0,1.955044584447034e-14,3.601190878912148e-18,0.17375789577355355,0.17856479775551198
61.0,1.4283522516439894e-13,5.2921301978971243e-17,0.18303602633534094,0.18475682031180266
62.0,9.770342792962862e-13,7.079796761394889e-16,0.19193667939105652,0.19056614217378978
63.0,6.257201529820349e-12,8.622177685734747e-15,0.2003928384328604,0.19597027397856107
64.0,3.751858199785879e-11,9.55914567373321e-14,0.20834684871158846,0.2009526431493964
65.0,2.1062442046043022e-10,9.64777502568232e-13,0.2157513946669336,0.20550238446174682
66.0,1.1070499584110417e-09,8.864235838385442e-12,0.2225700031843352,0.20961392732292702
67.0,5.447812375892815e-09,7.414153945771763e-11,0.22877704624451417,0.21328639980851416
68.0,2.5100007255250264e-08,5.645315909492394e-10,0.23435724491209028,0.21652287839369364
69.0,1.0827367506531425e-07,3.913105594271535e-09,0.23930470593515446,0.21932951998834194
70.0,4.372905161367885e-07,2.469232974847929e-08,0.24362155057013846,0.22171461888864458
71.0,1.6535473599502036e-06,1.4184387946960634e-07,0.24731622065975986,0.22368763523332705
72.0,5.854158987443308e-06,7.417688007002468e-07,0.25040156765864885,0.22525824324055246
73.0,1.9405130083983822e-05,3.531329573513085e-06,0.2528928446753925,0.22643544676543773
74.0,6.02250456476508e-05,1.530465159885218e-05,0.2548057285336068,0.227226806554059
75.0,0.00017500597190357153,6.0385180557859996e-05,0.2561544976991024,0.22763781810978634
76.0,0.00047616096263692075,0.00021690484032126458,0.2569504825877607,0.22767147159438114
77.0,0.0012130958337299785,0.0007093439811106342,0.25720088775387845,0.22732801603907868
78.0,0.00289400917847584,0.0021121314691031805,0.2569080618125871,0.22660493981537597
79.0,0.006465514736031943,0.0057267317283635445,0.2560692622101475,0.2254971683557347
80.0,0.013528747815654754,0.014141292698762329,0.25467693003717695,0.2239974691023082
81.0,0.026518157090566468,0.031811924715925734,0.25271945713350497,0.22209704318159731
82.0,0.04870583047008894,0.0652242503843257,0.25018239598736797,0.21978627390797373
83.0,0.08385943814871412,0.12197527954036082,0.24705003452450477,0.21705559439923067
84.0,0.13543416763521038,0.2083071804736323,0.24330723470437526,0.21389643074117182
85.0,0.2053593849513052,0.32549789981234756,0.23894141739438163,0.21030217355043798
86.0,0.2927570572091675,0.46679601110302216,0.23394456728824833,0.20626912961127955
87.0,0.39316327167084386,0.6172529129983028,0.2283151311210281,0.20179740652320846
88.0,0.49881759384373026,0.757717538804198,0.222059689977919,0.1968916868787892
89.0,0.6002128059104093,0.8714939188417634,0.21519430140634757,0.19156185415627827
90.0,0.6884589446229504,0.9496823218124735,0.2077454281379416,0.18582343991512115
91.0,0.7574595337571993,0.9915626677709698,0.199750395936951,0.17969787059387923
92.0,0.8048383533998231,1.0,0.1912573515815144,0.1732125017435491
93.0,0.8311571312993687,0.9759681899654973,0.18232472130401864,0.16640043737099702
94.0,0.837942029011372,0.9170734400082101,0.17302019824617815,0.1593001417072802
95.0,0.8257743304281879,0.8214011738660374,0.16341931286948722,0.15195485967611697
96.0,0.7936710019179718,0.6932445072230287,0.15360366133251221,0.1444118701987141
97.0,0.7401552120573535,0.5456239681098135,0.14365888250645287,0.1367216028913939
98.0,0.6653261042790298,0.39725953471449316,0.13367248388170022,0.12893665344470243
99.0,0.5726027236368387,0.26603985732518204,0.1237316199013229,0.12111073587227204
100.0,0.46903318232908237,0.16324910714546695,0.11392092345595915,0.11329761084462682
101.0,0.36393176111447967,0.09156232755055993,0.10432048298784871,0.10555002853774494
