region,ale,lrp
Right_Lateral_Ventricle,0.9109552,1.0
Left_Lateral_Ventricle,1.0,0.9771767708223494
Temporal_Pole,0.08938429,0.3578309907283906
Middle_Frontal_Gyrus,0.08138797,0.35534273535939054
Lateral_Occipital_Cortex_inferior_division,0.1437346,0.30893744062822165
Superior_Parietal_Lobule,0.06040582,0.29646482694143533
Left_Cerebral_Cortex_,0.46685478,0.22030941416960506
Right_Cerebral_Cortex_,0.460525,0.20474606325206515
Inferior_Frontal_Gyrus_pars_triangularis,0.0961763,0.18941387581710864
Supramarginal_Gyrus_anterior_division,0.03132257,0.17808092955291344
Cuneal_Cortex,0.123146065,0.13144201123396243
Frontal_Pole,0.6292626,0.0954936187865094
Insular_Cortex,0.19470794,0.09071991445146489
Subcallosal_Cortex,0.010062239,0.07809915474101357
Left_Cerebral_White_Matter,0.076333,0.054106319523084964
Angular_Gyrus,0.06817518,0.04350897808938973
Lateral_Occipital_Cortex_superior_division,0.09011811,0.03672079881708549
Supramarginal_Gyrus_posterior_division,0.019634698,0.02876253666048548
Intracalcarine_Cortex,0.0721427,0.0262729717434339
Cingulate_Gyrus_anterior_division,0.0555931,0.024775372632821403
Precuneous_Cortex,0.067744724,0.02083384642674061
Frontal_Orbital_Cortex,0.009330867,0.016956852516400542
Cingulate_Gyrus_posterior_division,0.047037225,0.015414803174424695
Frontal_Operculum_Cortex,0.026661696,0.014593670580014316
Superior_Temporal_Gyrus_anterior_division,0.16209157,0.014115226096162753
Temporal_Fusiform_Cortex_anterior_division,0.03227056,0.008630321499703204
Parahippocampal_Gyrus_anterior_division,0.10631625,0.0060827871573960815
Frontal_Medial_Cortex,0.018481191,0.005953040706225303
Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),0.0278333,0.005160979247251071
Inferior_Frontal_Gyrus_pars_opercularis,0.027278407,0.004636741552517376
Inferior_Temporal_Gyrus_temporooccipital_part,0.045475613,0.0031020518462341468
Inferior_Temporal_Gyrus_posterior_division,0.023068102,0.002367472180675369
Precentral_Gyrus,0.03637779,0.0022130480541838454
Left_Hippocampus,0.03667926,0.0019670503623618004
Temporal_Occipital_Fusiform_Cortex,0.05080005,0.0013972102427441486
Middle_Temporal_Gyrus_posterior_division,0.019921657,0.001208889202090203
Temporal_Fusiform_Cortex_posterior_division,0.03818675,0.0011648687703302832
Paracingulate_Gyrus,0.04402977,0.0009905975367249331
Middle_Temporal_Gyrus_temporooccipital_part,0.09731184,0.0009179544960027507
Occipital_Pole,0.00544555,0.0009179249625072013
Postcentral_Gyrus,0.026210489,0.0008814303888215138
Parahippocampal_Gyrus_posterior_division,0.14616351,0.0007633351208505102
Planum_Polare,0.02250228,0.0006943741579473516
Central_Opercular_Cortex,0.025019737,0.0006682847745607908
Occipital_Fusiform_Gyrus,0.01582346,0.0005923787170126616
Superior_Frontal_Gyrus,0.11144766,0.0005474632998437452
Left_Thalamus,0.0105909435,0.00017093472244687592
Right_Thalamus,0.011162253,0.00014704569339516003
Superior_Temporal_Gyrus_posterior_division,0.018136714,0.00014139906306420865
Heschl's_Gyrus_(includes_H1_and_H2),0.035697512,0.00011796011755764132
Lingual_Gyrus,0.066292666,0.00010203937275423045
Right_Putamen,0.01876036,7.423237485845625e-05
Parietal_Operculum_Cortex,0.04190586,7.124195587870254e-05
Left_Amygdala,0.06335533,6.32497716135885e-05
Right_Amygdala,0.06167738,5.8418060877334934e-05
Left_Putamen,0.01625774,5.055081923172296e-05
Middle_Temporal_Gyrus_anterior_division,0.039310187,3.675561825029953e-05
Inferior_Temporal_Gyrus_anterior_division,0.0595206,3.5612062886676576e-05
Left_Accumbens,0.038091153,3.182122500668539e-05
Right_Accumbens,0.042088494,3.042487989391801e-05
Right_Pallidum,0.016763326,2.9943468495015597e-05
Left_Pallidum,0.015860714,1.6401190109446947e-05
Right_Cerebral_White_Matter,0.003415829,5.503325464356365e-06
Supracalcarine_Cortex,0.021331267,1.0639616226450495e-06
Right_Hippocampus,0.0034280338,7.178084873480161e-07
Right_Caudate,0.027187068,2.8727385814840136e-07
Brain-Stem,0.005221432,2.3288855977554406e-07
Left_Caudate,0.036254443,1.3535987083774656e-08
Planum_Temporale,0.013852857,3.294607186026306e-10
