region,ale,lrp
Parahippocampal_Gyrus_anterior_division,0.5189383,1.0
Right_Lateral_Ventricle,0.55468184,1.0
Superior_Temporal_Gyrus_anterior_division,0.62617904,0.9699849465964954
Frontal_Pole,1.0,0.8847108699614468
Left_Cerebral_White_Matter,0.21932149,0.8847108699614468
Right_Cerebral_Cortex_,0.6835392,0.654176134094752
Cingulate_Gyrus_posterior_division,0.21853386,0.6404482044846324
Right_Thalamus,0.3601713,0.557545208012361
Paracingulate_Gyrus,0.29092434,0.5204929461901655
Left_Cerebral_Cortex_,0.8651283,0.5104781208591831
Left_Lateral_Ventricle,0.57825816,0.49057621214349156
Left_Hippocampus,0.26781324,0.48522698730407343
Temporal_Occipital_Fusiform_Cortex,0.5903914,0.4788753079466583
Right_Putamen,0.4126901,0.46847099643456835
Superior_Frontal_Gyrus,0.70070463,0.45003458980087135
Postcentral_Gyrus,0.19753541,0.4274447125562956
Central_Opercular_Cortex,0.27949435,0.42288708271856257
Inferior_Temporal_Gyrus_temporooccipital_part,0.39991048,0.4164538265698002
Inferior_Temporal_Gyrus_posterior_division,0.36319503,0.36861452944841944
Cingulate_Gyrus_anterior_division,0.24651465,0.343302187864478
Occipital_Fusiform_Gyrus,0.21551877,0.34302429972645976
Frontal_Operculum_Cortex,0.17600976,0.33952758559002755
Temporal_Fusiform_Cortex_anterior_division,0.49686047,0.30630529272581336
Left_Thalamus,0.5441099,0.30622840157906794
Parahippocampal_Gyrus_posterior_division,0.89693356,0.30538791102915586
Intracalcarine_Cortex,0.29399434,0.2913527217777324
Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),0.25882253,0.2846010376451118
Middle_Frontal_Gyrus,0.2695412,0.2768899087350017
Insular_Cortex,0.27149722,0.2751969008833494
Middle_Temporal_Gyrus_temporooccipital_part,0.5174252,0.27372924086297634
Inferior_Frontal_Gyrus_pars_opercularis,0.21770549,0.2649942687322267
Parietal_Operculum_Cortex,0.36022565,0.25828708903334646
Temporal_Fusiform_Cortex_posterior_division,0.57825816,0.252783178669181
Right_Accumbens,1.0,0.2521778061124088
Left_Putamen,0.29781514,0.25169474701923356
Heschl's_Gyrus_(includes_H1_and_H2),0.37530148,0.2486650654199895
Right_Caudate,0.3621393,0.24789743343160223
Middle_Temporal_Gyrus_posterior_division,0.3449987,0.245919571496219
Left_Caudate,0.4848431,0.23788959749232974
Precentral_Gyrus,0.3354796,0.21535223809477597
Superior_Temporal_Gyrus_posterior_division,0.37236908,0.16657296038634223
Right_Hippocampus,0.19331823,0.1632784908444658
Cuneal_Cortex,0.4443048,0.16240100333563653
Inferior_Temporal_Gyrus_anterior_division,0.35117006,0.16066410038892873
Left_Accumbens,0.9639045,0.15701366681779744
Lingual_Gyrus,0.6943321,0.15367484401886058
Right_Amygdala,0.97739244,0.15254720620474863
Precuneous_Cortex,0.4280203,0.14351089497294847
Right_Pallidum,0.3987618,0.1424002036911994
Planum_Temporale,0.34534812,0.1396865305175794
Inferior_Frontal_Gyrus_pars_triangularis,0.32967642,0.13724875765654812
Middle_Temporal_Gyrus_anterior_division,0.4530654,0.13377982372794542
Frontal_Medial_Cortex,0.2589051,0.1212693632363816
Brain-Stem,0.23286031,0.11264791769603409
Left_Pallidum,0.53450024,0.11243936318120548
Left_Amygdala,0.945384,0.10824320242372673
Temporal_Pole,0.27067533,0.10504043838581148
Right_Cerebral_White_Matter,0.28661728,0.08510358158029536
Subcallosal_Cortex,0.19594605,0.08060459206932508
Lateral_Occipital_Cortex_inferior_division,0.30209133,0.07529094187487458
Lateral_Occipital_Cortex_superior_division,0.48216352,0.07111447689763918
Supracalcarine_Cortex,0.33474472,0.06832311751219866
Angular_Gyrus,0.33942574,0.05067252905175053
Frontal_Orbital_Cortex,0.17276508,0.03641629941687121
Superior_Parietal_Lobule,0.30327165,0.03623632523332195
Occipital_Pole,0.17799337,0.03387327836229176
Planum_Polare,0.21690583,0.02109155969925236
Supramarginal_Gyrus_posterior_division,0.2971377,0.019573336498211143
Supramarginal_Gyrus_anterior_division,0.22756872,0.008318353930148428
