region,ale,lrp
Supramarginal_Gyrus_anterior_division,0.062932394,1.0
Middle_Frontal_Gyrus,0.07784999,0.9499734150757144
Subcallosal_Cortex,0.04007977,0.8694459400502349
Superior_Parietal_Lobule,0.05188364,0.7116894157630775
Temporal_Pole,0.057803225,0.6467470825589544
Inferior_Frontal_Gyrus_pars_triangularis,0.09936989,0.5469709174009145
Lateral_Occipital_Cortex_inferior_division,0.088543385,0.5319012114778499
Cuneal_Cortex,0.13894193,0.4144886259903516
Right_Lateral_Ventricle,0.09300553,0.28534971248108354
Left_Lateral_Ventricle,0.10253487,0.28003375211410314
Angular_Gyrus,0.14835966,0.26462696917674644
Supramarginal_Gyrus_posterior_division,0.061923854,0.25352842038749884
Lateral_Occipital_Cortex_superior_division,0.21455011,0.24433993449522173
Frontal_Orbital_Cortex,0.04654112,0.2363881667607014
Left_Cerebral_Cortex_,0.12965302,0.17100135441944217
Right_Cerebral_Cortex_,0.12745349,0.15837248144109772
Cingulate_Gyrus_anterior_division,0.12504824,0.1557551957349991
Precuneous_Cortex,0.13283037,0.11417131822562168
Frontal_Operculum_Cortex,0.06630792,0.10143967326773376
Cingulate_Gyrus_posterior_division,0.10373304,0.09501213388839638
Insular_Cortex,0.06940342,0.09037857127901686
Intracalcarine_Cortex,0.08708187,0.08863602308755678
Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),0.16075455,0.08330985243982172
Frontal_Medial_Cortex,0.07407421,0.06668706666117213
Occipital_Pole,0.11150374,0.05253158624616887
Inferior_Frontal_Gyrus_pars_opercularis,0.10141785,0.0481807960072821
Inferior_Temporal_Gyrus_posterior_division,0.1596785,0.04580207624652265
Superior_Temporal_Gyrus_anterior_division,0.18195465,0.04428495914729823
Temporal_Fusiform_Cortex_anterior_division,0.053834338,0.0402388446341675
Parahippocampal_Gyrus_anterior_division,0.18821338,0.03009671549269339
Temporal_Fusiform_Cortex_posterior_division,0.2797653,0.023851943734112094
Precentral_Gyrus,0.1372193,0.02333110808495539
Middle_Temporal_Gyrus_posterior_division,0.124885626,0.021180644022917815
Inferior_Temporal_Gyrus_temporooccipital_part,0.0989034,0.01885590584508909
Central_Opercular_Cortex,0.22540987,0.016827414715155902
Temporal_Occipital_Fusiform_Cortex,0.15606476,0.011996875833331458
Paracingulate_Gyrus,0.18687114,0.011750565169034829
Planum_Polare,0.12303018,0.010610707903320011
Postcentral_Gyrus,0.09152651,0.008602515165615061
Occipital_Fusiform_Gyrus,0.05805757,0.006074667167452
Parahippocampal_Gyrus_posterior_division,0.4154825,0.006064495174314341
Left_Hippocampus,0.038544577,0.005777285967291865
Middle_Temporal_Gyrus_temporooccipital_part,0.19798072,0.005219681874210768
Left_Thalamus,0.07959437,0.003590406870031909
Right_Putamen,0.3176806,0.0035132455817129286
Right_Thalamus,0.094177715,0.003467482445404608
Superior_Temporal_Gyrus_posterior_division,0.15809956,0.003444960693041083
Superior_Frontal_Gyrus,0.24796306,0.003404369548882285
Frontal_Pole,0.007950129,0.0033719586112414377
Heschl's_Gyrus_(includes_H1_and_H2),0.27679136,0.0025563213573160885
Left_Putamen,0.28771138,0.0025002917465755223
Left_Accumbens,1.0,0.002334847210504371
Left_Cerebral_White_Matter,0.0010260082,0.0020326010895164344
Left_Amygdala,0.7194649,0.002007479377682027
Right_Amygdala,0.6991604,0.0018508178478212401
Right_Accumbens,0.9148846,0.001848406631796027
Right_Cerebral_White_Matter,0.31576085,0.0014218475201884016
Lingual_Gyrus,0.31231377,0.0013435663814353076
Right_Pallidum,0.18313348,0.0009142719114191263
Parietal_Operculum_Cortex,0.14860663,0.0007060979332546433
Left_Pallidum,0.17327277,0.0005007819128705356
Middle_Temporal_Gyrus_anterior_division,0.15900864,0.00041553252384061474
Inferior_Temporal_Gyrus_anterior_division,0.166012,0.00027760994115500604
Right_Hippocampus,0.11311054,6.619607756327495e-05
Brain-Stem,0.1710735,2.1325878103949894e-05
Supracalcarine_Cortex,0.12210137,1.7021408408414918e-05
Right_Caudate,0.16985233,5.0161546202714305e-06
Left_Caudate,0.22054681,2.3014159953195448e-07
Planum_Temporale,0.15912342,1.0577037857550624e-08
