region,ale,lrp
Left_Lateral_Ventricle,1.0,1.0
Right_Lateral_Ventricle,0.9109552,0.9652225631084836
Frontal_Pole,0.6292626,0.9357806789657538
Insular_Cortex,0.19470794,0.5226558692600222
Left_Cerebral_White_Matter,0.076333,0.4937141750831111
Right_Cerebral_Cortex_,0.460525,0.3973944296488605
Left_Cerebral_Cortex_,0.46685478,0.3491739313098241
Superior_Temporal_Gyrus_anterior_division,0.16209157,0.20514366517801494
Middle_Frontal_Gyrus,0.08138797,0.138194113872355
Parahippocampal_Gyrus_anterior_division,0.10631625,0.13011655065445168
Left_Hippocampus,0.03667926,0.12440085085083945
Cingulate_Gyrus_anterior_division,0.0555931,0.12315131726619555
Intracalcarine_Cortex,0.0721427,0.10619780530179405
Inferior_Temporal_Gyrus_temporooccipital_part,0.045475613,0.0991207919552802
Cingulate_Gyrus_posterior_division,0.047037225,0.09687841086508611
Inferior_Frontal_Gyrus_pars_triangularis,0.0961763,0.08953965579517129
Middle_Temporal_Gyrus_temporooccipital_part,0.09731184,0.061196063408027135
Superior_Frontal_Gyrus,0.11144766,0.05838349898173411
Temporal_Fusiform_Cortex_anterior_division,0.03227056,0.054511282515110476
Paracingulate_Gyrus,0.04402977,0.05011277757621025
Postcentral_Gyrus,0.026210489,0.049950256544676386
Frontal_Operculum_Cortex,0.026661696,0.04894064303407485
Parahippocampal_Gyrus_posterior_division,0.14616351,0.0486839575909791
Temporal_Occipital_Fusiform_Cortex,0.05080005,0.0465772653671113
Inferior_Frontal_Gyrus_pars_opercularis,0.027278407,0.0426345336307866
Inferior_Temporal_Gyrus_anterior_division,0.0595206,0.040286703850033835
Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),0.0278333,0.03556540040330776
Inferior_Temporal_Gyrus_posterior_division,0.023068102,0.035210207855758166
Temporal_Pole,0.08938429,0.031987070730825004
Occipital_Fusiform_Gyrus,0.01582346,0.031065683999515037
Precentral_Gyrus,0.03637779,0.027985488653472737
Lateral_Occipital_Cortex_inferior_division,0.1437346,0.02682538778836658
Middle_Temporal_Gyrus_posterior_division,0.019921657,0.026509046711848182
Heschl's_Gyrus_(includes_H1_and_H2),0.035697512,0.022658090732159263
Temporal_Fusiform_Cortex_posterior_division,0.03818675,0.02198039229717777
Lingual_Gyrus,0.066292666,0.019768721930527672
Right_Thalamus,0.011162253,0.019495985877668175
Parietal_Operculum_Cortex,0.04190586,0.01823802818579345
Central_Opercular_Cortex,0.025019737,0.0170498648687359
Right_Putamen,0.01876036,0.016335190625624888
Left_Thalamus,0.0105909435,0.01596435311721229
Right_Caudate,0.027187068,0.01537661156540585
Middle_Temporal_Gyrus_anterior_division,0.039310187,0.012835612791871948
Superior_Temporal_Gyrus_posterior_division,0.018136714,0.012567583728305718
Subcallosal_Cortex,0.010062239,0.012045044755375593
Frontal_Medial_Cortex,0.018481191,0.012036023728596256
Left_Caudate,0.036254443,0.011819381680944024
Cuneal_Cortex,0.123146065,0.010412933534339043
Precuneous_Cortex,0.067744724,0.010092006486979672
Left_Putamen,0.01625774,0.008861931818362914
Supracalcarine_Cortex,0.021331267,0.008426182065818749
Right_Amygdala,0.06167738,0.008322819887065368
Superior_Parietal_Lobule,0.06040582,0.007769536607203101
Right_Pallidum,0.016763326,0.0073092931616508755
Lateral_Occipital_Cortex_superior_division,0.09011811,0.007112042871308637
Left_Amygdala,0.06335533,0.006478505119076887
Angular_Gyrus,0.06817518,0.0063028537157278205
Right_Accumbens,0.042088494,0.006261174916654037
Planum_Temporale,0.013852857,0.0056664880457460804
Frontal_Orbital_Cortex,0.009330867,0.005580542489410267
Left_Pallidum,0.015860714,0.005269929108267819
Right_Hippocampus,0.0034280338,0.0039079798905796645
Left_Accumbens,0.038091153,0.0038128351649515087
Brain-Stem,0.005221432,0.002651579566589256
Planum_Polare,0.02250228,0.002089392661689373
Supramarginal_Gyrus_posterior_division,0.019634698,0.0017854019676830728
Supramarginal_Gyrus_anterior_division,0.03132257,0.0012708370069577253
Right_Cerebral_White_Matter,0.003415829,0.001149026328749112
Occipital_Pole,0.00544555,0.0010402733072738782
