X,y
41,4591956.035571022
34,3475672.241959615
30,3153959.8875728515
64,5891532.092559607
69,6453402.436372733
83,7503418.458350396
59,5666323.065546799
50,4730941.232747837
56,5269289.97817679
38,4020264.4935212065
74,6921203.138742257
70,6440045.31740925
58,5216202.026493598
60,5290813.915683781
85,7337848.543143878
88,7994015.907380104
81,7211427.603631335
76,6880278.87110482
66,6221928.199859562
79,7272563.631306761
63,5520047.5138144065
55,5322310.447383269
30,3182009.998371193
31,3471271.729624375
45,4580233.2488869745
56,5344016.936377226
84,7832205.146601845
63,5539262.7330621425
80,7640667.930104724
71,6400576.638901541
36,3791447.858362136
46,4460184.382188709
47,4692464.570116333
41,4091348.250316565
49,4410089.477941043
61,5510219.128058719
57,5170274.023513434
47,4426368.998626707
89,7887096.55171391
72,6922409.636602323
63,5956004.106865103
45,4161778.249003062
70,6478752.920823646
87,7823096.205701591
63,5772758.218402542
81,7476845.55736818
70,6543376.116287162
37,3735939.405126382
75,6825289.22308831
55,5254618.695777002
30,3245328.173556704
70,6563373.697855998
71,6183193.610723175
35,3881482.5965322545
64,6207815.031413512
73,6588227.660269601
89,8026819.04815559
35,3577204.6991639864
30,2891162.201093234
79,6984107.865496408
72,6721346.369013256
64,5981480.402805542
34,3459566.8873509406
88,7902389.580089122
85,7877450.006435578
71,6396172.7316836715
37,3375348.0434941296
61,5411932.19677454
34,3371984.7140202685
75,6893529.715432963
85,7694961.685749711
78,7048414.502694741
75,7010552.397444149
73,6436229.669016176
73,6841905.478106632
79,7222830.795989225
70,6491826.01761746
33,3394347.879420812
40,3693349.9811114143
63,5953639.218090971
78,7178848.522541407
61,5699952.110523966
86,7750657.884908073
71,6736607.338564419
68,6438732.110246292
86,8231917.429926332
61,5899176.952065967
60,5676026.321912721
49,4680201.5782242045
69,5848816.513510295
52,4781019.733537397
54,5179957.838852893
66,6069220.782754742
44,4480469.603046967
47,4663987.667580273
80,7383872.152563331
69,6398409.239185385
36,3194709.9549313625
39,3997880.202092462
81,7404833.381850677
42,4286264.354899413
83,7574625.485537699
57,4972224.648732381
38,4008873.5180479605
71,6745252.836376682
80,7023946.50601832
81,7745814.371245863
40,3690640.0302358386
44,4015757.38880616
61,5289147.287695822
82,7346643.948682199
72,6648984.479015009
79,7387593.40921497
30,3064446.3895249953
53,5082923.697229704
31,3296161.0602162164
33,3303859.6664097435
57,5502105.093549731
88,7804203.914711486
63,5916351.809006572
87,7719595.963067641
47,4698010.4349723235
67,6233902.746244874
81,7153625.716857158
54,5356738.5387272835
49,4584073.073399912
39,3603461.9430962973
42,4041563.957924649
51,4917153.150821294
84,7709231.801299308
82,7426710.3153180005
33,3512741.53558977
78,6678260.714218018
88,7784077.785761759
41,4015104.5592680564
53,4949612.636084692
66,6092563.870200304
84,7653143.702873082
63,6175703.384645774
61,5818619.22168777
70,6376874.371663031
63,5866456.838098246
38,3884871.580541265
58,5135620.91354131
87,8334164.635092187
72,6772237.16250503
38,3869354.2468651403
31,3368156.616651635
47,4711729.370926207
46,4697106.011765322
78,7058458.930156613
82,7443002.1770959105
62,5760753.635922241
61,5872701.666824043
30,3499853.7920316085
43,4182060.850560527
31,3318014.1755510047
88,7755036.870083027
89,7829186.579510917
46,4378356.437537138
58,5634994.988254471
42,4170308.550203547
68,6360031.884628702
68,6243998.594183281
73,6861667.5269369865
31,3276070.7311745365
58,5532667.22090746
51,4719535.377344006
77,6961158.311420938
70,6418230.770531368
74,6631381.189438621
44,4191345.0469311783
42,3930779.645459684
76,6911558.48219854
77,7058947.37289206
73,6695825.339804403
48,4405587.741710771
87,7944809.697549072
73,6738975.345574815
84,8028285.493042989
48,4691036.8651691815
69,6720847.523075724
37,3650518.990750311
86,7770806.8086574
49,4733515.6961279465
43,4545136.849325666
31,3367366.9145595944
61,5841759.07364821
49,4522028.760060612
34,3315297.1520903157
58,5332573.641728842
48,4314636.903790114
40,4043685.722880646
32,3351413.289422381
52,4824042.971007251
49,4467093.915681415
64,5744263.364176885
30,3555983.096222975
64,6034663.811456728
82,7484996.374623458
80,7101696.5549390605
70,6483660.801434728
82,7310004.281120418
69,6566275.7593508
70,6412460.981338458
72,6376854.844648598
84,7638095.96250116
70,6558337.427624833
73,6695858.0800565705
88,8221470.777443656
44,4235365.962405425
42,4186188.144301251
30,3156691.808406897
42,4397231.478621533
41,3954292.719077179
49,4697854.325966456
30,3350404.197147092
77,7138898.1098791845
38,3680102.637222038
38,3947838.631108458
68,5972202.894696838
46,4705883.997301836
57,5810058.049639475
33,3149153.9039193112
63,5928482.8186035
33,3323494.1137997275
41,3968482.0523865065
58,5237396.871892775
51,5137837.457579332
50,4851728.275590472
51,5406292.155031263
68,6464903.591446927
87,8209331.035736665
73,6508284.847320791
67,6049407.233071775
36,3728967.7244830066
47,4739281.364968073
