region,ale,lrp
Lateral_Occipital_Cortex_inferior_division,0.30209133,1.0
Left_Lateral_Ventricle,0.57825816,1.0
Inferior_Frontal_Gyrus_pars_triangularis,0.32967642,0.9403928603126419
Middle_Frontal_Gyrus,0.2695412,0.9346864899607906
Right_Lateral_Ventricle,0.55468184,0.879303884535981
Superior_Parietal_Lobule,0.30327165,0.8482163067295123
Frontal_Pole,1.0,0.8477542929977868
Temporal_Pole,0.27067533,0.8057145403313927
Cuneal_Cortex,0.4443048,0.8008178459609593
Supramarginal_Gyrus_anterior_division,0.22756872,0.799147000769831
Lateral_Occipital_Cortex_superior_division,0.48216352,0.7720365052651497
Angular_Gyrus,0.33942574,0.7607063161336733
Left_Cerebral_Cortex_,0.8651283,0.7309136710415315
Insular_Cortex,0.27149722,0.7300195176726514
Right_Cerebral_Cortex_,0.6835392,0.723290982959251
Supramarginal_Gyrus_posterior_division,0.2971377,0.719666857016963
Subcallosal_Cortex,0.19594605,0.6793811487353651
Frontal_Orbital_Cortex,0.17276508,0.6595353619020761
Left_Cerebral_White_Matter,0.21932149,0.5685841629096765
Cingulate_Gyrus_anterior_division,0.24651465,0.4673627939409817
Precuneous_Cortex,0.4280203,0.28667828519548877
Cingulate_Gyrus_posterior_division,0.21853386,0.2684035528164903
Intracalcarine_Cortex,0.29399434,0.2012524951438596
Frontal_Operculum_Cortex,0.17600976,0.18215279105376547
Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),0.25882253,0.15163759536989174
Superior_Temporal_Gyrus_anterior_division,0.62617904,0.14614665343380903
Temporal_Fusiform_Cortex_anterior_division,0.49686047,0.14415117543892358
Frontal_Medial_Cortex,0.2589051,0.11205280412537456
Parahippocampal_Gyrus_anterior_division,0.5189383,0.1066384360002959
Precentral_Gyrus,0.3354796,0.10658640329058423
Planum_Polare,0.21690583,0.1013274332366336
Occipital_Pole,0.17799337,0.09864479863269933
Inferior_Frontal_Gyrus_pars_opercularis,0.21770549,0.09735351861287579
Middle_Temporal_Gyrus_anterior_division,0.4530654,0.08454948531636819
Inferior_Temporal_Gyrus_posterior_division,0.36319503,0.0627832038003484
Inferior_Temporal_Gyrus_temporooccipital_part,0.39991048,0.06042490355403407
Paracingulate_Gyrus,0.29092434,0.05947155367803824
Middle_Temporal_Gyrus_posterior_division,0.3449987,0.0547039885870257
Central_Opercular_Cortex,0.27949435,0.042875231557988856
Middle_Temporal_Gyrus_temporooccipital_part,0.5174252,0.036726352117218156
Right_Thalamus,0.3601713,0.03423250559314014
Left_Thalamus,0.5441099,0.03294597109189732
Temporal_Occipital_Fusiform_Cortex,0.5903914,0.03278095913251815
Temporal_Fusiform_Cortex_posterior_division,0.57825816,0.03200408136438494
Postcentral_Gyrus,0.19753541,0.025324339334614334
Occipital_Fusiform_Gyrus,0.21551877,0.020972655865561848
Parietal_Operculum_Cortex,0.36022565,0.01997802396739924
Superior_Frontal_Gyrus,0.70070463,0.019112001573889013
Left_Putamen,0.29781514,0.017510379136381912
Right_Putamen,0.4126901,0.017380465098992527
Superior_Temporal_Gyrus_posterior_division,0.37236908,0.016174020270969872
Heschl's_Gyrus_(includes_H1_and_H2),0.37530148,0.011905942513560667
Parahippocampal_Gyrus_posterior_division,0.89693356,0.011834126675179918
Left_Hippocampus,0.26781324,0.011066484315638272
Lingual_Gyrus,0.6943321,0.00819306184366824
Supracalcarine_Cortex,0.33474472,0.0075771949628071706
Inferior_Temporal_Gyrus_anterior_division,0.35117006,0.006571980713568485
Right_Amygdala,0.97739244,0.005160310619543095
Left_Amygdala,0.945384,0.004596960392569962
Right_Accumbens,1.0,0.004460897098293705
Left_Accumbens,0.9639045,0.0044588620990242325
Right_Pallidum,0.3987618,0.003212340258615458
Left_Pallidum,0.53450024,0.0014889884389254027
Right_Cerebral_White_Matter,0.28661728,0.0012768831532544132
Right_Caudate,0.3621393,0.0005474861616339816
Right_Hippocampus,0.19331823,0.0004465966889172479
Brain-Stem,0.23286031,0.00025087911785129905
Left_Caudate,0.4848431,0.00010283171519863002
Planum_Temporale,0.34534812,1.260880135354343e-05
