region,ale,lrp
Superior_Temporal_Gyrus_anterior_division,0.62617904,1.0
Right_Lateral_Ventricle,0.55468184,1.0
Frontal_Pole,1.0,0.9680560760963194
Left_Lateral_Ventricle,0.57825816,0.9451895479483592
Left_Cerebral_Cortex_,0.8651283,0.9084451285595553
Left_Hippocampus,0.26781324,0.8742315104409447
Parahippocampal_Gyrus_anterior_division,0.5189383,0.8204916715887941
Inferior_Temporal_Gyrus_posterior_division,0.36319503,0.7144653973993513
Temporal_Fusiform_Cortex_posterior_division,0.57825816,0.7072322585070664
Left_Cerebral_White_Matter,0.21932149,0.7035167166124422
Temporal_Occipital_Fusiform_Cortex,0.5903914,0.6606468890194698
Insular_Cortex,0.27149722,0.6444904498973515
Inferior_Temporal_Gyrus_temporooccipital_part,0.39991048,0.5880836272798492
Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),0.25882253,0.5028893140197378
Middle_Temporal_Gyrus_posterior_division,0.3449987,0.5008132127672412
Parahippocampal_Gyrus_posterior_division,0.89693356,0.47118809585686194
Right_Cerebral_Cortex_,0.6835392,0.43295621024002984
Paracingulate_Gyrus,0.29092434,0.41589102289541635
Middle_Temporal_Gyrus_temporooccipital_part,0.5174252,0.40866242937192165
Heschl's_Gyrus_(includes_H1_and_H2),0.37530148,0.40791286377504965
Superior_Temporal_Gyrus_posterior_division,0.37236908,0.374421464644478
Left_Amygdala,0.945384,0.297182216593153
Left_Accumbens,0.9639045,0.26719680975781335
Middle_Temporal_Gyrus_anterior_division,0.4530654,0.2366141535061611
Cingulate_Gyrus_posterior_division,0.21853386,0.2283195164142765
Superior_Frontal_Gyrus,0.70070463,0.22412537880017447
Inferior_Frontal_Gyrus_pars_opercularis,0.21770549,0.21950121434093361
Cingulate_Gyrus_anterior_division,0.24651465,0.21738674853338952
Precuneous_Cortex,0.4280203,0.2115912366905118
Lingual_Gyrus,0.6943321,0.20223992216868034
Left_Caudate,0.4848431,0.18913518681425845
Right_Amygdala,0.97739244,0.18380416097780566
Left_Pallidum,0.53450024,0.17282647955380234
Right_Caudate,0.3621393,0.17184486883265235
Right_Cerebral_White_Matter,0.28661728,0.1586520868223614
Right_Accumbens,1.0,0.1581062986102159
Postcentral_Gyrus,0.19753541,0.15664916195187023
Left_Putamen,0.29781514,0.15587241107878178
Left_Thalamus,0.5441099,0.15539905252135003
Cuneal_Cortex,0.4443048,0.15380362105009246
Brain-Stem,0.23286031,0.1477437811227907
Temporal_Fusiform_Cortex_anterior_division,0.49686047,0.13932614858593428
Occipital_Fusiform_Gyrus,0.21551877,0.13622241357132617
Intracalcarine_Cortex,0.29399434,0.12151044669867968
Supracalcarine_Cortex,0.33474472,0.12069327373284441
Central_Opercular_Cortex,0.27949435,0.117286184343119
Occipital_Pole,0.17799337,0.11692207496122384
Frontal_Operculum_Cortex,0.17600976,0.11418123501824076
Right_Thalamus,0.3601713,0.11150493750788273
Planum_Temporale,0.34534812,0.10642040884999568
Planum_Polare,0.21690583,0.1050302023268826
Right_Pallidum,0.3987618,0.09398468958732853
Right_Putamen,0.4126901,0.08284076000832345
Parietal_Operculum_Cortex,0.36022565,0.07594691507260948
Right_Hippocampus,0.19331823,0.07373704445416046
Angular_Gyrus,0.33942574,0.06993530779960636
Temporal_Pole,0.27067533,0.06649880662517027
Inferior_Temporal_Gyrus_anterior_division,0.35117006,0.06154293860802952
Frontal_Medial_Cortex,0.2589051,0.05735940073132909
Precentral_Gyrus,0.3354796,0.05476879790800892
Subcallosal_Cortex,0.19594605,0.04510522360984103
Lateral_Occipital_Cortex_superior_division,0.48216352,0.044733367369791964
Middle_Frontal_Gyrus,0.2695412,0.043579155555705594
Superior_Parietal_Lobule,0.30327165,0.033542753248763116
Frontal_Orbital_Cortex,0.17276508,0.032303021376641365
Supramarginal_Gyrus_posterior_division,0.2971377,0.03137509509617223
Lateral_Occipital_Cortex_inferior_division,0.30209133,0.02872454523786397
Supramarginal_Gyrus_anterior_division,0.22756872,0.026777737261162976
Inferior_Frontal_Gyrus_pars_triangularis,0.32967642,0.02491967297395795
