hbn,adhd200-hc,ping,abide-hc,abide2-hc,ds000119,slim,beijing-enhanced,ds000202,aomic-id1000,mpi-lemon,corr,fcon1000,hcp,nki-rockland,ds000222,sald,camcan,dlbs,ukb,oasis3-hc,age
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,3
0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4
35,35,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,5
51,51,86,86,86,86,86,86,86,86,86,88,88,88,95,95,95,95,95,95,95,6
74,93,123,124,124,124,124,124,124,124,124,134,134,134,143,143,143,143,143,143,143,7
86,131,170,182,187,190,190,190,190,190,190,203,204,204,216,216,216,216,216,216,216,8
74,116,171,177,192,193,193,193,193,193,193,200,200,200,210,210,210,210,210,210,210,9
63,88,124,128,141,145,145,145,145,145,145,155,155,155,167,167,167,167,167,167,167,10
63,94,124,130,137,140,140,140,140,140,140,152,152,152,159,159,159,159,159,159,159,11
26,46,68,74,76,79,79,79,79,79,79,103,103,103,110,110,110,110,110,110,110,12
40,56,85,103,107,112,112,112,112,112,112,137,138,138,147,147,147,147,147,147,147,13
36,65,91,103,103,104,104,104,104,104,104,131,131,131,140,140,140,140,140,140,140,14
30,44,83,87,88,89,89,89,89,89,89,111,113,113,124,124,124,124,124,124,124,15
40,46,69,72,72,74,74,74,74,74,74,84,85,85,91,91,91,91,91,91,91,16
24,39,54,58,59,64,65,65,65,65,65,78,78,78,86,86,86,86,86,86,86,17
11,24,53,55,56,59,81,85,88,88,88,116,135,135,143,143,143,145,145,145,145,18
5,7,47,48,52,52,149,164,172,172,172,224,266,266,272,272,276,278,278,278,278,19
2,11,50,53,53,59,190,216,237,305,305,396,461,461,470,470,475,475,476,476,476,20
9,14,15,18,19,19,65,87,102,179,179,236,290,290,308,311,319,321,325,325,325,21
3,3,3,6,10,13,25,38,51,124,128,176,218,236,249,252,262,264,268,268,268,22
