hbn,adhd200-hc,ping,ds000119,abide-hc,slim,abide2-hc,beijing-enhanced,aomic-id1000,corr,mpi-lemon,hcp,fcon1000,nki-rockland,sald,ds000222,dlbs,camcan,ukb,oasis3-hc,age
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,3
0,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,4
62,62,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,5
92,92,127,127,128,128,128,128,128,133,133,133,133,139,139,139,139,139,139,139,6
131,140,181,181,186,186,186,186,186,191,191,191,191,192,192,192,192,192,192,192,7
156,189,239,239,259,259,265,265,265,272,272,272,272,283,283,283,283,283,283,283,8
143,182,225,226,254,254,267,267,267,286,286,286,288,301,301,301,301,301,301,301,9
111,151,190,191,228,228,239,239,239,254,254,254,255,268,268,268,268,268,268,268,10
126,176,215,219,249,249,266,266,266,297,297,297,298,309,309,309,309,309,309,309,11
74,106,136,140,185,185,198,198,198,217,217,217,218,230,230,230,230,230,230,230,12
65,101,144,144,169,169,172,172,172,186,186,186,188,196,196,196,196,196,196,196,13
54,74,104,105,143,143,144,144,144,165,165,165,168,177,177,177,177,177,177,177,14
40,53,86,89,118,118,119,119,119,132,132,132,135,150,150,150,150,150,150,150,15
47,60,90,91,118,118,118,118,118,138,138,138,141,151,151,151,151,151,151,151,16
36,47,71,74,96,97,97,98,98,108,108,108,110,117,117,117,117,117,117,117,17
14,24,51,54,68,72,75,79,79,110,110,110,126,140,140,140,140,142,142,142,18
13,16,51,55,67,127,131,140,142,199,199,199,223,228,228,228,228,231,231,231,19
14,15,49,51,62,156,159,172,241,313,313,313,355,361,363,363,367,370,370,370,20
4,6,9,10,19,81,83,98,165,219,219,219,278,289,294,294,295,295,295,295,21
1,1,1,1,16,38,41,56,113,154,190,224,255,269,275,275,277,278,278,278,22
0,0,0,0,15,18,20,27,100,129,129,166,195,211,221,222,226,229,229,229,23
0,0,0,0,7,10,12,17,77,98,98,130,145,151,164,164,165,167,167,167,24
0,1,1,2,8,11,14,17,71,89,89,135,147,152,162,164,166,168,168,168,25
0,0,0,1,8,10,14,15,23,32,32,73,83,90,92,96,98,101,101,101,26
0,0,0,0,9,9,11,11,11,24,47,111,118,125,129,131,131,136,136,136,27
0,0,0,0,5,5,5,5,5,10,10,53,59,66,67,68,68,72,72,72,28
0,0,0,0,6,6,7,7,7,12,12,54,62,66,68,72,72,77,77,77,29
0,0,0,0,6,6,7,7,7,16,16,49,55,60,65,66,70,73,73,73,30
0,0,0,0,2,2,2,2,2,12,12,52,58,61,62,64,67,71,71,71,31
0,0,0,0,2,2,2,2,2,13,17,54,56,60,60,61,62,64,64,64,32
0,0,0,0,3,3,3,3,3,12,12,42,46,50,53,53,55,58,58,58,33
0,0,0,0,4,4,5,5,5,6,6,24,29,31,35,35,36,43,43,43,34
0,0,0,0,1,1,1,1,1,4,4,15,16,18,22,22,23,28,28,28,35
0,0,0,0,2,2,3,3,3,7,7,10,13,17,17,17,22,27,27,27,36
0,0,0,0,2,2,2,2,2,2,2,3,7,10,11,11,11,23,23,23,37
0,0,0,0,1,1,1,1,1,3,3,3,6,11,12,12,13,18,18,18,38
0,0,0,0,5,5,5,5,5,9,9,9,12,12,13,13,13,16,16,16,39
0,0,0,0,0,0,1,1,1,9,9,9,14,16,20,20,21,31,31,31,40
0,0,0,0,1,1,2,2,2,4,4,4,6,8,10,10,11,15,15,15,41
0,0,0,0,2,2,2,2,2,4,4,4,5,10,13,13,16,21,21,23,42
0,0,0,0,0,0,2,2,2,4,4,4,6,8,8,8,8,10,10,12,43
0,0,0,0,2,2,2,2,2,2,2,2,5,9,13,13,14,17,18,18,44
0,0,0,0,0,0,0,0,0,5,5,5,6,9,9,9,10,16,18,20,45
0,0,0,0,1,1,3,3,3,5,5,5,8,10,11,11,12,17,27,32,46
0,0,0,0,0,0,1,1,1,1,1,1,5,7,9,9,11,18,75,80,47
0,0,0,0,1,1,3,3,3,6,6,6,10,12,15,15,18,25,147,157,48
0,0,0,0,0,0,1,1,1,3,3,3,5,9,11,11,13,16,224,232,49
0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,9,10,311,324,50
0,0,0,0,0,0,1,1,1,1,1,1,2,5,7,7,10,14,383,389,51
0,0,0,0,0,0,0,0,0,5,5,5,7,7,9,9,11,18,496,501,52
0,0,0,0,0,0,0,0,0,3,3,3,6,8,14,14,17,19,536,552,53
0,0,0,0,0,0,1,1,1,5,5,5,6,7,11,11,13,19,517,519,54
0,0,0,0,0,0,1,1,1,4,4,4,6,8,10,10,12,19,533,537,55
0,0,0,0,1,1,2,2,2,2,2,2,4,5,10,10,10,16,538,554,56
0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,12,12,18,558,567,57
0,0,0,0,0,0,0,0,0,2,2,2,6,7,13,13,13,20,604,621,58
0,0,0,0,0,0,0,0,0,4,4,4,4,9,15,15,15,19,623,630,59
0,0,0,0,0,0,1,1,1,3,3,3,3,5,13,14,16,21,677,679,60
0,0,0,0,0,0,0,0,0,6,6,6,6,11,17,18,19,21,730,748,61
0,0,0,0,0,0,1,1,1,6,8,8,8,10,14,16,16,21,760,775,62
0,0,0,0,0,0,0,0,0,2,2,2,2,4,9,11,13,17,758,772,63
0,0,0,0,0,0,1,1,1,3,3,3,5,7,10,10,13,18,787,804,64
0,0,0,0,0,0,0,0,0,3,3,3,7,14,16,16,17,20,834,860,65
0,0,0,0,0,0,0,0,0,1,1,1,2,8,10,13,17,26,907,945,66
0,0,0,0,0,0,0,0,0,3,4,4,4,7,7,8,12,18,961,993,67
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,15,931,957,68
