age,controls,patients
0.0,2.790221602429624e-70,1.4067546557656724e-71
0.5,1.7412941103877924e-66,9.62686001827527e-68
1.0,8.490857697564564e-63,5.1435833793463414e-64
1.5,3.2352328144621425e-59,2.1456641471402278e-60
2.0,9.633063486095808e-56,6.98831606871103e-57
2.5,2.2416116634974534e-52,1.7770439590884473e-53
3.0,4.076874405894006e-49,3.52808179643352e-50
3.5,5.795633403264945e-46,5.468824287058276e-47
4.0,6.440480974052431e-43,6.618569856663615e-44
4.5,5.595232634980113e-40,6.253875462123145e-41
5.0,3.8004962620731685e-37,4.6136985940220894e-38
5.5,2.018485512468256e-34,2.657444399397556e-35
6.0,8.383312769454877e-32,1.1950724243172199e-32
6.5,2.723029170279905e-29,4.1960387557200324e-30
7.0,6.917948893536734e-27,1.1502711799547194e-27
7.5,1.374776814165947e-24,2.4619367408555257e-25
8.0,2.1372595731647436e-22,4.114055395967378e-23
8.5,2.5995105949398705e-20,5.3676119721355185e-21
9.0,2.4738441733159383e-18,5.467788322627779e-19
9.5,1.842190182113728e-16,4.348755107566018e-17
10.0,1.0735207092832306e-14,2.7005109750954557e-15
10.5,4.895873601956597e-13,1.3093718299500304e-13
11.0,1.7475178914378386e-11,4.957123758092856e-12
11.5,4.882154742119762e-10,1.4654422794347345e-10
12.0,1.0676474869187795e-08,3.3831150284040123e-09
12.5,1.8276953709960398e-07,6.100065243375895e-08
13.0,2.449541747360018e-06,8.592532404498464e-07
13.5,2.5706395726590017e-05,9.458872217747334e-06
14.0,0.0002112947390975664,8.14242994669638e-05
14.5,0.0013608933429561467,0.0005486496235983295
15.0,0.006873597688810939,0.0028983700659328915
15.5,0.027261103181421643,0.012034456965865307
16.0,0.08508947359801552,0.03942874035410319
16.5,0.2098044589357755,0.10253180999959184
17.0,0.4112090054650951,0.2133943440864484
17.5,0.6471525773462496,0.3594038331996898
18.0,0.8309515842763291,0.49657039127957414
18.5,0.8918390678480747,0.5724528467525928
19.0,0.8283118826699435,0.5651643948261503
19.5,0.6964407592257709,0.5030092533664108
20.0,0.5566872630269636,0.4409565566100662
20.5,0.43915019253128246,0.4099959403026582
21.0,0.3489992114622367,0.3939086420621603
21.5,0.29296563119528146,0.36413928100829623
22.0,0.29524200919260585,0.3246111629592171
22.5,0.38280070252436893,0.304621346048124
23.0,0.5502048771750454,0.3191366102635728
23.5,0.739132610412831,0.35772383955264037
24.0,0.8647642071708912,0.40875043749058576
24.5,0.8797080398783254,0.47633039121769466
25.0,0.8122179764710649,0.5661871851388286
25.5,0.7320744075992505,0.6592740721390654
26.0,0.689679980442135,0.7112448594136259
26.5,0.6990989072537026,0.6907577370527361
27.0,0.7513182094964791,0.6153415598232629
27.5,0.8084335076365349,0.5342525334832723
28.0,0.8024230745060068,0.47498436878423445
28.5,0.6857353423447204,0.4231345852911216
29.0,0.4899554266073867,0.3621390105271697
29.5,0.31230002800139095,0.31738841944038043
30.0,0.24594097269033477,0.3437885580169121
30.5,0.3302531051121475,0.4702927290382663
31.0,0.538597509627582,0.6615264900289982
31.5,0.7835129721501907,0.8302934022724353
32.0,0.9555447654743793,0.8939929192779204
32.5,1.0,0.8411815054429321
33.0,0.955728963531159,0.7484108738736879
33.5,0.89124125967011,0.7112013778110509
34.0,0.8142610618270891,0.7516333375351544
34.5,0.681430220526254,0.807823102003862
35.0,0.4846553452731074,0.8106725005524756
35.5,0.2798508752730709,0.7504386665451106
36.0,0.1291116030500908,0.6658911165641923
36.5,0.05049122316592056,0.5870864183610278
37.0,0.02764444940761571,0.5050440556072349
37.5,0.04122687852607981,0.39735860455462385
38.0,0.07899988438368215,0.26801601270976827
38.5,0.1255161176247162,0.1485326025570002
39.0,0.15652137326930635,0.06606753943296663
39.5,0.15245999787864223,0.023296694233062114
40.0,0.115949611032782,0.006469587796036962
40.5,0.06884919823558736,0.0014098041295032284
41.0,0.03191856986313323,0.00024057264404629854
41.5,0.01155321355273946,3.2108431518689316e-05
42.0,0.0032649535626024335,3.349423860818119e-06
42.5,0.0007203872976024029,2.729705412468609e-07
43.0,0.00012409946640449404,1.7375836660498012e-08
43.5,1.669124038688721e-05,8.637603750858851e-10
44.0,1.7527587329502024e-06,3.352947511692964e-11
44.5,1.4370454281696903e-07,1.0517329331637765e-12
45.0,9.198853133775688e-09,1.4867479284090257e-12
45.5,4.5973937685327533e-10,4.7061467715134705e-11
46.0,1.793926108531406e-11,1.182177939925055e-09
46.5,5.465277627362152e-13,2.3185643852952373e-08
47.0,1.2999742086986045e-14,3.550342918617222e-07
47.5,2.414193486130516e-16,4.24459515927518e-06
48.0,3.500452925120209e-18,3.9620237669259887e-05
48.5,3.962700404962898e-20,0.0002887438270454896
49.0,3.5024590557758264e-22,0.0016429455496695877
49.5,2.4169614567304958e-24,0.00729874956364726
50.0,1.302210559022433e-26,0.02531562094340267
50.5,5.477817136026726e-29,0.06855569472578421
51.0,1.7990725533596322e-31,0.14494836408677128
51.5,4.6132252004555745e-34,0.239275333468567
52.0,9.235820070114616e-37,0.3083879301965717
