fpr,tpr
0.0,0.0
0.0,0.0041
0.0,0.1463
0.0041,0.1463
0.0041,0.1626
0.0081,0.1626
0.0081,0.2114
0.0122,0.2114
0.0122,0.3415
0.0203,0.3415
0.0203,0.3455
0.0285,0.3455
0.0285,0.3577
0.0325,0.3577
0.0325,0.3618
0.0366,0.3618
0.0366,0.3699
0.0407,0.3699
0.0407,0.3943
0.0447,0.3943
0.0447,0.4024
0.0488,0.4024
0.0488,0.4309
0.061,0.4309
0.061,0.4431
0.065,0.4431
0.065,0.4472
0.0691,0.4472
0.0691,0.4512
0.0732,0.4512
0.0732,0.4553
0.0813,0.4553
0.0813,0.4593
0.0894,0.4593
0.0894,0.4634
0.0976,0.4634
0.0976,0.4797
0.1016,0.4797
0.1016,0.4837
0.1098,0.4837
0.1098,0.4878
0.1138,0.4878
0.1138,0.4919
0.1179,0.4919
0.1179,0.4959
0.122,0.4959
0.122,0.5
0.126,0.5
0.126,0.5041
0.1382,0.5041
0.1382,0.5122
0.1463,0.5122
0.1463,0.5203
0.1626,0.5203
0.1626,0.5366
0.1667,0.5366
0.1667,0.5407
0.1707,0.5407
0.1707,0.5488
0.1911,0.5488
0.1911,0.5528
0.2033,0.5528
0.2033,0.5691
0.2073,0.5691
0.2073,0.5772
0.2195,0.5772
0.2195,0.5813
0.2236,0.5813
0.2236,0.5894
0.2358,0.5894
0.2358,0.5935
0.252,0.5935
0.252,0.5976
0.2683,0.5976
0.2683,0.6057
0.2724,0.6057
0.2724,0.6138
0.2846,0.6138
0.2846,0.6341
0.2886,0.6341
0.2886,0.6382
0.2927,0.6382
0.2927,0.6423
0.3049,0.6423
0.3049,0.6545
0.3089,0.6545
0.3089,0.6585
0.313,0.6585
0.313,0.6707
0.3171,0.6707
0.3171,0.6748
0.3252,0.6748
0.3252,0.6789
0.3374,0.6789
0.3374,0.6911
0.3415,0.6911
0.3415,0.6992
0.3455,0.6992
0.3455,0.7033
0.3496,0.7033
0.3496,0.7073
0.3618,0.7073
0.3618,0.7114
0.3902,0.7114
0.3902,0.7154
0.4268,0.7154
0.4268,0.7236
0.4593,0.7236
0.4593,0.7276
0.4715,0.7276
0.4715,0.7317
0.4878,0.7317
0.4878,0.748
0.5163,0.748
0.5163,0.7561
0.5203,0.7561
0.5203,0.7602
0.5366,0.7602
0.5366,0.7642
0.5488,0.7642
0.5488,0.7683
0.5528,0.7683
0.5528,0.7764
0.5569,0.7764
0.5569,0.7805
0.565,0.7805
0.565,0.7886
0.5813,0.7886
0.5813,0.7927
0.5894,0.7927
0.5894,0.8089
0.5935,0.8089
0.5935,0.8211
0.6098,0.8211
0.6098,0.8252
0.6179,0.8252
0.6179,0.8293
0.622,0.8293
0.622,0.8333
0.626,0.8333
0.626,0.8374
0.6667,0.8374
0.6667,0.8415
0.6707,0.8415
0.6707,0.8455
0.6789,0.8455
0.6789,0.8496
0.6829,0.8496
0.6829,0.8537
0.7033,0.8537
0.7033,0.8577
0.7398,0.8577
0.7398,0.8699
0.7439,0.8699
0.7439,0.874
0.7561,0.874
0.7561,0.8821
0.7642,0.8821
0.7642,0.8862
0.7724,0.8862
0.7724,0.8902
0.7805,0.8902
0.7805,0.8943
0.7846,0.8943
0.7846,0.8984
0.7927,0.8984
0.7927,0.9024
0.7967,0.9024
0.7967,0.9065
0.8049,0.9065
0.8049,0.9106
0.813,0.9106
0.813,0.9228
0.8333,0.9228
0.8333,0.935
0.8496,0.935
0.8496,0.9431
0.8699,0.9431
0.8699,0.9512
0.878,0.9512
0.878,0.9553
0.8821,0.9553
0.8821,0.9593
0.8943,0.9593
0.8943,0.9634
0.9106,0.9634
0.9106,0.9715
0.9146,0.9715
0.9146,0.9797
0.939,0.9797
0.939,0.9837
0.9512,0.9837
0.9512,0.9878
0.9553,0.9878
0.9553,0.9919
0.9675,0.9919
0.9675,0.9959
0.9715,0.9959
0.9715,1.0
1.0,1.0
