region,ale,lrp
Left_Amygdala,0.7044274228777186,1.0
Left_Accumbens,1.0,0.9001032632520876
Heschl's_Gyrus_(includes_H1_and_H2),0.29423702661721496,0.7825254663952128
Right_Amygdala,0.651807374906331,0.7678772546030765
Right_Accumbens,0.8658182159606334,0.7304054112251855
Parahippocampal_Gyrus_posterior_division,0.4127315121262052,0.5915849671212559
Lingual_Gyrus,0.3140453082581883,0.5223364179473743
Planum_Temporale,0.1416980873493375,0.40987527767553805
Superior_Frontal_Gyrus,0.28135382547501264,0.3035305675957082
Temporal_Occipital_Fusiform_Cortex,0.1735054148578836,0.2854110062315753
Left_Caudate,0.18969278786561375,0.2479856419011168
Supracalcarine_Cortex,0.11869397740478166,0.24606050254824835
Middle_Temporal_Gyrus_temporooccipital_part,0.20208334348817988,0.2422092129101791
Superior_Temporal_Gyrus_anterior_division,0.191169383456453,0.23352898595032395
Superior_Temporal_Gyrus_posterior_division,0.17148776462857085,0.23335029801477772
Right_Putamen,0.33202422741103926,0.23301573432886563
Right_Caudate,0.14875278266046804,0.22952002948422529
Middle_Temporal_Gyrus_posterior_division,0.16475876204615236,0.22893934508282104
Temporal_Fusiform_Cortex_posterior_division,0.28123887767434824,0.2206202766631523
Left_Putamen,0.33371881443496043,0.20004813684161907
Paracingulate_Gyrus,0.18363963419279267,0.1886352046634364
Middle_Temporal_Gyrus_anterior_division,0.15336227665766688,0.1866757288898146
Inferior_Temporal_Gyrus_posterior_division,0.18724205325439078,0.1765767152891499
Parietal_Operculum_Cortex,0.1528185651217059,0.1760880253276761
Inferior_Temporal_Gyrus_temporooccipital_part,0.11760020842297118,0.16069242971206948
Right_Thalamus,0.09785511526358623,0.1604817461770346
Left_Thalamus,0.07443579048556219,0.15786006055842833
Parahippocampal_Gyrus_anterior_division,0.19984469089643064,0.1509235886814858
Planum_Polare,0.11486756328542595,0.12582879490531165
Occipital_Fusiform_Gyrus,0.0582594503006868,0.12180044696571728
Left_Hippocampus,0.037548497397854465,0.12066598852515976
Temporal_Fusiform_Cortex_anterior_division,0.048042790062512566,0.11814811076716121
Inferior_Temporal_Gyrus_anterior_division,0.160622259547248,0.11690157569633297
Right_Hippocampus,0.13352439465945995,0.1018801453245813
Right_Cerebral_White_Matter,0.2823885131064803,0.1008386381637024
Left_Cerebral_Cortex_,0.1269199440363791,0.10015028135813682
Precuneous_Cortex,0.11608880845345906,0.08907309197862372
Brain-Stem,0.17394085598366105,0.08767976755921562
Postcentral_Gyrus,0.09110418781962447,0.08747447752547714
Right_Cerebral_Cortex_,0.12737996040874763,0.08727725379076458
Central_Opercular_Cortex,0.24656179988360113,0.08368673331248791
Left_Lateral_Ventricle,0.11007048204592176,0.08154543076761483
Right_Lateral_Ventricle,0.09919247279559269,0.07375101276593428
Left_Pallidum,0.21361230531465464,0.07334767997627678
Right_Pallidum,0.21572858436848608,0.07078510088281294
Precentral_Gyrus,0.14613005289063094,0.06292042062564991
Angular_Gyrus,0.15219460132959506,0.05794628561714003
Cuneal_Cortex,0.12812969931496535,0.050094608611404516
Inferior_Frontal_Gyrus_pars_opercularis,0.12171602058738012,0.0487715136368441
Lateral_Occipital_Cortex_superior_division,0.19655808661804663,0.04836445858319701
Cingulate_Gyrus_posterior_division,0.12896921892815014,0.046405116745286606
Occipital_Pole,0.08955225022629276,0.042683071551935486
Frontal_Medial_Cortex,0.06145611899631903,0.03977150327993668
Frontal_Operculum_Cortex,0.07470978912311493,0.03887968305918615
Juxtapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex),0.18672470357356552,0.03792029917859851
Supramarginal_Gyrus_posterior_division,0.0753835873443931,0.03760974543313154
Frontal_Orbital_Cortex,0.04363995425169337,0.03431136606680426
Intracalcarine_Cortex,0.07886356282130173,0.030858973259887484
Superior_Parietal_Lobule,0.05694084146893097,0.023236922399425482
Temporal_Pole,0.054737757852232095,0.021771530845833616
Lateral_Occipital_Cortex_inferior_division,0.07584275824365945,0.019417182236569804
Supramarginal_Gyrus_anterior_division,0.064431192283088,0.019036060080249773
Cingulate_Gyrus_anterior_division,0.1684366605501228,0.017273255390676156
Inferior_Frontal_Gyrus_pars_triangularis,0.12606158208781926,0.015881830654148714
Insular_Cortex,0.08752166165892301,0.009595634342616507
Frontal_Pole,0.007768684378090764,0.009352290361357398
Middle_Frontal_Gyrus,0.08513560363457279,0.005893975374867626
Subcallosal_Cortex,0.04256793145787041,0.005775609321295131
Left_Cerebral_White_Matter,0.0009946632819347388,0.00211868123774529
