age,controls,patients
0.0,0.0,0.0
0.5,0.0,1.313152e-317
1.0,0.0,1.972762736097725e-309
1.5,0.0,2.31392677191885e-301
2.0,0.0,2.1190402006647306e-293
2.5,0.0,1.5151080681161148e-285
3.0,0.0,8.457906033557189e-278
3.5,1.14e-322,3.68635308974182e-270
4.0,1.990681614e-314,1.2544282789648384e-262
4.5,2.717181303401988e-306,3.332802442577247e-255
5.0,2.89567795534292e-298,6.9133434984341685e-248
5.5,2.409332462240344e-290,1.1196480573561057e-240
6.0,1.5651574559980827e-282,1.4157603848099341e-233
6.5,7.938421721802081e-275,1.3976962853131507e-226
7.0,3.143584429358202e-267,1.0773348181672889e-219
7.5,9.719209001106622e-260,6.48340887191364e-213
8.0,2.346127140437611e-252,3.0462879738709503e-206
8.5,4.4216768094779276e-245,1.117514922216565e-199
9.0,6.506347846627577e-238,3.2007410222192595e-193
9.5,7.474848423693496e-231,7.157520013142265e-187
10.0,6.704746043428981e-224,1.2496529997739781e-180
10.5,4.695448753156437e-217,1.7034568267257132e-174
11.0,2.5673596258902264e-210,1.8129576367391167e-168
11.5,1.096001477275039e-203,1.5064648786902426e-162
12.0,3.6530061369165904e-197,9.773389253001835e-157
12.5,9.506146306095242e-191,4.950467470951963e-151
13.0,1.931405289162137e-184,1.957771744060905e-145
13.5,3.0637771207403487e-178,6.044950253261653e-140
14.0,3.794510430491662e-172,1.4572639997505356e-134
14.5,3.669181230749422e-166,2.7428279808268208e-129
15.0,2.7701124906435182e-160,4.030637454892718e-124
15.5,1.6328281455858913e-154,4.624488792924498e-119
16.0,7.514470435750679e-149,4.142557605477589e-114
16.5,2.7000456844789683e-143,2.897264942304644e-109
17.0,7.574582056656545e-138,1.5820590754552034e-104
17.5,1.659056082222773e-132,6.744845584195331e-100
18.0,2.8371238153978286e-127,2.245102412038039e-95
18.5,3.78800323851452e-122,5.834654327625068e-91
19.0,3.948728042201661e-117,1.1838834148625105e-86
19.5,3.213800664608133e-112,1.8755021725457462e-82
20.0,2.0421868648723058e-107,2.3197492159173753e-78
20.5,1.013180565801459e-102,2.2401615132946414e-74
21.0,3.924578796466348e-98,1.6890109170597276e-70
21.5,1.186899878655061e-93,9.942610165257264e-67
22.0,2.8025279188826962e-89,4.5696527254812154e-63
22.5,5.166550039991494e-85,1.639761977297248e-59
23.0,7.43645856347007e-81,4.594023969787881e-56
23.5,8.356925194327629e-77,1.0048946449339023e-52
24.0,7.332324839117598e-73,1.7161792114034383e-49
