age,controls,patients
0.0,0.0,0.0
0.5,0.0,0.0
1.0,3.92239576e-316,0.0
1.5,5.636843285874155e-308,0.0
2.0,6.324652589546397e-300,0.0
2.5,5.540560598231298e-292,0.0
3.0,3.789546459027086e-284,1.14e-322
3.5,2.0236595297415296e-276,2.021215941e-314
4.0,8.437320671356598e-269,2.758307963587455e-306
4.5,2.7465581667131003e-261,2.9389190350418443e-298
5.0,6.980562976491683e-254,2.4448224237143067e-290
5.5,1.3851914360922638e-246,1.5878952468029206e-282
6.0,2.146086274940393e-239,8.052137959533741e-275
6.5,2.595989648186642e-232,3.1879785868144702e-267
7.0,2.4517576967282758e-225,9.854495921962876e-260
7.5,1.807887530065282e-218,2.378308908312498e-252
8.0,1.04084258807377e-211,4.481433342666318e-245
8.5,4.678633781319436e-205,6.592960131852544e-238
9.0,1.6420033571164739e-198,7.57284012078857e-231
9.5,4.4993598533846525e-192,6.79128500371661e-224
10.0,9.626089780826559e-186,4.755103288720521e-217
10.5,1.6079497028239587e-179,2.5994578719922282e-210
11.0,2.0971010968481108e-173,1.1094824629260462e-203
11.5,2.1354614046610746e-167,3.697199881223387e-197
12.0,1.6978165337838502e-161,9.619228668053539e-191
12.5,1.053944699639889e-155,1.953990272619535e-184
13.0,5.10827700511069e-150,3.098984298779318e-178
13.5,1.9331354918106938e-144,3.8373479843103366e-172
14.0,5.7119351812644956e-139,3.7098625797438627e-166
14.5,1.3177695367730882e-133,2.8002660255369748e-160
15.0,2.373740326847265e-128,1.6502722230749837e-154
15.5,3.338620855816479e-123,7.593232856497566e-149
16.0,3.6664354065947926e-118,2.7278009530696715e-143
16.5,3.143889225469621e-113,7.65091655383141e-138
17.0,2.1049426812819826e-108,1.6754407871859322e-132
17.5,1.1004419495140223e-103,2.864570612864807e-127
18.0,4.4921293493023535e-99,3.8238848941488305e-122
18.5,1.4318599497319788e-94,3.985335788964801e-117
19.0,3.563834024444895e-90,3.242947050428938e-112
19.5,6.926424540323323e-86,2.0602960325966305e-107
20.0,1.0511923455996543e-81,1.021960769701697e-102
20.5,1.2457881306410628e-77,3.9577982599587694e-98
21.0,1.1529311804057529e-73,1.1967072213696005e-93
21.5,8.332377714403023e-70,2.8251206541379862e-89
22.0,4.702740671572294e-66,5.207159955827168e-85
22.5,2.0728164774062814e-62,7.493412962059654e-81
