age,controls,patients
0.0,0.0,0.0
0.5,0.0,0.0
1.0,0.0,0.0
1.5,0.0,0.0
2.0,0.0,0.0
2.5,0.0,0.0
3.0,0.0,0.0
3.5,0.0,0.0
4.0,0.0,0.0
4.5,0.0,0.0
5.0,0.0,0.0
5.5,0.0,0.0
6.0,0.0,0.0
6.5,0.0,0.0
7.0,0.0,0.0
7.5,0.0,0.0
8.0,0.0,0.0
8.5,0.0,0.0
9.0,0.0,0.0
9.5,0.0,0.0
10.0,0.0,0.0
10.5,0.0,0.0
11.0,0.0,0.0
11.5,0.0,0.0
12.0,0.0,0.0
12.5,0.0,0.0
13.0,0.0,0.0
13.5,0.0,0.0
14.0,0.0,0.0
14.5,0.0,0.0
15.0,0.0,0.0
15.5,5e-324,0.0
16.0,5.1289684e-316,2.64e-321
16.5,7.360885257459375e-308,4.434665971e-313
17.0,8.247928824622921e-300,5.824043073861538e-305
17.5,7.21563557639562e-292,5.971770007144666e-297
18.0,4.928549330081414e-284,4.780754012157963e-289
18.5,2.6283212987826688e-276,2.988164852168174e-281
19.0,1.0943409003359387e-268,1.458235068051104e-273
19.5,3.557473204934247e-261,5.5560398628560524e-266
20.0,9.029121024580832e-254,1.6527912231839817e-258
20.5,1.7892216346949532e-246,3.838711492361107e-251
21.0,2.768201103940239e-239,6.960938196415856e-244
21.5,3.3438436610824e-232,9.855187985989044e-237
22.0,3.1536182539529236e-225,1.0893736787892187e-229
22.5,2.3221330913004375e-218,9.401641194287772e-223
23.0,1.3349958756873614e-211,6.334980722296533e-216
23.5,5.992217527986187e-205,3.332742445015391e-209
24.0,2.0999552849509614e-198,1.3689041419453597e-202
24.5,5.745758310505694e-192,4.389945741545647e-196
25.0,1.2274377912035318e-185,1.0991579299401792e-189
25.5,2.047229151912548e-179,2.1487004385978765e-183
26.0,2.665927003948577e-173,3.279491257395531e-177
26.5,2.710471720150777e-167,3.907976221115906e-171
27.0,2.1515742451750984e-161,3.6359020717341707e-165
27.5,1.3334680784085123e-155,2.6411147621526953e-159
28.0,6.452436515872779e-150,1.4978806063047466e-153
28.5,2.4376967984266877e-144,6.632571693110934e-148
29.0,7.190357165804445e-139,2.292986714648959e-142
29.5,1.6559074887318744e-133,6.189220481971993e-137
30.0,2.977395357467173e-128,1.3043231424239804e-131
30.5,4.1797641192229146e-123,2.1460966483679988e-126
