age,controls,patients
0.0,0.0,0.0
0.5,0.0,0.0
1.0,0.0,0.0
1.5,0.0,0.0
2.0,0.0,0.0
2.5,0.0,0.0
3.0,0.0,0.0
3.5,0.0,0.0
4.0,0.0,0.0
4.5,0.0,0.0
5.0,0.0,0.0
5.5,0.0,0.0
6.0,0.0,0.0
6.5,0.0,0.0
7.0,0.0,0.0
7.5,0.0,0.0
8.0,0.0,0.0
8.5,0.0,0.0
9.0,0.0,0.0
9.5,0.0,0.0
10.0,0.0,0.0
10.5,0.0,0.0
11.0,0.0,0.0
11.5,0.0,0.0
12.0,0.0,0.0
12.5,0.0,0.0
13.0,0.0,0.0
13.5,0.0,0.0
14.0,0.0,0.0
14.5,0.0,0.0
15.0,0.0,0.0
15.5,3.775e-321,0.0
16.0,6.31869210264e-313,0.0
16.5,8.259774069200265e-305,0.0
17.0,8.429930085176391e-297,0.0
17.5,6.717297876053318e-289,0.0
18.0,4.179074101664484e-281,3.5950104e-317
18.5,2.029926749459334e-273,5.390513956748904e-309
19.0,7.69831169477505e-266,6.3106636268001545e-301
19.5,2.2794257273128146e-258,5.768125738427833e-293
20.0,5.269509967556675e-251,4.116321012402766e-285
20.5,9.511080225436814e-244,2.293499147493972e-277
21.0,1.3403070116100609e-236,9.977064045786126e-270
21.5,1.4746656499264338e-229,3.388611396776544e-262
22.0,1.2667697054209039e-222,8.985776331776208e-255
22.5,8.49604107433114e-216,1.8603911773780177e-247
23.0,4.448876684139966e-209,3.0072377767923883e-240
23.5,1.8188587034448063e-202,3.7952998683504972e-233
24.0,5.805804226079458e-196,3.7397214250685856e-226
24.5,1.4469070801359617e-189,2.877048873759684e-219
25.0,2.8153586413978813e-183,1.7281047207269308e-212
25.5,4.277023544415537e-177,8.104154344989474e-206
26.0,5.072994431507756e-171,2.967291282655534e-199
26.5,4.697880443569975e-165,8.48257069439852e-193
27.0,3.396677894214106e-159,1.89325723372379e-186
27.5,1.9174391895237724e-153,3.299184413996478e-180
28.0,8.450913647547605e-148,4.48867734922873e-174
28.5,2.9080412235931425e-142,4.76809627703652e-168
29.0,7.812900317077829e-137,3.9544535005072324e-162
29.5,1.638848612989709e-131,2.5606060084336307e-156
30.0,2.6839858538445968e-126,1.2945352398877333e-150
30.5,3.431914322169394e-121,5.109752024644621e-145
31.0,3.4261587481305894e-116,1.5747100583640321e-139
