source,author,year,sample,diagnosis,modality,method,accuracy
quaak,matsubara,2019,163,BP,rsfMRI,DL,64.0
wolfers,mourao,2012,36,BP,tfMRI,ML,64.0
wolfers,bansal,2012,66,BP,sMRI,ML,98.2
wolfers,grotegerd,2013,20,BP,tfMRI,ML,80.0
wolfers,schnack,2014,112,BP,sMRI,ML,59.0
wolfers,serpa,2014,94,BP,sMRI,ML,66.1
wolfers,rocha,2014,80,BP,sMRI,ML,72.5
claude,anticevic,2014,114,BP,rsfMRI,ML,61.7
claude,besga,2012,37,BP,DTI,ML,100.0
claude,chen,2014,23,BP,sMRI,ML,57.0
claude,frangou,2017,60,BP,tfMRI,ML,83.5
claude,mwangi,2014,32,BP,sMRI,ML,78.12
claude,mwangi,2015,32,BP,DTI,ML,78.12
claude,mwangi,2016,256,BP,sMRI,ML,70.3
claude,nunes,2018,3020,BP,sMRI,ML,58.67
claude,sacchet,2015,101,BP,sMRI,ML,55.9
