source,author,year,sample,diagnosis,modality,method,accuracy
mirzaei,martinez-murcia,2016,360,DEM,sMRI,ML,80.0
mirzaei,bi,2018,60,DEM,fMRI,ML,94.0
mirzaei,alickovic,2019,267,DEM,sMRI,ML,85.0
mirzaei,silva,2019,69,DEM,sMRI,DL,96.0
mirzaei,lella,2020,80,DEM,Multimodal,ML,74.0
mirzaei,bi,2020,72,DEM,Multimodal,ML,87.0
arbabshirani,grana,2011,45,DEM,dMRI,ML,100.0
arbabshirani,wu,2013,31,DEM,rsfMRI,ML,100.0
arbabshirani,khazaee,2015,40,DEM,rsfMRI,ML,100.0
arbabshirani,zhang,2015,126,DEM,sMRI,ML,92.3
arbabshirani,zhang,2011,100,DEM,sMRI,ML,90.0
arbabshirani,wang,2007,44,DEM,sMRI,ML,82.85
arbabshirani,vemuri,2008,380,DEM,sMRI,ML,87.44
arbabshirani,sabuncu,2012,300,DEM,sMRI,ML,93.0
arbabshirani,polat,2012,62,DEM,sMRI,ML,76.5
arbabshirani,oliveira,2010,34,DEM,sMRI,ML,88.2
arbabshirani,miller,2009,101,DEM,sMRI,ML,77.0
arbabshirani,mahanand,2012,60,DEM,sMRI,ML,98.4
arbabshirani,magnin,2009,38,DEM,sMRI,ML,94.5
arbabshirani,li,2007,39,DEM,sMRI,ML,89.75
arbabshirani,lerch,2008,36,DEM,sMRI,ML,95.0
arbabshirani,lee,2014,117,DEM,sMRI,ML,87.5
arbabshirani,hinrichs,2009,183,DEM,sMRI,ML,82.0
arbabshirani,hidalgo,2014,370,DEM,sMRI,ML,94.7
arbabshirani,hampel,2002,55,DEM,sMRI,ML,92.5
arbabshirani,frisoni,1996,77,DEM,sMRI,ML,84.0
arbabshirani,freeborough,1998,66,DEM,sMRI,ML,91.0
arbabshirani,farzan,2015,60,DEM,sMRI,ML,91.7
arbabshirani,farzan,2014,85,DEM,sMRI,DL,93.7
arbabshirani,decarli,1995,60,DEM,sMRI,ML,100.0
arbabshirani,cuingnet,2013,299,DEM,sMRI,ML,87.0
arbabshirani,coupe,2012,100,DEM,sMRI,ML,93.0
arbabshirani,chen,2014,212,DEM,sMRI,ML,78.5
arbabshirani,behesti,2015,260,DEM,sMRI,ML,86.0
arbabshirani,batmanghelich,2012,117,DEM,sMRI,ML,88.0
arbabshirani,arimura,2008,54,DEM,sMRI,ML,90.9
arbabshirani,adaszewksi,2013,448,DEM,sMRI,ML,72.0
arbabshirani,abdulkadir,2011,417,DEM,sMRI,ML,87.0
arbabshirani,wolf,2001,39,DEM,sMRI,ML,76.9
arbabshirani,li,2014,36,DEM,sMRI/dMRI,ML,94.3
arbabshirani,dyrba,2013,280,DEM,sMRI/dMRI,ML,77.75
arbabshirani,dukart,2013,90,DEM,sMRI/PET,ML,93.0
arbabshirani,dai,2012,38,DEM,sMRI/rsfMRI,ML,89.5
arbabshirani,dyrba,2015,53,DEM,sMRI/rsfMRI/dMRI,ML,79.5
fahti,ji,2019,615,DEM,sMRI,DL,98.59
fahti,cui,2019,662,DEM,sMRI,DL,100.0
fahti,shi,2018,202,DEM,sMRI/PET,DL,97.13
fahti,yue,2019,4359,DEM,sMRI,DL,98.6
fahti,sarraf,2019,1351,DEM,sMRI/fMRI,DL,98.75
fahti,hosseini,2018,210,DEM,sMRI,DL,99.31
fahti,liu,2018,339,DEM,PET,DL,91.2
fahti,abrol,2020,828,DEM,sMRI,DL,91.0
fahti,basaia,2019,1638,DEM,sMRI,DL,98.2
fahti,jain,2019,150,DEM,sMRI,DL,99.14
fahti,jie,2020,174,DEM,fMRI,DL,88.0
fahti,kruthika,2019,1941,DEM,sMRI,DL,97.6
fahti,li,2018,831,DEM,sMRI,DL,89.5
fahti,li,2019,807,DEM,sMRI,DL,89.1
fahti,liu,2020,449,DEM,sMRI,DL,88.9
fahti,suk,2014,398,DEM,sMRI/PET,DL,95.35
fahti,suk,2017,805,DEM,sMRI,DL,91.02
fahti,wang,2019,833,DEM,sMRI,DL,98.83
fahti,basheera,2019,1820,DEM,sMRI,DL,100.0
fahti,billones,2017,900,DEM,sMRI,DL,98.33
fahti,li,2020,389,DEM,fMRI,DL,97.37
fahti,ortiz,2016,275,DEM,sMRI/PET,DL,90.0
fahti,ji,2020,490,DEM,sMRI,DL,98.59
fahti,vu,2018,615,DEM,sMRI/PET,DL,98.8
fahti,yu,2019,381,DEM,sMRI,DL,99.47
fahti,yue,2018,1663,DEM,sMRI,DL,95.44
fahti,zheng,2018,962,DEM,PET,DL,91.0
fahti,liu,2014,311,DEM,sMRI/PET,DL,87.76
fahti,liu,2018,397,DEM,sMRI/PET,DL,93.26
fahti,lu,2018,1224,DEM,sMRI/PET,DL,84.6
fahti,liu,2015,331,DEM,sMRI/PET,DL,91.4
fahti,nanni,2020,773,DEM,sMRI,DL,90.8
fahti,odusami,2021,138,DEM,fMRI,DL,80.8
fahti,pan,2020,509,DEM,sMRI,DL,84.0
fahti,pan,2021,1006,DEM,PET,DL,93.13
fahti,zhang,2021,968,DEM,sMRI,DL,97.35
fahti,jin,2020,1832,DEM,sMRI,DL,92.0
