source,author,year,sample,diagnosis,modality,method,accuracy
arbabshirani,fang,2012,48,MDD,dMRI,ML,91.7
arbabshirani,mourao,2011,38,MDD,tfMRI,ML,64.25
arbabshirani,rosa,2015,38,MDD,tfMRI,ML,81.95
arbabshirani,sato,2015,46,MDD,tfMRI,ML,78.1
arbabshirani,shimizu,2015,62,MDD,tfMRI,ML,92.5
arbabshirani,zeng,2014,53,MDD,rsfMRI,ML,92.5
arbabshirani,wei,2013,40,MDD,rsfMRI,ML,90.0
arbabshirani,lord,2012,43,MDD,rsfMRI,ML,99.0
arbabshirani,cao,2014,76,MDD,rsfMRI,ML,76.6
arbabshirani,guo,2014,63,MDD,rsfMRI,ML,90.5
arbabshirani,sepa,2014,113,MDD,sMRI,ML,60.05
arbabshirani,mwangi,2012,62,MDD,sMRI,ML,90.3
arbabshirani,gong,2011,88,MDD,sMRI,ML,71.65
arbabshirani,foland,2015,33,MDD,sMRI,ML,70.0
quaak,pominova,2018,50,MDD,rsfMRI,DL,73.0
quaak,miholca,2017,39,MDD,tfMRI,DL,92.3
wolfers,marquand,2008,40,MDD,tfMRI,ML,67.5
wolfers,fu,2008,38,MDD,tfMRI,ML,86.0
wolfers,costafreda,2009,74,MDD,sMRI,ML,67.6
wolfers,craddock,2009,40,MDD,rsfMRI,ML,95.0
wolfers,hahn,2011,60,MDD,tfMRI,ML,83.0
wolfers,nouretdinov,2011,38,MDD,tfMRI,ML,86.9
wolfers,fang,2012,48,MDD,dMRI/sMRI,ML,91.7
wolfers,zeng,2012,55,MDD,rsfMRI,ML,94.3
wolfers,korgaonkar,2012,46,MDD,dMRI/sMRI,ML,96.0
wolfers,mourao,2012,36,MDD,tfMRI,ML,61.0
wolfers,ma,2013,58,MDD,rsfMRI,ML,90.06
wolfers,grotegerd,2013,20,MDD,tfMRI,ML,85.0
wolfers,qin,2014,59,MDD,sMRI/dMRI,ML,80.05
wolfers,serpa,2014,90,MDD,sMRI,ML,59.6
bardeci,acharya,2018,30,MDD,EEG,DL,96.0
bardeci,ay,2019,30,MDD,EEG,DL,99.0
bardeci,cai,2016,178,MDD,EEG,DL,78.0
bardeci,dubreuil,2020,40,MDD,EEG,DL,88.0
bardeci,kwon,2019,60,MDD,EEG,DL,88.0
bardeci,li,2019,28,MDD,EEG,DL,85.0
bardeci,mumtaz,2019,63,MDD,EEG,DL,98.0
bardeci,uyulan,2021,92,MDD,EEG,DL,93.0
bardeci,zhang,2020,170,MDD,EEG,DL,95.0
rashid,zhong,2017,165,MDD,rsfMRI,ML,89.15
rashid,wang,2017,60,MDD,rsfMRI,ML,95.0
rashid,schnyer,2017,50,MDD,DTI,ML,74.0
rashid,sundermann,2017,360,MDD,rsfMRI,ML,50.55
rashid,bhaumik,2017,67,MDD,rsfMRI,ML,76.1
rashid,sankar,2016,43,MDD,sMRI,ML,70.0
rashid,ramasubbu,2016,34,MDD,rsfMRI,ML,66.0
rashid,yang,2016,32,MDD,tfMRI,ML,75.0
rashid,sacchet,2015,118,MDD,sMRI,ML,62.8
rashid,sacchet,2015,32,MDD,DTI,ML,71.9
rashid,joao,2015,46,MDD,tfMRI,ML,78.3
rashid,johnston,2015,41,MDD,sMRI,ML,85.0
rashid,johnston,2015,40,MDD,tfMRI,ML,97.0
rashid,koutsoleris,2015,262,MDD,sMRI,ML,76.0
rashid,patel,2015,68,MDD,rsfMRI/sMRI/DTI,ML,87.3
rashid,rondina,2014,60,MDD,tfMRI,ML,72.0
rashid,habes,2013,18,MDD,tfMRI,ML,72.2
rashid,yu,2013,51,MDD,rsfMRI,ML,80.9
rashid,modinos,2013,34,MDD,rsfMRI,ML,77.0
rashid,fang,2012,48,MDD,DTI,ML,91.7
rashid,geng,2018,48,MDD,rsfMRI,ML,91.7
rashid,yang,2018,307,MDD,dMRI/sMRI,ML,75.1
