source,author,year,sample,diagnosis,modality,method,accuracy
shoebi,siar,2019,1111,MS,T2,DL,96.88
shoebi,eitel,2019,147,MS,sMRI,DL,80.92
shoebi,afzal,2019,21,MS,T2,DL,100.0
shoebi,alijamaat,2020,58,MS,T2,DL,99.05
shoebi,shrwan,2021,38,MS,T1,DL,99.55
shoebi,wang,2018,64,MS,T2,DL,98.77
shoebi,zhang,2018,64,MS,sMRI,DL,91.33
shoebi,eitel,2019,147,MS,T1,DL,87.94
shoebi,narayana,2020,1008,MS,T1,DL,70.0
shoebi,ye,2020,38,MS,sMRI,DL,93.4
shoebi,yoo,2018,99,MS,sMRI,DL,87.9
aslam,ashtiani,2022,20,MS,fMRI,ML,85.0
aslam,zhang,2017,72,MS,sMRI,DL,97.8
aslam,wang,2016,72,MS,sMRI,ML,97.76
aslam,zhang,2016,76,MS,sMRI,ML,97.94
aslam,zhang,2019,84,MS,T1/T2,ML,84.5
aslam,sacca,2019,37,MS,rsfMRI,ML,85.7
aslam,moghadasi,2019,72,MS,sMRI,ML,77.83
aslam,rezaee,2020,125,MS,sMRI,ML,97.0
aslam,eksi,2021,90,MS,sMRI,DL,100.0
aslam,yuling,2021,45,MS,T2,ML,82.7
aslam,elsebely,2021,45,MS,sMRI,ML,98.5
aslam,bonamo,2021,20,MS,FLAIR,ML,87.0
aslam,jain,2022,192,MS,sMRI,ML,96.55
aslam,hahn,2019,64,MS,sMRI,DL,91.95
aslam,wu,2017,67,MS,sMRI,ML,89.72
aslam,azarmi,2019,20,MS,fMRI,ML,95.0
aslam,macin,2022,131,MS,FLAIR,ML,98.37
aslam,neeb,2018,97,MS,T1/T2,ML,79.1
aslam,zurita,2018,150,MS,dMRI/fMRI,ML,88.9
aslam,yoo,2018,99,MS,T1,ML,87.9
aslam,mohseni,2022,40,MS,EEG,ML,99.03
aslam,ahmadi,2022,12,MS,EEG,ML,90.5
aslam,sepahvand,2020,886,MS,T2,DL,95.0
aslam,soltani,2020,72,MS,sMRI,DL,99.66
aslam,siar,2019,200,MS,sMRI,DL,96.88
aslam,wang,2021,64,MS,sMRI,DL,95.82
aslam,wang,2018,64,MS,sMRI,DL,98.77
aslam,acar,2022,30,MS,FLAIR,DL,90.3
aslam,fooladi,2018,60,MS,T1,DL,90.0
aslam,lopatina,2020,132,MS,sMRI,DL,92.0
aslam,alijamaat,2021,58,MS,sMRI,DL,99.05
aslam,gaj,2021,600,MS,T1/T2/FLAIR,DL,87.7
aslam,yoo,2019,140,MS,T2,DL,75.0
aslam,jannat,2021,30,MS,T1/T2/FLAIR,DL,98.24
aslam,zhang,2021,38,MS,T1/T2/FLAIR,DL,95.42
aslam,ye,2020,38,MS,Multimodal,DL,93.4
aslam,shmueli,2022,39,MS,sMRI,DL,91.0
aslam,wang,2020,64,MS,sMRI,DL,98.31
aslam,zhou,2020,1357,MS,sMRI,DL,92.75
aslam,yoo,2016,140,MS,T2,DL,72.9
aslam,karaca,2017,120,MS,sMRI,DL,99.78
