source,author,year,sample,diagnosis,modality,method,accuracy
arbabshirani,caprihan,2008,90,SCZ,dMRI,ML,80.0
arbabshirani,caan,2006,58,SCZ,dMRI,ML,75.0
arbabshirani,ardekani,2011,100,SCZ,dMRI,ML,96.0
arbabshirani,honorio,2012,28,SCZ,tfMRI,ML,96.0
arbabshirani,demirci,2008,138,SCZ,tfMRI,ML,85.0
arbabshirani,yoon,2012,102,SCZ,tfMRI,ML,62.0
arbabshirani,koch,2015,88,SCZ,tfMRI,ML,93.0
arbabshirani,cao,2013,208,SCZ,tfMRI,ML,77.0
arbabshirani,costafreda,2011,104,SCZ,tfMRI,ML,92.0
arbabshirani,yoon,2008,34,SCZ,tfMRI,ML,65.5
arbabshirani,castro,2014,52,SCZ,tfMRI,ML,85.0
arbabshirani,castro,2011,106,SCZ,tfMRI,ML,95.0
arbabshirani,watanabe,2014,145,SCZ,rsfMRI,ML,91.0
arbabshirani,guo,2014,92,SCZ,rsfMRI,ML,75.0
arbabshirani,ventakataraman,2012,36,SCZ,rsfMRI,ML,75.0
arbabshirani,tang,2012,44,SCZ,rsfMRI,ML,93.0
arbabshirani,su,2013,64,SCZ,rsfMRI,ML,83.0
arbabshirani,shen,2010,52,SCZ,rsfMRI,ML,86.0
arbabshirani,kim,2015,100,SCZ,rsfMRI,DL,86.0
arbabshirani,kaufmann,2015,267,SCZ,rsfMRI,ML,79.5
arbabshirani,cheng,2015,48,SCZ,rsfMRI,ML,80.0
arbabshirani,fekete,2013,18,SCZ,rsfMRI,ML,100.0
arbabshirani,fan,2011,62,SCZ,rsfMRI,ML,86.0
arbabshirani,chyzhyk,2015,144,SCZ,rsfMRI,DL,85.5
arbabshirani,bassett,2012,58,SCZ,rsfMRI,ML,75.0
arbabshirani,arbabshirani,2013,56,SCZ,rsfMRI,ML,96.0
arbabshirani,anticevic,2014,180,SCZ,rsfMRI,ML,73.9
arbabshirani,anderson,2013,146,SCZ,rsfMRI,ML,65.0
arbabshirani,zhang,2013,148,SCZ,sMRI,ML,71.0
arbabshirani,zanetti,2013,124,SCZ,sMRI,ML,73.0
arbabshirani,takayanagi,2011,92,SCZ,sMRI,ML,80.0
arbabshirani,radulescu,2014,51,SCZ,sMRI,ML,68.35
arbabshirani,pina,2015,123,SCZ,sMRI,ML,90.0
arbabshirani,ota,2012,189,SCZ,sMRI,ML,73.0
arbabshirani,nieuwenhius,2012,516,SCZ,sMRI,ML,71.0
arbabshirani,nakamura,2004,104,SCZ,sMRI,ML,82.0
arbabshirani,kawasaki,2007,92,SCZ,sMRI,ML,85.0
arbabshirani,kasparek,2011,78,SCZ,sMRI,ML,72.0
arbabshirani,karageorgiou,2011,75,SCZ,sMRI,ML,72.0
arbabshirani,janousova,2015,98,SCZ,sMRI,ML,81.6
arbabshirani,iawbuchi,2013,39,SCZ,sMRI,ML,71.8
arbabshirani,ingalhalikar,2012,52,SCZ,sMRI,ML,78.0
arbabshirani,greenstein,2012,197,SCZ,sMRI,ML,74.0
arbabshirani,gould,2014,412,SCZ,sMRI,ML,64.0
arbabshirani,fan,2007,148,SCZ,sMRI,ML,91.0
arbabshirani,fan,2005,61,SCZ,sMRI,ML,92.0
arbabshirani,davatzikos,2005,148,SCZ,sMRI,ML,81.0
arbabshirani,csernansky,2004,117,SCZ,sMRI,ML,79.0
arbabshirani,castellani,2012,108,SCZ,sMRI,ML,70.5
arbabshirani,bansal,2012,105,SCZ,sMRI,ML,94.0
arbabshirani,du,2012,56,SCZ,tfMRI/rsfMRI,ML,95.5
arbabshirani,cetin,2015,55,SCZ,tfMRI/rsfMRI,ML,72.0
arbabshirani,yang,2010,40,SCZ,Multimodal,ML,87.0
arbabshirani,sui,2013,63,SCZ,sMRI/rsfMRI/dMRI,ML,79.0
filipis,iwabuchi,2013,39,SCZ,sMRI,ML,69.15
filipis,lu,2016,83,SCZ,sMRI,ML,88.4
filipis,xiao,2017,326,SCZ,sMRI,ML,83.4
filipis,yoon,2008,34,SCZ,fMRI,ML,93.0
filipis,yang,2010,40,SCZ,fMRI,ML,77.4
filipis,su,2013,64,SCZ,fMRI,ML,80.2
filipis,zhu,2014,45,SCZ,rsfMRI,ML,83.6
filipis,castro,2014,52,SCZ,fMRI,ML,85.0
filipis,arbabshirani,2014,370,SCZ,fMRI,ML,88.2
filipis,cao,2014,208,SCZ,fMRI,ML,63.1
filipis,koch,2015,98,SCZ,fMRI,ML,81.25
filipis,chyzhyk,2015,147,SCZ,fMRI,ML,90.0
filipis,cabral,2016,145,SCZ,sMRI,ML,69.7
filipis,cabral,2016,156,SCZ,fMRI,ML,70.5
filipis,cabral,2016,156,SCZ,sMRI/fMRI,ML,75.0
filipis,kim,2016,100,SCZ,rsfMRI,DL,85.8
filipis,liu,2017,79,SCZ,rsfMRI,ML,89.9
filipis,guo,2017,96,SCZ,fMRI,ML,94.6
filipis,orban,2017,382,SCZ,fMRI,ML,84.0
filipis,wang,2017,79,SCZ,fMRI,ML,90.1
filipis,bae,2017,75,SCZ,fMRI,ML,92.1
filipis,quershi,2017,144,SCZ,fMRI,ML,99.3
filipis,plaschke,2017,170,SCZ,rsfMRI,ML,66.5
filipis,liu,2018,79,SCZ,rsfMRI,ML,94.93
filipis,zeng,2018,734,SCZ,rsfMRI,ML,83.0
quaak,dakka,2017,95,SCZ,tfMRI,DL,66.4
quaak,pinaya,2019,75,SCZ,sMRI,DL,70.7
quaak,matsubara,2019,175,SCZ,rsfMRI,DL,71.3
quaak,vyskovsky,2019,104,SCZ,sMRI,DL,73.1
quaak,pinaya,2016,226,SCZ,sMRI,DL,73.6
quaak,ulloa,2015,389,SCZ,sMRI,DL,75.0
quaak,han,2017,70,SCZ,rsfMRI,DL,79.3
quaak,li,2019,183,SCZ,Multimodal,DL,80.5
quaak,lei,2019,747,SCZ,rsfMRI,DL,81.0
quaak,wang,2019,56,SCZ,rsfMRI,DL,82.2
quaak,yang,2019,222,SCZ,rsfMRI,DL,82.8
quaak,yan,2019,1110,SCZ,rsfMRI,DL,83.2
quaak,oh,2019,144,SCZ,tfMRI,DL,84.4
quaak,yan,2017,1110,SCZ,rsfMRI,DL,84.8
quaak,zeng,2018,784,SCZ,rsfMRI/tfMRI,DL,85.0
quaak,plis,2014,389,SCZ,sMRI,DL,91.0
quaak,patel,2016,146,SCZ,rsfMRI,DL,92.0
quaak,srinivasagopalan,2019,144,SCZ,sMRI/rsfMRI,DL,94.4
quaak,quershi,2019,144,SCZ,rsfMRI,DL,98.0
quaak,quershi,2017,144,SCZ,sMRI/rsfMRI,DL,99.3
verma,ulas,2012,100,SCZ,sMRI,ML,81.0
verma,park,2020,152,SCZ,sMRI,ML,80.4
verma,febles,2022,108,SCZ,EEG,ML,83.0
verma,ulas,2011,114,SCZ,sMRI,ML,85.96
verma,modinos,2012,40,SCZ,fMRI,ML,75.0
verma,arbabshirani,2013,56,SCZ,fMRI,ML,96.0
verma,jafri,2006,35,SCZ,fMRI,DL,76.0
verma,bae,2018,75,SCZ,fMRI,ML,92.1
verma,chin,2018,212,SCZ,sMRI,ML,92.0
verma,depierrefeu,2018,37,SCZ,fMRI,ML,73.0
verma,li,2019,131,SCZ,fMRI,ML,76.34
verma,liu,2019,56,SCZ,fMRI,ML,92.9
verma,sutcubasi,2019,62,SCZ,DTI,DL,81.25
verma,chen,2020,68,SCZ,sMRI,ML,85.0
verma,lei,2020,747,SCZ,sMRI/fMRI,ML,90.83
verma,vieira,2020,958,SCZ,sMRI,DL,70.0
verma,yang,2020,88,SCZ,fMRI,ML,99.46
verma,yassin,2020,97,SCZ,sMRI,ML,75.0
verma,lin,2021,210,SCZ,fMRI/DTI,ML,95.33
verma,shi,2021,145,SCZ,sMRI/fMRI,ML,93.75
verma,algumaei,2022,140,SCZ,fMRI,ML,98.57
verma,tanveer,2022,146,SCZ,sMRI,ML,80.71
wolfers,yushkevich,2005,92,SCZ,sMRI,ML,71.0
wolfers,shi,2007,83,SCZ,sMRI,ML,80.0
wolfers,sun,2009,72,SCZ,sMRI,ML,86.1
wolfers,pohl,2009,33,SCZ,sMRI,ML,90.0
wolfers,koutsoleris,2009,120,SCZ,sMRI,ML,84.83
wolfers,anderson,2010,20,SCZ,rsfMRI,ML,75.0
wolfers,takayanagi,2010,82,SCZ,sMRI,ML,75.6
wolfers,rathi,2010,41,SCZ,dMRI,ML,85.5
wolfers,yang,2010,40,SCZ,tfMRI,ML,87.0
