year,sample,diagnosis,accuracy
2011,45,DEM,100.0
2014,36,DEM,94.3
2013,280,DEM,77.75
2015,53,DEM,79.5
2008,90,SCZ,80.0
2006,58,SCZ,75.0
2011,100,SCZ,96.0
2013,63,SCZ,79.0
2012,48,MDD,91.7
2019,62,SCZ,81.25
2021,210,SCZ,95.33
2010,41,SCZ,85.5
2014,20,SCZ,100.0
2012,48,MDD,91.7
2012,46,MDD,96.0
2014,59,MDD,80.05
2012,37,BP,100.0
2015,32,BP,78.12
2018,815,DEM,92.5
2018,531,DEM,93.3
2018,150,MS,88.9
2018,70,SCZ,88.55
2018,154,SCZ,62.34
2017,50,MDD,74.0
2015,32,MDD,71.9
2015,68,MDD,87.3
2012,48,MDD,91.7
2018,307,MDD,75.1
