source,diagnosis,count,id
aggarwal,DEM,1,0
aggarwal,PD,25,2
arbabashirani,BP,1,5
arbabashirani,DEM,1,0
arbabshirani,BP,7,5
arbabshirani,DEM,105,0
arbabshirani,MDD,20,4
arbabshirani,SCZ,67,3
aslam,MS,50,1
claude,BP,35,5
claude,MDD,14,4
claude,SCZ,13,3
ebramhimighahnavieh,DEM,66,0
fahti,DEM,61,0
filipis,BP,3,5
filipis,MDD,1,4
filipis,SCZ,32,3
mirzaei,DEM,21,0
quaak,BP,1,5
quaak,MDD,2,4
quaak,SCZ,23,3
rashid,BP,15,5
rashid,MDD,42,4
rashid,SCZ,30,3
shoebi,MS,11,1
verma,SCZ,25,3
wolfers,BP,13,5
wolfers,MDD,26,4
wolfers,SCZ,30,3
