source,modality,count
aggarwal,Multimodal,1
aggarwal,SPECT,12
aggarwal,T1,6
aggarwal,T2,4
aggarwal,fMRI,1
aggarwal,sMRI,2
arbabashirani,dMRI,2
arbabshirani,Multimodal,7
arbabshirani,PET,13
arbabshirani,dMRI,19
arbabshirani,rsfMRI,34
arbabshirani,sMRI,169
arbabshirani,tfMRI,19
aslam,EEG,2
aslam,FLAIR,6
aslam,Multimodal,1
aslam,T1,7
aslam,T2,9
aslam,dMRI,1
aslam,fMRI,3
aslam,rsfMRI,1
aslam,sMRI,20
claude,DTI,4
claude,fMRI,2
claude,rsfMRI,11
claude,sMRI,30
claude,tfMRI,15
ebramhimighahnavieh,DTI,2
ebramhimighahnavieh,MRI,1
ebramhimighahnavieh,Multimodal,10
ebramhimighahnavieh,PET,9
ebramhimighahnavieh,fMRI,3
ebramhimighahnavieh,sMRI,41
fahti,PET,13
fahti,fMRI,4
fahti,sMRI,44
filipis,fMRI,21
filipis,rsfMRI,8
filipis,sMRI,9
mirzaei,Multimodal,4
mirzaei,PET,4
mirzaei,T1,2
mirzaei,fMRI,1
mirzaei,sMRI,25
quaak,Multimodal,1
quaak,rsfMRI,14
quaak,sMRI,7
quaak,tfMRI,4
rashid,DTI,6
rashid,dMRI,3
rashid,rsfMRI,26
rashid,sMRI,36
rashid,tfMRI,16
shoebi,T1,3
shoebi,T2,4
shoebi,sMRI,4
verma,DTI,2
verma,EEG,1
verma,fMRI,12
verma,sMRI,10
wolfers,dMRI,9
wolfers,rsfMRI,11
wolfers,sMRI,34
wolfers,tfMRI,17
