year,sample,diagnosis,accuracy
2018,60,DEM,94.0
2013,31,DEM,100.0
2015,40,DEM,100.0
2010,36,Multiclass,92.0
2015,116,Multiclass,82.5
2012,28,SCZ,96.0
2008,138,SCZ,85.0
2012,102,SCZ,62.0
2015,88,SCZ,93.0
2013,208,SCZ,77.0
2011,104,SCZ,92.0
2008,34,SCZ,65.5
2014,52,SCZ,85.0
2011,106,SCZ,95.0
2008,61,Multiclass,89.0
2010,60,Multiclass,86.0
2013,71,Multiclass,62.0
2014,145,SCZ,91.0
2014,92,SCZ,75.0
2012,36,SCZ,75.0
2012,44,SCZ,93.0
2013,64,SCZ,83.0
2010,52,SCZ,86.0
2015,100,SCZ,86.0
2015,267,SCZ,79.5
2015,48,SCZ,80.0
2013,18,SCZ,100.0
2011,62,SCZ,86.0
2015,144,SCZ,85.5
2012,58,SCZ,75.0
2013,56,SCZ,96.0
2014,180,SCZ,73.9
2013,146,SCZ,65.0
2011,38,MDD,64.25
2015,38,MDD,81.95
2015,46,MDD,78.1
2015,62,MDD,92.5
2014,53,MDD,92.5
2013,40,MDD,90.0
2012,43,MDD,99.0
2014,76,MDD,76.6
2014,63,MDD,90.5
2020,174,DEM,88.0
2020,389,DEM,97.37
2021,138,DEM,80.8
2008,34,SCZ,93.0
2010,40,SCZ,77.4
2013,64,SCZ,80.2
2014,45,SCZ,83.6
2014,52,SCZ,85.0
2014,370,SCZ,88.2
2014,208,SCZ,63.1
2015,211,Multiclass,76.6
2015,98,SCZ,81.25
2015,147,SCZ,90.0
2016,156,SCZ,70.5
2016,100,SCZ,85.8
2017,79,SCZ,89.9
2017,96,SCZ,94.6
2017,382,SCZ,84.0
2017,79,SCZ,90.1
2017,60,Multiclass,79.0
2017,75,SCZ,92.1
2017,144,SCZ,99.3
2017,148,Multiclass,41.0
2017,109,Multiclass,81.7
2017,170,SCZ,66.5
2018,79,SCZ,94.93
2018,734,SCZ,83.0
2017,95,SCZ,66.4
2019,175,SCZ,71.3
2017,70,SCZ,79.3
2019,747,SCZ,81.0
2019,56,SCZ,82.2
2019,222,SCZ,82.8
2019,1110,SCZ,83.2
2019,144,SCZ,84.4
2017,1110,SCZ,84.8
2016,146,SCZ,92.0
2019,144,SCZ,98.0
2019,163,BP,64.0
2018,50,MDD,73.0
2017,39,MDD,92.3
2012,40,SCZ,75.0
2013,56,SCZ,96.0
2006,35,SCZ,76.0
2018,75,SCZ,92.1
2018,37,SCZ,73.0
2019,131,SCZ,76.34
2019,56,SCZ,92.9
2020,88,SCZ,99.46
2022,140,SCZ,98.57
2010,20,SCZ,75.0
2010,40,SCZ,87.0
2011,104,Multiclass,85.5
2012,56,SCZ,93.0
2012,46,SCZ,80.4
2013,20,SCZ,77.5
2015,68,SCZ,74.0
2008,40,MDD,67.5
2008,38,MDD,86.0
2009,40,MDD,95.0
2011,60,MDD,83.0
2011,38,MDD,86.9
2012,55,MDD,94.3
2012,36,MDD,61.0
2012,36,BP,64.0
2012,36,Multiclass,67.0
2013,58,MDD,90.06
2013,20,MDD,85.0
2013,20,BP,80.0
2013,20,Multiclass,90.0
2013,89,Multiclass,80.9
2010,61,Multiclass,71.9
2014,114,BP,61.7
2017,108,Multiclass,59.72
2017,60,BP,83.5
2013,30,Multiclass,65.0
2018,73,Multiclass,82.22
2017,66,Multiclass,81.0
2012,54,Multiclass,64.0
2014,66,Multiclass,79.6
2017,106,Multiclass,93.1
2010,60,Multiclass,71.0
2015,93,Multiclass,68.75
2016,159,Multiclass,84.0
2008,61,Multiclass,90.0
2018,30,PD,100.0
2016,43,DEM,96.86
2018,68,DEM,95.59
2022,20,MS,85.0
2019,37,MS,85.7
2019,20,MS,95.0
2014,53,SCZ,83.0
2010,60,SCZ,86.0
2012,56,SCZ,95.5
2015,55,SCZ,72.0
2013,71,SCZ,62.0
2012,36,SCZ,75.0
2013,180,SCZ,73.9
2015,20,SCZ,100.0
2018,79,SCZ,89.87
2018,82,SCZ,91.0
2018,45,SCZ,95.56
2018,72,SCZ,95.56
2017,380,SCZ,74.0
2017,123,Multiclass,80.0
2017,165,MDD,89.15
2017,60,MDD,95.0
2017,360,MDD,50.55
2017,67,MDD,76.1
2017,60,Multiclass,73.1
2016,34,MDD,66.0
2016,32,MDD,75.0
2015,46,MDD,78.3
2015,40,MDD,97.0
2014,60,MDD,72.0
2013,18,MDD,72.2
2014,44,Multiclass,79.6
2013,51,MDD,80.9
2013,34,MDD,77.0
2013,30,Multiclass,90.0
2018,48,MDD,91.7
