source,author,year,sample,diagnosis,modality,method,accuracy
quaak,matsubara,2019,163,BP,rsfMRI,DL,64.0
wolfers,mourao,2012,36,BP,tfMRI,ML,64.0
wolfers,bansal,2012,66,BP,sMRI,ML,98.2
wolfers,grotegerd,2013,20,BP,tfMRI,ML,80.0
wolfers,schnack,2014,112,BP,sMRI,ML,59.0
wolfers,serpa,2014,94,BP,sMRI,ML,66.1
wolfers,rocha,2014,80,BP,sMRI,ML,72.5
claude,anticevic,2014,114,BP,rsfMRI,ML,61.7
claude,besga,2012,37,BP,DTI,ML,100.0
claude,chen,2014,23,BP,sMRI,ML,57.0
claude,frangou,2017,60,BP,tfMRI,ML,83.5
claude,mwangi,2014,32,BP,sMRI,ML,78.12
claude,mwangi,2015,32,BP,DTI,ML,78.12
claude,mwangi,2016,256,BP,sMRI,ML,70.3
claude,nunes,2018,3020,BP,sMRI,ML,58.67
claude,sacchet,2015,101,BP,sMRI,ML,55.9
colombo,achalia,2020,60,BP,sMRI,ML,77.8
colombo,achalia,2020,60,BP,DTI,ML,74.0
colombo,bancal,2012,66,BP,sMRI,ML,100.0
colombo,besga,2016,33,BP,DTI,ML,66.8
colombo,frangou,2017,60,BP,fMRI,ML,83.5
colombo,grotegerd,2013,20,BP,fMRI,ML,65.0
colombo,jie,2015,45,BP,rsfMRI,ML,82.2
colombo,li,2017,44,BP,rsfMRI,ML,81.0
colombo,li,2020,80,BP,sMRI/fMRI,ML,75.0
colombo,lin,2018,76,BP,sMRI,ML,90.7
colombo,mourao,2012,36,BP,fMRI,ML,64.0
colombo,salvador,2017,255,BP,sMRI,ML,65.5
colombo,shan,2020,82,BP,rsfMRI,ML,91.9
colombo,squarcina,2019,75,BP,sMRI,DL,75.0
colombo,vai,2020,148,BP,DTI,ML,77.7
colombo,wang,2020,207,BP,rsfMRI,ML,80.5
colombo,yang,2019,190,BP,sMRI,ML,81.5
colombo,yu,2020,46,BP,rsfMRI,ML,89.1
