,source,author,year,sample,diagnosis,modality,method,accuracy
1,mirzaei,martinez-murcia,2016,360,AD/HC,sMRI,ML,80.0
2,mirzaei,rabeh,2016,75,AD/MCI/HC,sMRI,ML,90.66
3,mirzaei,khedher,2017,818,AD/MCI/HC,sMRI,ML,89.0
5,mirzaei,lu,2017,272,AD/MCI/HC,PET,ML,92.0
7,mirzaei,bi,2018,60,AD/HC,fMRI,ML,94.0
8,mirzaei,zheng,2018,361,AD/MCI/HC,sMRI,ML,81.0
9,mirzaei,sun,2018,509,AD/MCI/HC,T1,ML,89.0
11,mirzaei,kruthika,2019,475,AD/MCI/HC,sMRI,ML,96.31
13,mirzaei,alickovic,2019,267,AD/HC,sMRI,ML,85.0
16,mirzaei,richhariya,2020,813,AD/MCI/HC,sMRI,ML,100.0
17,mirzaei,lella,2020,80,AD/HC,Multimodal,ML,74.0
18,mirzaei,bi,2020,72,AD/HC,Multimodal,ML,87.0
20,arbabshirani,grana,2011,45,AD/HC,dMRI,ML,100.0
21,arbabshirani,bergouignan,2011,57,AD/BP/HC,dMRI,ML,100.0
22,arbabshirani,nir,2015,200,AD/MCI/HC,dMRI,ML,76.6
23,arbabshirani,wu,2013,31,AD/HC,rsfMRI,ML,100.0
24,arbabshirani,khazaee,2015,40,AD/HC,rsfMRI,ML,100.0
25,arbabshirani,zhou,2010,36,AD/FTD/HC,rsfMRI,ML,92.0
26,arbabshirani,challis,2015,116,AD/MCI/HC,rsfMRI,ML,82.5
27,arbabshirani,zhang,2015,126,AD/HC,sMRI,ML,92.3
28,arbabshirani,zhang,2011,100,AD/HC,sMRI,ML,90.0
29,arbabshirani,wang,2007,44,AD/HC,sMRI,ML,82.85
30,arbabshirani,vemuri,2008,380,AD/HC,sMRI,ML,87.44
31,arbabshirani,sabuncu,2012,300,AD/HC,sMRI,ML,93.0
32,arbabshirani,polat,2012,62,AD/HC,sMRI,ML,76.5
33,arbabshirani,oliveira,2010,34,AD/HC,sMRI,ML,88.2
34,arbabshirani,miller,2009,101,AD/HC,sMRI,ML,77.0
35,arbabshirani,mahanand,2012,60,AD/HC,sMRI,ML,98.4
36,arbabshirani,magnin,2009,38,AD/HC,sMRI,ML,94.5
37,arbabshirani,li,2007,39,AD/HC,sMRI,ML,89.75
38,arbabshirani,lerch,2008,36,AD/HC,sMRI,ML,95.0
39,arbabshirani,lee,2014,117,AD/HC,sMRI,ML,87.5
40,arbabshirani,hinrichs,2009,183,AD/HC,sMRI,ML,82.0
41,arbabshirani,hidalgo,2014,370,AD/HC,sMRI,ML,94.7
42,arbabshirani,hampel,2002,55,AD/HC,sMRI,ML,92.5
43,arbabshirani,frisoni,1996,77,AD/HC,sMRI,ML,84.0
44,arbabshirani,freeborough,1998,66,AD/HC,sMRI,ML,91.0
45,arbabshirani,farzan,2015,60,AD/HC,sMRI,ML,91.7
47,arbabshirani,decarli,1995,60,AD/HC,sMRI,ML,100.0
48,arbabshirani,cuingnet,2013,299,AD/HC,sMRI,ML,87.0
