source,author,year,sample,diagnosis,modality,method,accuracy
aggarwal,vyas,2022,318,PD,T2,DL,88.9
aggarwal,bhan,2021,54,PD,T1,DL,97.62
aggarwal,mozhdehfarahbakhsh,2021,100,PD,sMRI,DL,94.0
aggarwal,solana,2021,480,PD,T1,ML,97.99
aggarwal,kaur,2021,504,PD,T2,DL,89.23
aggarwal,chakraborty,2020,906,PD,T1,DL,95.3
aggarwal,sivaranjini,2020,182,PD,T2,DL,88.9
aggarwal,shah,2018,500,PD,T2,DL,96.87
aggarwal,esmaelizadehet,2018,656,PD,sMRI,DL,82.0
aggarwal,peng,2018,172,PD,T1,ML,85.78
aggarwal,nithya,2022,200,PD,SPECT,ML,93.0
aggarwal,kurmi,2022,645,PD,SPECT,DL,98.45
aggarwal,dehgan,2022,650,PD,SPECT,DL,95.5
aggarwal,magesh,2020,642,PD,SPECT,DL,95.2
aggarwal,hsu,2020,202,PD,SPECT,DL,85.0
aggarwal,castillo,2020,386,PD,SPECT,ML,97.04
aggarwal,ortiz,2019,269,PD,SPECT,DL,95.1
aggarwal,wenzel,2019,645,PD,SPECT,DL,62.9
aggarwal,martinez,2018,642,PD,SPECT,DL,94.1
aggarwal,kim,2018,153,PD,SPECT,DL,96.3
aggarwal,zhang,2017,1513,PD,SPECT,DL,93.8
aggarwal,challa,2017,686,PD,Multimodal,DL,97.159
aggarwal,oliveira,2015,654,PD,SPECT,ML,97.86
aggarwal,yadav,2018,30,PD,fMRI,DL,100.0
