year,sample,accuracy,pet
2016,360,80.0,0
2018,60,94.0,0
2019,267,85.0,0
2019,69,96.0,0
2020,80,74.0,0
2020,72,87.0,0
2011,45,100.0,0
2013,31,100.0,0
2015,40,100.0,0
2015,126,92.3,0
2011,100,90.0,0
2007,44,82.85,0
2008,380,87.44,0
2012,300,93.0,0
2012,62,76.5,0
2010,34,88.2,0
2009,101,77.0,0
2012,60,98.4,0
2009,38,94.5,0
2007,39,89.75,0
2008,36,95.0,0
2014,117,87.5,0
2009,183,82.0,0
2014,370,94.7,0
2002,55,92.5,0
1996,77,84.0,0
1998,66,91.0,0
2015,60,91.7,0
2014,85,93.7,0
1995,60,100.0,0
2013,299,87.0,0
2012,100,93.0,0
2014,212,78.5,0
2015,260,86.0,0
2012,117,88.0,0
2008,54,90.9,0
2013,448,72.0,0
2011,417,87.0,0
2001,39,76.9,0
2014,36,94.3,0
2013,280,77.75,0
2013,90,93.0,1
2012,38,89.5,0
2015,53,79.5,0
2019,615,98.59,0
2019,662,100.0,0
2018,202,97.13,1
2019,4359,98.6,0
2019,1351,98.75,0
2018,210,99.31,0
2018,339,91.2,1
2020,828,91.0,0
2019,1638,98.2,0
2019,150,99.14,0
2020,174,88.0,0
2019,1941,97.6,0
2018,831,89.5,0
2019,807,89.1,0
2020,449,88.9,0
2014,398,95.35,1
2017,805,91.02,0
2019,833,98.83,0
2019,1820,100.0,0
2017,900,98.33,0
2020,389,97.37,0
2016,275,90.0,1
2020,490,98.59,0
2018,615,98.8,1
2019,381,99.47,0
2018,1663,95.44,0
2018,962,91.0,1
2014,311,87.76,1
2018,397,93.26,1
2018,1224,84.6,1
2015,331,91.4,1
2020,773,90.8,0
2021,138,80.8,0
2020,509,84.0,0
2021,1006,93.13,1
2021,968,97.35,0
2020,1832,92.0,0
2021,300,98.73,0
2021,807,85.9,0
2021,959,90.1,1
2021,377,98.0,0
2021,600,92.0,0
2021,379,98.89,0
2021,300,97.23,0
2021,365,92.56,0
2021,381,94.11,0
2021,360,92.3,0
2021,195,98.7,1
2022,1340,90.7,0
2022,496,88.3,0
2022,639,99.62,0
2022,520,98.96,0
2013,202,95.9,0
2013,755,94.74,0
2014,202,91.4,1
2015,2265,95.39,0
2015,202,98.8,0
2015,338,88.98,0
2015,202,91.4,0
2016,210,97.6,0
2016,900,98.33,0
2016,302,98.84,0
2016,43,96.86,0
2016,302,100.0,0
2016,103,97.27,1
2016,150,83.14,0
2016,805,91.02,0
2016,560,84.0,0
2016,202,95.09,0
2017,815,82.2,0
2017,339,91.19,1
2017,231,88.0,0
2017,660,81.3,0
2017,416,96.25,0
2017,2630,91.6,1
2017,138,94.0,0
2017,832,91.7,0
2017,193,89.64,1
2017,317,91.14,1
2017,202,95.4,0
2017,98,91.76,0
2017,95,91.6,0
2017,338,91.95,0
2017,694,93.2,0
2017,428,87.15,0
2018,1728,94.0,0
2018,515,79.0,0
2018,856,90.56,0
2018,415,89.5,0
2018,815,92.5,0
2018,340,98.37,0
2018,428,89.69,0
2018,1051,93.58,1
2018,492,96.0,1
2018,196,97.65,0
2018,1790,75.0,0
2018,723,94.0,1
2018,500,100.0,0
2018,764,93.9,0
2018,202,97.12,0
2018,103,79.4,0
2018,531,93.3,0
2018,321,96.81,0
2018,376,99.0,0
2018,1726,94.97,0
2018,969,77.0,0
2018,1457,90.0,0
2018,68,95.59,0
2019,785,100.0,0
2019,833,98.83,0
