fpr,tpr
0.0,0.0
0.0,0.003
0.0,0.042
0.0,0.048
0.0,0.23
0.0,0.242
0.0,0.299
0.002,0.299
0.002,0.305
0.002,0.308
0.004,0.308
0.004,0.335
0.006,0.335
0.006,0.347
0.008,0.347
0.008,0.35
0.008,0.356
0.008,0.381
0.011,0.381
0.011,0.393
0.013,0.393
0.013,0.399
0.015,0.399
0.015,0.417
0.017,0.417
0.017,0.447
0.019,0.447
0.019,0.459
0.021,0.459
0.021,0.477
0.025,0.477
0.025,0.483
0.025,0.489
0.025,0.502
0.027,0.502
0.027,0.505
0.029,0.505
0.029,0.508
0.029,0.514
0.029,0.523
0.032,0.526
0.034,0.526
0.034,0.529
0.036,0.529
0.036,0.532
0.036,0.538
0.038,0.538
0.038,0.541
0.04,0.541
0.04,0.544
0.042,0.544
0.042,0.55
0.044,0.55
0.044,0.559
0.048,0.559
0.048,0.583
0.051,0.583
0.051,0.586
0.053,0.586
0.053,0.589
0.055,0.589
0.055,0.595
0.057,0.595
0.057,0.601
0.059,0.601
0.059,0.604
0.061,0.604
0.061,0.61
0.063,0.61
0.063,0.616
0.065,0.616
0.069,0.616
0.072,0.619
0.072,0.631
0.08,0.631
0.08,0.637
0.086,0.637
0.086,0.64
0.088,0.64
0.088,0.644
0.091,0.644
0.091,0.647
0.093,0.647
0.093,0.653
0.095,0.653
0.095,0.662
0.097,0.662
0.097,0.665
0.103,0.665
0.103,0.671
0.105,0.671
0.105,0.674
0.114,0.674
0.114,0.68
0.116,0.68
0.116,0.683
0.12,0.683
0.12,0.695
0.124,0.695
0.124,0.698
0.128,0.698
0.128,0.701
0.128,0.707
0.128,0.716
0.133,0.716
0.133,0.722
0.133,0.725
0.135,0.728
0.135,0.737
0.139,0.737
0.139,0.743
0.143,0.743
0.143,0.749
0.149,0.749
0.149,0.755
0.152,0.755
0.152,0.761
0.162,0.761
0.162,0.767
0.164,0.77
0.164,0.776
0.164,0.779
0.166,0.779
0.166,0.782
0.168,0.782
0.171,0.785
0.171,0.792
0.177,0.792
0.181,0.792
0.181,0.795
0.183,0.795
0.183,0.798
0.189,0.798
0.189,0.801
0.192,0.801
0.192,0.804
0.194,0.804
0.194,0.807
0.206,0.807
0.206,0.816
0.213,0.816
0.213,0.822
0.217,0.822
0.217,0.828
0.225,0.828
0.225,0.831
0.227,0.831
0.227,0.834
0.232,0.834
0.232,0.837
0.234,0.837
0.234,0.84
0.244,0.84
0.244,0.846
0.248,0.846
0.248,0.852
0.253,0.852
0.255,0.855
0.255,0.858
0.259,0.858
0.259,0.861
0.261,0.861
0.261,0.864
0.274,0.864
0.274,0.867
0.291,0.867
0.295,0.867
0.295,0.87
0.297,0.87
0.297,0.873
0.307,0.873
0.307,0.876
0.309,0.876
0.312,0.879
0.341,0.879
0.341,0.882
0.343,0.882
0.343,0.885
0.349,0.885
0.349,0.888
0.36,0.888
0.36,0.891
0.362,0.894
0.366,0.894
0.371,0.894
0.373,0.894
0.373,0.9
0.381,0.9
0.381,0.909
0.392,0.909
0.396,0.909
0.406,0.909
0.406,0.912
0.408,0.912
0.408,0.915
0.415,0.915
0.415,0.921
0.432,0.921
0.432,0.924
0.438,0.924
0.438,0.927
0.444,0.927
0.444,0.94
0.446,0.94
0.446,0.943
0.455,0.943
0.455,0.946
0.459,0.946
0.459,0.949
0.461,0.952
0.465,0.952
0.465,0.955
0.474,0.955
0.476,0.958
0.488,0.958
0.488,0.961
0.499,0.961
0.499,0.964
0.503,0.964
0.503,0.967
0.533,0.967
0.537,0.967
0.539,0.967
0.539,0.97
0.566,0.97
0.571,0.97
0.573,0.97
0.577,0.97
0.594,0.97
0.598,0.97
0.613,0.97
0.615,0.973
0.623,0.973
0.632,0.973
0.661,0.973
0.661,0.976
0.674,0.976
0.678,0.976
0.699,0.976
0.703,0.976
0.747,0.976
0.747,0.979
0.777,0.979
0.777,0.982
0.785,0.982
0.789,0.982
0.792,0.982
0.792,0.985
0.8,0.985
0.8,0.988
0.815,0.988
0.815,0.991
0.863,0.991
0.863,0.994
0.867,0.994
0.869,0.994
0.869,0.997
0.882,0.997
0.886,0.997
0.888,0.997
0.893,0.997
0.92,0.997
0.924,0.997
0.958,0.997
0.962,0.997
0.989,0.997
0.989,1.0
1.0,1.0
