region,size,sum,mean,max,sum_HC,mean_HC,max_HC
Full,1827243,-0.05518268552139853,-3.0199970951536566e-08,5.209453229326755e-05,-0.4305549189029095,-2.356309034446483e-07,5.294647780829109e-05
Frontal Pole,114814,0.24140445131840954,2.102569820042935e-06,1.6564439647481777e-05,0.22889580829291645,1.9936228011646355e-06,1.757686368364375e-05
Insular Cortex,21088,-0.02369923193107233,-1.123825489902899e-06,1.2015427273581736e-05,-0.026876603487199904,-1.2744975098254887e-06,1.3321161532076076e-05
Superior Frontal Gyrus,44557,0.00324211471394225,7.27633079862255e-08,1.9908668491552817e-06,0.01759849507686557,3.94965888117817e-07,2.3187078568298602e-06
Middle Frontal Gyrus,42749,-0.06087298023021802,-1.4239626711786946e-06,3.6064523101231316e-06,-0.058351904848354744,-1.3649887681198331e-06,3.225119826311129e-06
"Inferior Frontal Gyrus, pars triangularis",10256,0.016600306004015075,1.6185945791746368e-06,4.4137545955891255e-06,0.015187062514947114,1.4807978271204285e-06,3.8947096072661225e-06
"Inferior Frontal Gyrus, pars opercularis",11966,-0.014155888566984354,-1.1830092400956338e-06,2.5715855827002088e-06,-0.016134656505051928,-1.3483751048848343e-06,2.190564373449888e-06
Precentral Gyrus,60968,-0.16162680333714655,-2.6510104208297228e-06,1.7248820540771703e-06,-0.16096621152963697,-2.640175362971345e-06,2.580858108558459e-06
Temporal Pole,38880,0.1603230386720753,4.123534945269426e-06,1.747923124639783e-05,0.15726489157883172,4.0448788986325036e-06,1.9183520635124296e-05
"Superior Temporal Gyrus, anterior division",5358,0.005345499406441918,9.976669291604924e-07,5.512741608981742e-06,0.005705405382646717,1.0648386305798276e-06,6.2320050346897915e-06
"Superior Temporal Gyrus, posterior division",10682,-0.012315483238716951,-1.1529192322333786e-06,5.058487204223638e-06,-0.013818084803699449,-1.293585920585981e-06,5.425580638984684e-06
"Middle Temporal Gyrus, anterior division",7302,0.022677233474922787,3.1056194843772646e-06,7.48258707972127e-06,0.024143755495174446,3.306457887588941e-06,8.346224603883456e-06
"Middle Temporal Gyrus, posterior division",20710,0.015650167675620656,7.55681683999066e-07,7.027335414022673e-06,0.014860598095484345,7.175566439152267e-07,7.66595530876657e-06
"Middle Temporal Gyrus, temporooccipital part",15043,-0.02199875793315529,-1.4623916727484737e-06,1.7706832977637532e-06,-0.02536760172129225,-1.6863392754963938e-06,1.4212635051080724e-06
"Inferior Temporal Gyrus, anterior division",5840,0.024219626384820003,4.147196298770548e-06,8.980588063423056e-06,0.025253097309587247,4.324160498216994e-06,1.0021620255429298e-05
