region,size,sum,mean,max,sum_HC,mean_HC,max_HC
Full,1827243,-2.0884405901444136,-1.1429462803493643e-06,0.00015049662033561617,-2.9763692176394283,-1.628885275597952e-06,0.00014329730765894055
Frontal Pole,114814,0.21909879380828673,1.908293359766986e-06,3.904793265974149e-05,0.22009378166236876,1.916959444513463e-06,3.846188337774947e-05
Insular Cortex,21088,-0.22842213979621018,-1.083185412538933e-05,1.4480755453405436e-05,-0.23881435316918131,-1.1324656352863302e-05,8.204830010072328e-06
Superior Frontal Gyrus,44557,-0.0019346792799907614,-4.3420321834745637e-08,5.834169769514119e-06,-0.007541344534240168,-1.6925162228696205e-07,5.0357443797111046e-06
Middle Frontal Gyrus,42749,-0.11774813890826313,-2.7544068611724983e-06,5.44610338693019e-06,-0.11984920026729073,-2.8035556449809524e-06,4.950833499606233e-06
"Inferior Frontal Gyrus, pars triangularis",10256,0.008347057840709438,8.138706942969421e-07,8.141024409269448e-06,0.007863505767363277,7.667224812171682e-07,5.24892038811231e-06
"Inferior Frontal Gyrus, pars opercularis",11966,-0.052384818507164255,-4.377805324015064e-06,5.04696618008893e-06,-0.051706368820954696,-4.321107205495128e-06,3.8686430343659595e-06
Precentral Gyrus,60968,-0.34308480883831005,-5.627293151133546e-06,6.356065114232479e-06,-0.36077319195682184,-5.9174188419633555e-06,5.3399326134240255e-06
Temporal Pole,38880,0.13855002484734827,3.5635294456622496e-06,1.9657676602946594e-05,0.10616782269106517,2.730653875799001e-06,1.8168580936617218e-05
"Superior Temporal Gyrus, anterior division",5358,-0.016404045827593805,-3.061598698692386e-06,5.07114873471437e-06,-0.019443213305693065,-3.6288192059897474e-06,2.706734449020587e-06
"Superior Temporal Gyrus, posterior division",10682,-0.07036347605715691,-6.5871069141693425e-06,2.501857579773059e-06,-0.07475690801529944,-6.998399926539921e-06,6.294349077506922e-07
"Middle Temporal Gyrus, anterior division",7302,0.007890510867702524,1.0805958460288311e-06,5.512547431862913e-06,0.004685129817708189,6.416228180920554e-07,5.589249212789582e-06
"Middle Temporal Gyrus, posterior division",20710,-0.0750585888500383,-3.6242679309530807e-06,4.169372459728038e-06,-0.08160755919063628,-3.940490545177995e-06,4.1269618122896645e-06
"Middle Temporal Gyrus, temporooccipital part",15043,-0.045117497375895654,-2.9992353503885964e-06,5.3491021390073e-08,-0.049817153088766775,-3.311650142176878e-06,5.446365491934557e-08
"Inferior Temporal Gyrus, anterior division",5840,0.02161943591124782,3.701958203980791e-06,8.671361683809664e-06,0.019497792394361113,3.338663081226218e-06,8.90115825313842e-06
"Inferior Temporal Gyrus, posterior division",15177,0.021356345708555907,1.4071519871223502e-06,9.994030733651016e-06,0.019140266882852808,1.2611363828722942e-06,9.678022252046503e-06
"Inferior Temporal Gyrus, temporooccipital part",13599,0.0008920750381549523,6.559857623023401e-08,8.111715942504816e-06,-0.0009588437412187624,-7.050840070731394e-08,7.987740900716744e-06
Postcentral Gyrus,54508,-0.2778628164308157,-5.097652022286924e-06,3.6597800772142364e-06,-0.29553827057324034,-5.421924682124465e-06,3.6362769151310204e-06
Superior Parietal Lobule,23524,-0.037329483361311866,-1.5868680225009296e-06,1.1322066484353854e-06,-0.041320478408500505,-1.7565243329578517e-06,1.0877314480239875e-06
"Supramarginal Gyrus, anterior division",14746,-0.12103623488098345,-8.208072350534616e-06,1.7591081302725797e-07,-0.13350113803630848,-9.053379766466056e-06,-1.1437726925578318e-06
"Supramarginal Gyrus, posterior division",19966,-0.11520954852778686,-5.770286914143387e-06,-4.626716361144645e-07,-0.12781670199422024,-6.401718020345599e-06,-1.0684126436899533e-06
Angular Gyrus,19190,-0.0626693733760817,-3.2657307647775764e-06,-6.486584425147157e-07,-0.07351692610779992,-3.831001881594576e-06,-1.011214408208616e-06
"Lateral Occipital Cortex, superior division",70658,-0.09349461602789821,-1.323199298421951e-06,1.3147148081316118e-07,-0.11509861449196279,-1.6289537560072857e-06,-6.749792902382978e-08
"Lateral Occipital Cortex, inferior division",35217,0.020268775827982994,5.755395356783086e-07,2.0797919205506332e-05,0.005501814758993022,1.5622610554541902e-07,1.901494943012949e-05
Intracalcarine Cortex,9627,-0.0049604158073523474,-5.152608089074839e-07,3.35279332830396e-06,-0.01216530015102582,-1.2636647087385293e-06,1.5575990346405888e-06
Frontal Medial Cortex,7282,0.025019248176590736,3.435766022602408e-06,7.901497156126425e-06,0.030212549286829926,4.148935634005758e-06,9.394938388140872e-06
