region,size,sum,mean,max,sum_HC,mean_HC,max_HC
Full,1827243,10.908106607516043,5.96970770035296e-06,7.64384531066753e-05,6.3953838732097665,3.500018264242778e-06,6.658915663138032e-05
Frontal Pole,114814,0.2606426080893173,2.270129148791239e-06,5.293059075484052e-05,0.1704077394424492,1.4842069733869493e-06,3.310435204184614e-05
Insular Cortex,21088,0.44300380400432005,2.1007388277898332e-05,7.64384531066753e-05,0.26188421229040926,1.2418636774014096e-05,4.793527114088647e-05
Superior Frontal Gyrus,44557,0.07922063228295706,1.7779615387696e-06,4.259345132595627e-06,0.03502540785099953,7.8608092670062e-07,3.1153272175288294e-06
Middle Frontal Gyrus,42749,0.05225435932531648,1.2223527877919128e-06,6.47010847387719e-06,0.01797723474925663,4.2052994805157154e-07,4.929402166453656e-06
"Inferior Frontal Gyrus, pars triangularis",10256,0.06730417666817878,6.5624197219363084e-06,2.1982928956276737e-05,0.046247377751232666,4.509299702733294e-06,1.682993934082333e-05
"Inferior Frontal Gyrus, pars opercularis",11966,0.06200784971609208,5.182003151938165e-06,2.1522699171327986e-05,0.04177922885987423,3.4914949740827536e-06,1.474618329666555e-05
Precentral Gyrus,60968,0.05740903191308164,9.41625638254193e-07,1.8438489860272966e-05,-0.00044958631684737654,-7.374135888455855e-09,1.1807651389972307e-05
Temporal Pole,38880,0.996452887455689,2.562893229052698e-05,7.496495527448133e-05,0.5303592041525462,1.3640926032730098e-05,4.587043440551497e-05
"Superior Temporal Gyrus, anterior division",5358,0.0635537885410713,1.1861476024836001e-05,2.9994458600413054e-05,0.03210276946669666,5.9915583177858634e-06,1.730656913423445e-05
"Superior Temporal Gyrus, posterior division",10682,0.018856822255038597,1.7652894827783746e-06,1.6505588064319454e-05,0.004955252705293241,4.6388810197465275e-07,8.023747795959935e-06
"Middle Temporal Gyrus, anterior division",7302,0.0961071054648528,1.3161750953828101e-05,2.7742442398448475e-05,0.04985817148872229,6.828015816039755e-06,1.551774221297819e-05
"Middle Temporal Gyrus, posterior division",20710,0.0661983318451156,3.1964428703580687e-06,1.8980595996254124e-05,0.022764845079841795,1.0992199459122064e-06,9.19262402021559e-06
"Middle Temporal Gyrus, temporooccipital part",15043,-0.004656227817714811,-3.095278746071137e-07,1.5285042991308728e-06,-0.012828174931079822,-8.52767063157603e-07,4.506166249029775e-07
"Inferior Temporal Gyrus, anterior division",5840,0.08553457673951925,1.4646331633479325e-05,2.4817587473080494e-05,0.04399135744370142,7.532766685565311e-06,1.3913988368585706e-05
"Inferior Temporal Gyrus, posterior division",15177,0.09115141130063503,6.005891236781646e-06,1.7528815078549087e-05,0.03814802775357279,2.5135420540009745e-06,8.915613761928398e-06
"Inferior Temporal Gyrus, temporooccipital part",13599,0.0027133059009569124,1.9952245760400855e-07,7.2207421908387914e-06,-0.007032105632165581,-5.171046129984249e-07,5.845417035743594e-06
Postcentral Gyrus,54508,-0.01240251858353616,-2.2753574857885373e-07,6.722347734466894e-06,-0.0473162292355351,-8.68060270704027e-07,6.100846348999767e-06
Superior Parietal Lobule,23524,-0.0213772382417884,-9.087416358522531e-07,2.8459919576562243e-06,-0.038471367744037546,-1.6354092732544442e-06,6.091789259698999e-07
"Supramarginal Gyrus, anterior division",14746,-0.005595990686548785,-3.79492112203227e-07,2.6949753646476893e-06,-0.01627791266524059,-1.1038866584321573e-06,1.5260782220138935e-06
"Supramarginal Gyrus, posterior division",19966,-0.004683205423371202,-2.345590215051188e-07,2.985119863296859e-06,-0.022916060457635452,-1.1477542050303243e-06,7.038082685539848e-07
Angular Gyrus,19190,0.0004769796452671702,2.48556355011553e-08,2.52544782597397e-06,-0.018810262356270844,-9.802116913116646e-07,9.058013006324472e-07
"Lateral Occipital Cortex, superior division",70658,-0.07149156710725793,-1.0117972077791324e-06,2.366747139603831e-06,-0.11557529322987146,-1.635700037219727e-06,7.506764632125851e-07
"Lateral Occipital Cortex, inferior division",35217,0.01621707643380663,4.604900029476284e-07,2.6474006517673843e-05,-0.0013445516545623898,-3.817905143999744e-08,2.3079239326762035e-05
Intracalcarine Cortex,9627,0.04335259853239243,4.503230345111917e-06,1.3976240552437957e-05,0.03408898266777949,3.540976697598368e-06,1.000733936962206e-05
Frontal Medial Cortex,7282,0.046364264313069725,6.366968458262802e-06,1.7239133740076795e-05,0.03138161122863892,4.309476960812815e-06,1.2570866601890884e-05
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),10922,0.014054960322616994,1.2868485920726051e-06,2.6280827114533167e-06,0.0008399578545421789,7.69051322598589e-08,1.0519393072172534e-06
Subcallosal Cortex,10166,0.162362667259913,1.5971145707250935e-05,3.935617132810876e-05,0.10268997223602128,1.0101315388158693e-05,2.320242128917016e-05
Paracingulate Gyrus,21888,0.08657485884970129,3.955357220837961e-06,1.5432442523888312e-05,0.06021999430846381,2.7512789797361024e-06,1.1963556971750222e-05
"Cingulate Gyrus, anterior division",17153,0.0807293149740167,4.706425405119611e-06,1.80713595909765e-05,0.04733786523795086,2.7597426244943077e-06,1.3443549505609553e-05
"Cingulate Gyrus, posterior division",16388,0.04902302927011355,2.9913979295895505e-06,3.1104307709028944e-05,0.02624394021509241,1.6014120219119118e-06,2.8043459678883664e-05
Precuneous Cortex,41201,0.039910660863295956,9.68681849064245e-07,3.426391049288213e-05,0.011123294164640293,2.6997631525060784e-07,3.0100580261205323e-05
Cuneal Cortex,8942,-0.009115514672096356,-1.0194044589685032e-06,5.092521860206034e-06,-0.01318749825292094,-1.474781732601313e-06,3.6146766433375888e-06
Frontal Orbital Cortex,25854,0.4829737175778064,1.8680812159735684e-05,5.073438660474494e-05,0.30193434477791925,1.1678438337507514e-05,3.542163540259935e-05
"Parahippocampal Gyrus, anterior division",12383,0.22835196324695062,1.8440762597670243e-05,5.790777504444122e-05,0.1047477419185725,8.458995551851126e-06,2.9876902772230096e-05
"Parahippocampal Gyrus, posterior division",7254,0.09883413763554927,1.362477772753643e-05,5.2265684644225985e-05,0.06371672392833716,8.783667483917446e-06,3.492242467473261e-05
Lingual Gyrus,32728,0.4261887388482819,1.3022144306046257e-05,3.9418420783476904e-05,0.3547488092797835,1.0839306076747234e-05,3.6545850889524445e-05
"Temporal Fusiform Cortex, anterior division",5878,0.08724306995827646,1.4842305198754078e-05,2.6644296667655e-05,0.0365481119444766,6.2177801879000685e-06,1.2551586223708e-05
