region,size,sum,mean,max,sum_HC,mean_HC,max_HC
Full,1827243,7.417898674632994,4.059612582799876e-06,7.113050378393382e-05,5.921882318381543,3.240883844339009e-06,6.322760600596666e-05
Frontal Pole,114814,0.16010207056376052,1.3944472848586455e-06,3.6813606129726395e-05,0.17283361113303575,1.5053356832183858e-06,3.0058781703701243e-05
Insular Cortex,21088,0.2730281109277217,1.2947084167665105e-05,5.3127667342778295e-05,0.21304550308437564,1.0102688879190802e-05,4.245644231559709e-05
Superior Frontal Gyrus,44557,0.07695896396114756,1.72720254867131e-06,4.675508989748778e-06,0.08978396391593445,2.0150361091620723e-06,4.522089056990808e-06
Middle Frontal Gyrus,42749,0.03273959721149998,7.658564460338249e-07,5.689721547241788e-06,0.03246708813395255,7.594818155735233e-07,5.119142770126928e-06
"Inferior Frontal Gyrus, pars triangularis",10256,0.0401954866984893,3.919216721771577e-06,1.6316040273522958e-05,0.03763322018883719,3.66938574384138e-06,1.5546569557045586e-05
"Inferior Frontal Gyrus, pars opercularis",11966,0.03669985087988173,3.0670107705065794e-06,1.554489426780492e-05,0.03156487472037025,2.637880220656046e-06,1.283769142901292e-05
Precentral Gyrus,60968,0.017180440150161742,2.8179438640207554e-07,1.3175476851756684e-05,-0.0003038164511238381,-4.983211703251511e-09,1.0308339369657915e-05
Temporal Pole,38880,0.5973751023382192,1.5364585965489178e-05,5.090629565529525e-05,0.4451646636438227,1.1449708427053053e-05,4.051852010888979e-05
"Superior Temporal Gyrus, anterior division",5358,0.035725188893135584,6.667635105101826e-06,1.9499311747495085e-05,0.02567726288562258,4.792322300414816e-06,1.5164003343670629e-05
"Superior Temporal Gyrus, posterior division",10682,0.0071380490923823176,6.682315196014152e-07,1.1402071322663687e-05,0.0009968730211488436,9.332269435956223e-08,7.485790320060914e-06
"Middle Temporal Gyrus, anterior division",7302,0.05770644640313094,7.902827499744035e-06,1.8791164620779455e-05,0.041524931150092925,5.6867887085857195e-06,1.4096019185672048e-05
"Middle Temporal Gyrus, posterior division",20710,0.03489711241848721,1.6850368140264227e-06,1.2486029845604207e-05,0.01708179841919722,8.248091945532217e-07,8.87909482116811e-06
"Middle Temporal Gyrus, temporooccipital part",15043,-0.0075383068189320765,-5.011172518069585e-07,1.0412621804789524e-06,-0.0120789778772918,-8.029633635107226e-07,8.41398843931529e-07
"Inferior Temporal Gyrus, anterior division",5840,0.05449318222281363,9.331024353221512e-06,1.7393631424056366e-05,0.039943167143746905,6.8395834150251545e-06,1.2762496226059739e-05
"Inferior Temporal Gyrus, posterior division",15177,0.05700947385954758,3.756307166076799e-06,1.2322529983066488e-05,0.0385259117314283,2.5384405173241286e-06,9.07821686269017e-06
"Inferior Temporal Gyrus, temporooccipital part",13599,0.00027849475244365665,2.0479061140058582e-08,6.612557626795024e-06,-0.004487432417454494,-3.2998252941058123e-07,5.912574579269858e-06
