region,size,sum,mean,max,sum_HC,mean_HC,max_HC
Full,1827243,-1.4217224467173062,-7.78069718541708e-07,0.0001244935701834038,-2.527496229216437,-1.3832293948951712e-06,0.0001333641994278878
Frontal Pole,114814,0.29123138905895773,2.536549454412857e-06,3.287904473836534e-05,0.24201697146218432,2.107904710768585e-06,3.4025873901555315e-05
Insular Cortex,21088,-0.19030423052987339,-9.0242901427292e-06,1.272289955522865e-05,-0.22015454116784047,-1.0439801838383937e-05,9.265449079975951e-06
Superior Frontal Gyrus,44557,0.010560840401322711,2.370186592751467e-07,5.029515250498662e-06,-0.0014514055320309872,-3.257413048524333e-08,4.322038876125589e-06
Middle Frontal Gyrus,42749,-0.08804151376412273,-2.059498789775731e-06,6.386299901350867e-06,-0.10331622376957786,-2.4168103059621946e-06,5.409727691585431e-06
"Inferior Frontal Gyrus, pars triangularis",10256,0.013389190453539888,1.3054982891517052e-06,7.390252903860528e-06,0.008755848531227822,8.537293809699514e-07,5.805020009574946e-06
"Inferior Frontal Gyrus, pars opercularis",11966,-0.03975126722571076,-3.3220179864374696e-06,6.2586523199570365e-06,-0.046394542437667496,-3.877197262048094e-06,5.387686996982666e-06
Precentral Gyrus,60968,-0.2681459931531367,-4.398143175979804e-06,5.190624960960122e-06,-0.3193416424687921,-5.23785662099449e-06,4.762303433381021e-06
Temporal Pole,38880,0.1418066520913039,3.6472904344471165e-06,1.87709247256862e-05,0.1073321087566505,2.7605995050578834e-06,1.8834003640222363e-05
"Superior Temporal Gyrus, anterior division",5358,-0.013826810463096258,-2.5805917251019517e-06,4.892498054687167e-06,-0.016557882378468947,-3.0903102610057756e-06,3.6218218610883923e-06
"Superior Temporal Gyrus, posterior division",10682,-0.059312889896414145,-5.552601563041953e-06,1.822529043238319e-06,-0.06673500678214317,-6.247426210648115e-06,1.3205435607233085e-06
"Middle Temporal Gyrus, anterior division",7302,0.007296474939786024,9.992433497378833e-07,4.7911757974361535e-06,0.005672261733388417,7.768093307844998e-07,5.009434062230866e-06
"Middle Temporal Gyrus, posterior division",20710,-0.061322098620397454,-2.960989793355744e-06,3.4331760616623797e-06,-0.06987130833990916,-3.3737956706861017e-06,4.150238510192139e-06
"Middle Temporal Gyrus, temporooccipital part",15043,-0.03946781169543073,-2.6236662697221785e-06,6.67561295131236e-08,-0.0426341420139284,-2.8341515664381043e-06,3.0649880500277504e-07
"Inferior Temporal Gyrus, anterior division",5840,0.019513751565739312,3.3413958160512522e-06,7.691293831157964e-06,0.01894438983094915,3.2439023683132104e-06,8.348742994712666e-06
"Inferior Temporal Gyrus, posterior division",15177,0.02006827353832616,1.3222819752471608e-06,8.788319064478856e-06,0.021127442813987308,1.392069764379476e-06,9.27747259993339e-06
"Inferior Temporal Gyrus, temporooccipital part",13599,0.002482066686386857,1.8251832387578916e-07,7.241456387419021e-06,0.000819175378356695,6.023791296100413e-08,6.926958121766802e-06
Postcentral Gyrus,54508,-0.2216961227416572,-4.067221742526917e-06,3.276402367191622e-06,-0.2600089898168103,-4.770106953416201e-06,3.3973385598073946e-06
Superior Parietal Lobule,23524,-0.029842389260516477,-1.2685933200355584e-06,1.0928253004749422e-06,-0.034679756042596335,-1.474228704412359e-06,1.2785030776285566e-06
"Supramarginal Gyrus, anterior division",14746,-0.10264357662585177,-6.9607742184898804e-06,1.9592077649122075e-07,-0.11741609289737198,-7.962572419461006e-06,-5.13401573698502e-07
"Supramarginal Gyrus, posterior division",19966,-0.10033719476348324,-5.025402923143506e-06,-5.832845886288851e-07,-0.11288777281822604,-5.654000441662128e-06,-5.498982886820158e-07
Angular Gyrus,19190,-0.058558419095390946,-3.051506987774411e-06,-7.821805070307164e-07,-0.06376337304641311,-3.322739606379005e-06,-5.99004465584585e-07
"Lateral Occipital Cortex, superior division",70658,-0.09280491215953011,-1.313438140897423e-06,3.299673210221954e-07,-0.0972371364003208,-1.376165988286122e-06,4.1369492009835085e-07
"Lateral Occipital Cortex, inferior division",35217,0.014751783509069426,4.188824575934755e-07,1.8777069271891378e-05,0.00636142963248755,1.806351941530383e-07,1.7334277799818665e-05
