region,size,sum,mean,max,sum_HC,mean_HC,max_HC
Full,1827243,0.7821210547899562,4.280334114236345e-07,2.4120490706991404e-05,0.18294863618395174,1.0012277304329623e-07,2.491345367161557e-05
Frontal Pole,114814,0.06036804240650884,5.2578990721087e-07,1.5594803699059412e-05,0.025134262512810264,2.1891287223518268e-07,1.9229319150326774e-05
Insular Cortex,21088,-0.013616112511032251,-6.456806008645794e-07,4.57301484857453e-06,0.00572265000898073,2.713699738704823e-07,5.404092462413246e-06
Superior Frontal Gyrus,44557,0.024657996994599994,5.53403438171331e-07,5.407171556726098e-06,-0.02689628030423169,-6.036375946367954e-07,3.761472498808871e-06
Middle Frontal Gyrus,42749,-0.0265857811632928,-6.219041653206578e-07,3.40114252139756e-06,-0.07339438191533454,-1.7168678077928032e-06,2.7232410957367392e-06
"Inferior Frontal Gyrus, pars triangularis",10256,0.003970131834759298,3.8710333802255247e-07,2.7277565095573664e-06,0.002193557921972941,2.1388045261046618e-07,2.660251993802376e-06
"Inferior Frontal Gyrus, pars opercularis",11966,-0.013882468056840416,-1.1601594565302037e-06,1.580831394676352e-06,-0.013900301068727916,-1.1616497633902654e-06,1.8070412579618278e-06
Precentral Gyrus,60968,0.02832408315023508,4.6457294236706275e-07,6.261305316002108e-06,-0.039035036083724634,-6.402544955341266e-07,4.286043804313522e-06
Temporal Pole,38880,0.11592151010889887,2.981520321730938e-06,1.5801366316736676e-05,0.1318405528383696,3.390960721151481e-06,1.9152263121213764e-05
"Superior Temporal Gyrus, anterior division",5358,0.001735859859029,3.2397533763139233e-07,3.3190162866958417e-06,0.004729967155932213,8.827859566876097e-07,3.7712625271524303e-06
"Superior Temporal Gyrus, posterior division",10682,-0.007316451905615563,-6.849327752869841e-07,2.776118890324142e-06,-7.552499894843828e-05,-7.070305087852301e-09,3.35637400894484e-06
"Middle Temporal Gyrus, anterior division",7302,0.01068428975655178,1.4632004596756751e-06,4.122618065593997e-06,0.014733442584315526,2.0177270041516743e-06,5.198922735871747e-06
"Middle Temporal Gyrus, posterior division",20710,0.00521123108701795,2.5162873428382184e-07,3.364023541507777e-06,0.022622498404028635,1.0923466153562836e-06,4.579713731800439e-06
"Middle Temporal Gyrus, temporooccipital part",15043,9.87790039316816e-05,6.566443125153334e-09,1.5426751360791968e-06,0.004651786735061883,3.092326487443916e-07,2.0906627469230443e-06
"Inferior Temporal Gyrus, anterior division",5840,0.019536940307887107,3.3453664910765594e-06,7.393670784949791e-06,0.023656677141275395,4.050800880355376e-06,9.046172635862604e-06
"Inferior Temporal Gyrus, posterior division",15177,0.03226738124202097,2.1260711103657487e-06,7.082010142767103e-06,0.04484933803212243,2.955085855710775e-06,8.561493814340793e-06
"Inferior Temporal Gyrus, temporooccipital part",13599,0.014415303416649525,1.0600267237774486e-06,4.136778443353251e-06,0.020430369667458148,1.502343530219733e-06,4.5231358853925485e-06
Postcentral Gyrus,54508,0.02798204777815419,5.133567142099177e-07,5.687856173608452e-06,-0.016588521296540728,-3.0433186498386896e-07,3.572353989511612e-06
Superior Parietal Lobule,23524,0.0193246684618906,8.214873517212463e-07,3.952721272071358e-06,0.0006733605912249419,2.8624408741070475e-08,2.0984218735975446e-06
"Supramarginal Gyrus, anterior division",14746,-0.017303862505601522,-1.1734614475519816e-06,8.755113753977639e-07,-0.02013501710850884,-1.365456198868089e-06,2.4950873012130614e-07
"Supramarginal Gyrus, posterior division",19966,-0.013578672843211792,-6.800897948117696e-07,1.425517780262453e-06,-0.015497785069341435,-7.762088084414222e-07,6.33034460406634e-07
Angular Gyrus,19190,-0.018471595592337475,-9.625636056455172e-07,1.3837291135132546e-06,-0.029391399523913037,-1.5315997667489858e-06,3.6900709687870403e-07
"Lateral Occipital Cortex, superior division",70658,-0.13501493981141677,-1.9108231171476233e-06,3.1036049676913535e-06,-0.22273643987776812,-3.152317357946278e-06,1.5043131043057656e-06
"Lateral Occipital Cortex, inferior division",35217,-0.02123588101143321,-6.030008521859673e-07,2.1400012428784976e-06,-0.03120372888294344,-8.86041652694535e-07,2.3994132334337337e-06
Intracalcarine Cortex,9627,-0.030814201172688627,-3.2008103430651943e-06,-1.1957388323935447e-06,-0.036531354214673684,-3.794676868668711e-06,-6.969749506424705e-07
Frontal Medial Cortex,7282,0.014999403983405823,2.059791813156526e-06,5.155626695341198e-06,0.016628081518340943,2.2834498102637932e-06,5.815783424623078e-06
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),10922,0.021875531180054364,2.002886941957001e-06,4.825260475627147e-06,0.011580739329724754,1.060313068094191e-06,3.6772212297364604e-06
Subcallosal Cortex,10166,0.023879501315687432,2.348957438096344e-06,7.0589271672361065e-06,0.019851891117901616,1.952773078684007e-06,8.74056695465697e-06
Paracingulate Gyrus,21888,-0.04642950663228672,-2.1212311144136842e-06,1.972379322978668e-06,-0.07531955233384789,-3.44113451817653e-06,2.600313109724084e-06
"Cingulate Gyrus, anterior division",17153,-0.03198803857091992,-1.8648655378604279e-06,2.9598693345178617e-06,-0.056231213529661594,-3.278214512310476e-06,2.3786274141457397e-06
"Cingulate Gyrus, posterior division",16388,0.006272587642407811,3.8275492082058886e-07,4.123984581383411e-06,-0.006407331177975595,-3.909770062225772e-07,3.4394558952044463e-06
Precuneous Cortex,41201,-0.007672925767985533,-1.8623154214668414e-07,3.391161726540304e-06,-0.06421213928356254,-1.5585092420951564e-06,1.5970135791576467e-06
Cuneal Cortex,8942,-0.02060379805157453,-2.3041599252487733e-06,2.798940386128379e-07,-0.03322151836141529,-3.7152223620459956e-06,-1.4319438150778296e-06
Frontal Orbital Cortex,25854,0.07514801925774428,2.906630279946789e-06,1.0129459951713216e-05,0.09009138533570932,3.484620767993708e-06,8.86648558662273e-06
"Parahippocampal Gyrus, anterior division",12383,0.07688833373720172,6.2091846674635965e-06,1.5606225133524276e-05,0.08527334948757925,6.8863239511894734e-06,1.9703937141457573e-05
"Parahippocampal Gyrus, posterior division",7254,0.025499507305919045,3.515233982067693e-06,9.964317541744094e-06,0.023952546708700978,3.301977765191753e-06,1.0456717063789256e-05
Lingual Gyrus,32728,-0.02525021998498829,-7.715173547112041e-07,4.012055342172971e-06,-0.03067813512920725,-9.373666319117346e-07,5.747521299781511e-06
"Temporal Fusiform Cortex, anterior division",5878,0.03269492382810313,5.562253118084915e-06,1.3633099115395453e-05,0.036084731647633816,6.138947201026508e-06,1.6395439160987735e-05
"Temporal Fusiform Cortex, posterior division",14920,0.0682072337389579,4.571530411458305e-06,1.8288168575963937e-05,0.06905226345868654,4.628167792137167e-06,2.4095697881421074e-05
Temporal Occipital Fusiform Cortex,15155,0.0317599380644453,2.095673907254721e-06,1.0056246537715197e-05,0.030532187524952376,2.014661004615795e-06,9.844526175584178e-06
Occipital Fusiform Gyrus,22049,0.0017554514831300688,7.961592285954324e-08,2.5071565232792636e-06,-4.433806582980482e-05,-2.0108878329994474e-09,3.384053798072273e-06
Frontal Operculum Cortex,5242,-8.335447473359694e-05,-1.590127331812227e-08,2.0909028535243124e-06,0.0021960594420600277,4.189354143571209e-07,2.5095305318245664e-06
Central Opercular Cortex,13757,-0.031827225692877964,-2.3135295262686608e-06,7.03503530985472e-07,-0.02378677783369096,-1.7290672264077168e-06,1.5991686268534977e-06
Parietal Operculum Cortex,8182,-0.02052539212476745,-2.508603290731783e-06,-2.575947064542561e-07,-0.018219608882873217,-2.226791601426695e-06,-1.951810162381662e-07
Planum Polare,5338,-0.0003024688779997564,-5.6663334207522744e-08,3.186383310094243e-06,0.003505289946707235,6.56667281136612e-07,3.5286548154545017e-06
Heschl's Gyrus (includes H1 and H2),4240,-0.012378911079265364,-2.919554499826737e-06,1.9064110290401004e-08,-0.00901899912489847,-2.1271224351175636e-06,2.112654868824393e-07
