region,size,sum,mean,max,sum_HC,mean_HC,max_HC
Full,1827243,-1.4276433657391072,-7.813100752002373e-07,9.00765517144464e-05,-1.7467127591220382,-9.559280069055064e-07,0.00010297650442225859
Frontal Pole,114814,0.2561391779822735,2.230905446916521e-06,2.834186307154596e-05,0.20424028698698504,1.7788796400002182e-06,3.35485274263192e-05
Insular Cortex,21088,-0.13093451287548272,-6.2089583116219046e-06,5.884197435079841e-06,-0.14654363408981308,-6.949148050541212e-06,7.331624601647491e-06
Superior Frontal Gyrus,44557,0.003387922222187374,7.603568961526525e-08,4.746365902974503e-06,0.015962365338417,3.5824596221507277e-07,6.1285759329621214e-06
Middle Frontal Gyrus,42749,-0.06500863761807943,-1.5207054578605214e-06,5.166308710613521e-06,-0.050587382161794495,-1.1833582577790006e-06,5.649151717079803e-06
"Inferior Frontal Gyrus, pars triangularis",10256,0.011587094199301349,1.1297868759069179e-06,5.925860932620708e-06,0.012088064679134272,1.1786334515536537e-06,5.447668627311941e-06
"Inferior Frontal Gyrus, pars opercularis",11966,-0.027217841321557856,-2.2745981381880206e-06,4.677778179029701e-06,-0.02778001326495927,-2.3215789123315453e-06,5.095020242151804e-06
Precentral Gyrus,60968,-0.19743081695646253,-3.238269534123844e-06,5.059741397417383e-06,-0.18655886319162487,-3.0599472377579203e-06,6.999694505793741e-06
Temporal Pole,38880,0.1313604153207647,3.3786115051637012e-06,1.898420487123076e-05,0.10739513165156662,2.762220464289265e-06,1.8887654732679948e-05
"Superior Temporal Gyrus, anterior division",5358,-0.008915233835198155,-1.6639107568492265e-06,2.5197948616551002e-06,-0.010636581647323506,-1.9851776124157345e-06,2.5441086108912714e-06
"Superior Temporal Gyrus, posterior division",10682,-0.04008134552400405,-3.7522323089312913e-06,3.9202885204758786e-07,-0.04795729011577693,-4.489542231396455e-06,6.243011512196972e-07
"Middle Temporal Gyrus, anterior division",7302,0.010095949499948987,1.3826279786290039e-06,5.648100795951905e-06,0.006384067115688199,8.742902103106271e-07,5.622240223601693e-06
"Middle Temporal Gyrus, posterior division",20710,-0.03194944091223765,-1.5427059832079985e-06,4.653664746001596e-06,-0.04661103392307982,-2.250653497010131e-06,4.780187737196684e-06
"Middle Temporal Gyrus, temporooccipital part",15043,-0.023738457805498714,-1.578040138635825e-06,8.723462201487564e-07,-0.0275437584280447,-1.831001690357289e-06,4.7435617034352617e-07
"Inferior Temporal Gyrus, anterior division",5840,0.023656357310983367,4.050746114894412e-06,9.950474122888409e-06,0.018057157216397002,3.0919789754104453e-06,8.91504532773979e-06
"Inferior Temporal Gyrus, posterior division",15177,0.033986572586027254,2.239347208672811e-06,1.0614052371238358e-05,0.023630608058026262,1.5570012557176161e-06,9.073828550754115e-06
"Inferior Temporal Gyrus, temporooccipital part",13599,0.009445260538330225,6.945555216067524e-07,5.684049028786831e-06,0.005618454800516412,4.1315205533615795e-07,6.36366303297109e-06
Postcentral Gyrus,54508,-0.15888701771647212,-2.91493024356924e-06,2.964574605357484e-06,-0.16174645307241764,-2.9673892469438915e-06,4.683935458160704e-06
Superior Parietal Lobule,23524,-0.018601322938339836,-7.907380946412105e-07,1.3328132126844139e-06,-0.0061099350817097895,-2.597319793279115e-07,2.433135250612395e-06
"Supramarginal Gyrus, anterior division",14746,-0.08005876091661435,-5.4291849258520515e-06,-3.1338970529759536e-07,-0.09158292870420723,-6.210696372182777e-06,1.1697380841724225e-07
"Supramarginal Gyrus, posterior division",19966,-0.07463803820834869,-3.7382569472277215e-06,-8.781999838447518e-08,-0.08485108219901688,-4.249778733798301e-06,3.543718207765778e-07
Angular Gyrus,19190,-0.048228265320112484,-2.5131977759308227e-06,-9.938857914448818e-08,-0.04740149813797245,-2.4701145460121133e-06,1.9901692382973124e-07
