region,size,sum,mean,max,sum_HC,mean_HC,max_HC
Full,1827243,0.15564653853386728,8.518108348690748e-08,0.00013109436258673668,-3.8998091261534493,-2.134258621405828e-06,0.00014044533600099385
Frontal Pole,114814,0.3244000461658634,2.8254398084368052e-06,2.895590841944795e-05,0.227912127424113,1.9850551973114166e-06,3.4389711800031364e-05
Insular Cortex,21088,-0.16124265710632824,-7.646180629093715e-06,9.710651283967309e-06,-0.28736533355476246,-1.3626960050965595e-05,5.584082828136161e-06
Superior Frontal Gyrus,44557,0.011223728526222512,2.5189596530786434e-07,3.736527787623345e-06,-0.028118943271784984,-6.310780185332267e-07,3.1574693366565043e-06
Middle Frontal Gyrus,42749,-0.11785276822703547,-2.756854387869552e-06,2.968688704640954e-06,-0.17553595805686517,-4.106200333501723e-06,3.880206804751651e-06
"Inferior Frontal Gyrus, pars triangularis",10256,0.011681834529251409,1.1390244275791156e-06,5.974759005766828e-06,0.008544954045147435,8.331663460557171e-07,5.405010142567335e-06
"Inferior Frontal Gyrus, pars opercularis",11966,-0.04326700757853641,-3.61582881318205e-06,4.10515212934115e-06,-0.06249704082352285,-5.222884909202979e-06,3.2601419661659747e-06
Precentral Gyrus,60968,-0.295863690692588,-4.852770153073547e-06,3.973249476985075e-06,-0.4350263891677298,-7.135323270694952e-06,3.6123922200204106e-06
Temporal Pole,38880,0.193617938712757,4.979885254957742e-06,1.7404261598130688e-05,0.08002694694850228,2.0583062486754703e-06,1.5425468518515117e-05
"Superior Temporal Gyrus, anterior division",5358,-0.012766771097019403,-2.3827493648785748e-06,4.8283009164151736e-06,-0.025794288012207067,-4.814163496119273e-06,9.521256743028061e-07
"Superior Temporal Gyrus, posterior division",10682,-0.05795986613873083,-5.425937665112416e-06,-5.984538802294992e-07,-0.07668925339294219,-7.179297265768788e-06,-1.4521709772452596e-06
"Middle Temporal Gyrus, anterior division",7302,0.007013787647745379,9.605296696446697e-07,6.968429261178244e-06,-0.0034135919149675606,-4.674872521182636e-07,3.300108573967009e-06
"Middle Temporal Gyrus, posterior division",20710,-0.06762547228335902,-3.265353562692372e-06,3.1635740924684796e-06,-0.09358004552921928,-4.518592251531592e-06,2.067453806375852e-06
"Middle Temporal Gyrus, temporooccipital part",15043,-0.04317585169584959,-2.870162314421963e-06,-1.49616653288831e-07,-0.04884553122117552,-3.2470605079555622e-06,-9.859655136779111e-08
"Inferior Temporal Gyrus, anterior division",5840,0.020673430204993792,3.5399709255126356e-06,8.139275450957939e-06,0.014235233744074094,2.4375400246702215e-06,5.568188043980626e-06
"Inferior Temporal Gyrus, posterior division",15177,0.008686224758354653,5.72328178055917e-07,9.2810178102809e-06,0.004003646520263776,2.6379696384422325e-07,7.616294624313014e-06
"Inferior Temporal Gyrus, temporooccipital part",13599,-0.0021716732317186294,-1.596935974497117e-07,9.593389222573023e-06,-0.0029960990907076045,-2.2031760355229094e-07,9.113651685765944e-06
Postcentral Gyrus,54508,-0.2452031373779546,-4.498479808064038e-06,2.0593586214090465e-06,-0.32814325591949295,-6.02009348938675e-06,2.232632596133044e-06
Superior Parietal Lobule,23524,-0.03145456128598278,-1.3371263937248247e-06,1.2341507726887357e-06,-0.053655751315403774,-2.280894036533063e-06,3.585860781640804e-07
"Supramarginal Gyrus, anterior division",14746,-0.10927143698654618,-7.410242573345055e-06,-3.4183383377239807e-06,-0.12646638816522682,-8.576318199188038e-06,-2.594303396108444e-06
"Supramarginal Gyrus, posterior division",19966,-0.09957352936487496,-4.987154631116646e-06,-1.7262206029045046e-06,-0.11675485865032442,-5.847683995308245e-06,-1.6979605561573408e-06
Angular Gyrus,19190,-0.0621724635946066,-3.2398365604276495e-06,-1.3114739658703911e-06,-0.06966898243297237,-3.6304837119839695e-06,-1.0757779591585859e-06
"Lateral Occipital Cortex, superior division",70658,-0.10480943592549335,-1.4833343135312825e-06,6.66777395963436e-07,-0.13225127036021433,-1.8717097902603292e-06,-2.1134441396952752e-07
"Lateral Occipital Cortex, inferior division",35217,0.015455742448728063,4.388716372413341e-07,1.9373972463654354e-05,0.02652316435872932,7.531352573680132e-07,2.5564626412233338e-05
Intracalcarine Cortex,9627,-0.004665388435163259,-4.846149823582901e-07,4.01580973630189e-06,-0.013529432852518689,-1.4053633377499416e-06,1.6077340205811197e-06
Frontal Medial Cortex,7282,0.05065471429088575,6.9561541184957085e-06,1.4835713955108076e-05,0.026877001790580834,3.6908818718182966e-06,9.260127626475878e-06
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),10922,-0.031248256492590824,-2.861037950246367e-06,2.7245980618317844e-06,-0.0580127575322818,-5.311550772045578e-06,2.261327836095006e-06
Subcallosal Cortex,10166,0.05611543908269567,5.519913346714113e-06,1.3389926607487723e-05,0.01629960933577053,1.6033453999380807e-06,8.08750974101713e-06
Paracingulate Gyrus,21888,0.047163153195028173,2.154749323603261e-06,1.5142190022743307e-05,0.009739468833645737,4.449684225898089e-07,9.399365808349103e-06
"Cingulate Gyrus, anterior division",17153,-0.02997267096245726,-1.7473719444095644e-06,1.3807411050947849e-05,-0.08169149356922462,-4.762519300951706e-06,8.170097316906322e-06
"Cingulate Gyrus, posterior division",16388,-0.10999368957088185,-6.7118433958312085e-06,1.1502253073558677e-05,-0.17348645040650723,-1.0586188089242569e-05,9.362812306790147e-06
Precuneous Cortex,41201,-0.0541190738861487,-1.313537872530975e-06,1.3324879546416923e-05,-0.12440487978948275,-3.0194626292925596e-06,1.1588832421693951e-05
Cuneal Cortex,8942,-0.021363481317393962,-2.3891166760673184e-06,-7.703520736868086e-07,-0.03442236491287076,-3.849515199381655e-06,-2.090795533149503e-06
Frontal Orbital Cortex,25854,0.1365747983604928,5.282540355863418e-06,1.4983933397161309e-05,0.05283679097617641,2.04366020639655e-06,1.2010312275378965e-05
"Parahippocampal Gyrus, anterior division",12383,0.0794661301274559,6.417356870504393e-06,2.793222665786743e-05,0.038686778997522375,3.124184688486019e-06,2.5169159926008433e-05
"Parahippocampal Gyrus, posterior division",7254,0.03598070898525918,4.96011979394254e-06,3.214839307474904e-05,0.011293326502239465,1.5568412603032071e-06,3.100616959272884e-05
Lingual Gyrus,32728,0.25840394723705873,7.89550071000546e-06,2.93269276880892e-05,0.2370793652792974,7.24393074062874e-06,3.236328120692633e-05
"Temporal Fusiform Cortex, anterior division",5878,0.03232680971247248,5.499627375378102e-06,1.3547681191994343e-05,0.021804277963433094,3.709472263258437e-06,1.1045264727727044e-05
"Temporal Fusiform Cortex, posterior division",14920,0.08478957883542637,5.682947643125092e-06,2.5977655241149478e-05,0.06466835587705622,4.334340206237012e-06,2.1478330381796695e-05
Temporal Occipital Fusiform Cortex,15155,0.10858581622437902,7.165015917148071e-06,3.0138658985379152e-05,0.09457538374423474,6.240540002918821e-06,2.7075160687672906e-05
Occipital Fusiform Gyrus,22049,0.15442379636425763,7.003664400392654e-06,2.6742649424704723e-05,0.17332272082109235,7.860797352310415e-06,3.3751552109606564e-05
Frontal Operculum Cortex,5242,-0.011517567739137355,-2.1971704958293314e-06,3.833532900898717e-06,-0.022758227828543087,-4.3415161824767435e-06,3.0791220524406526e-06
Central Opercular Cortex,13757,-0.16049062429158312,-1.1666106294365277e-05,-1.2421559176800656e-06,-0.21460634938864587,-1.5599792788300202e-05,-1.3203650723880855e-06
Parietal Operculum Cortex,8182,-0.10997596014203737,-1.3441207546081321e-05,-3.5890577692043735e-06,-0.14118566241427288,-1.7255641947478963e-05,-2.589178620837629e-06
Planum Polare,5338,-0.04026333303806817,-7.542775016498346e-06,5.532556770049268e-06,-0.06806149323162458,-1.2750373404200933e-05,-6.225522497516067e-08
Heschl's Gyrus (includes H1 and H2),4240,-0.07665132222336979,-1.807814203381363e-05,-7.689885023864917e-06,-0.0999146859026041,-2.3564784410991534e-05,-7.030117103568045e-06
Planum Temporale,7699,-0.08946003727510288,-1.1619695710495244e-05,-3.6705632737721317e-06,-0.11048370174034972,-1.435039638139365e-05,-2.578397698016488e-06
Supracalcarine Cortex,2256,-0.003956508132525016,-1.753771335339103e-06,9.606281992091681e-08,-0.006385079149424655,-2.8302655804187302e-06,-8.246010452239716e-07
Occipital Pole,37231,-0.07082240359999681,-1.902242851387199e-06,1.014451299852226e-05,-0.08415296759032746,-2.2602929706515393e-06,1.4926197763998061e-05
Left Cerebral White Matter,402278,1.6265771941449896,4.043415732764381e-06,0.00013109436258673668,1.5728537984942765,3.909867799119705e-06,0.00013385388592723757
Left Lateral Ventricle,5582,-0.10338649607385238,-1.8521407394097523e-05,9.712029168440495e-06,-0.11118957511392491,-1.991930761625312e-05,1.082529706764035e-05
Left Thalamus,11392,-0.2892897750643897,-2.5394116490904994e-05,-7.12956261850195e-06,-0.28901623576348356,-2.537010496519343e-05,-9.417812179890461e-06
Left Caudate,3949,-0.04646205140028459,-1.1765523271786424e-05,7.808819646015763e-06,-0.04323080470580565,-1.0947278983490922e-05,8.12721009424422e-06
Left Putamen,6397,-0.08085344480098838,-1.2639275410503108e-05,2.7850576316268416e-06,-0.07340355255189168,-1.1474683844285083e-05,2.865589067369001e-06
Left Pallidum,2133,-0.039144150470292516,-1.8351687984197147e-05,-4.632194304576842e-06,-0.03717078901217974,-1.7426530244810003e-05,-4.715328941529151e-06
Brain-Stem,54555,1.7441802957225936,3.197104382224532e-05,0.00012850339408032596,1.5367433456753234,2.816869848181328e-05,0.00014044533600099385
Left Hippocampus,6092,-0.032950772605198075,-5.408859587196007e-06,8.557915862184018e-06,-0.03282858577229858,-5.3888026546780334e-06,7.134264706110116e-06
Left Amygdala,2631,-0.009851434320933852,-3.7443688030915436e-06,4.998430085834116e-06,-0.011170988292075634,-4.245909651111986e-06,3.5157474940206157e-06
Left Accumbens,756,5.426676208575287e-05,7.178143133036094e-08,4.090102720510913e-06,-0.0016465832773228106,-2.1780202080989557e-06,1.5416895848829881e-06
Right Cerebral White Matter,252240,-1.4594854328867801,-5.7860982908610055e-06,1.2989153219677974e-05,-3.150394676826741,-1.2489671252881148e-05,8.85023382579675e-06
Right Lateral Ventricle,5125,-0.08768636230894222,-1.7109534109061898e-05,9.195101483783219e-06,-0.1755625816499684,-3.425611349267676e-05,6.208225840964587e-06
Right Thalamus,11117,-0.2731115202618639,-2.4567016304926143e-05,-6.481518084910931e-06,-0.45006997119526204,-4.048484044213925e-05,-1.509240610175766e-05
Right Caudate,4127,-0.04133652847248359,-1.0016120298639106e-05,9.805929039430339e-06,-0.09636072608026969,-2.3348855362313955e-05,2.8319120701780776e-06
Right Putamen,6397,-0.06440938185922351,-1.0068685611884244e-05,4.875294507655781e-06,-0.1633601114265275,-2.553698787346061e-05,-2.7607104584603803e-06
Right Pallidum,2118,-0.03448815734020627,-1.6283360406140827e-05,-1.1113140772067709e-06,-0.07481821657711407,-3.5324937005247436e-05,-1.7220747395185754e-05
Right Hippocampus,6125,-0.02026907274635807,-3.309236366752338e-06,1.2213403351779561e-05,-0.07345154773979462,-1.1992089426905244e-05,6.612825018237345e-06
Right Amygdala,3030,-0.0014081684576428555,-4.6474206522866516e-07,7.292632744793082e-06,-0.02904322686109051,-9.585223386498519e-06,4.0362656363868155e-06
Right Accumbens,666,0.0006405452573916559,9.61779665753237e-07,5.4111233112053014e-06,-0.005218723450980178,-7.835921097567836e-06,-2.2926917608856456e-06
Background,5393789,1.6353851872132248,3.0319784240970954e-07,0.00012491230154410005,1.101053408240668,2.0413357071266006e-07,0.00013371360546443611
