age,female_ds002424,female_HBN,female_ABCD,female_QTAB,female_PING,female_ADHD200,female_PNC,female_ABIDE II,female_ds000119,female_ABIDE I,female_BRAINMINT,female_SLIM,female_QTIM,female_Beijing,female_AOMIC-PIOP2,female_ds000202,female_AOMIC-PIOP1,female_AOMIC-ID1000,female_CoRR,female_HCP,female_FCON1000,female_ds000171,female_TOP,female_SCZ-Z,female_NIMH,female_NKI-RS,female_MPI-LEMON,female_ds003592,female_ds004302,female_ds000222,female_SALD,female_IXI,female_DLBS,female_Cam-CAN,female_StrokeMRI,female_PPMI,female_UKBB,female_Tao-Wu,female_ds000245,female_OASIS3,female_Demgen,female_NEUROCON,female_MIRIAD,female_ds004392,female_AIBL,female_ANM,female_ADNI,male_ds002424,male_HBN,male_ABCD,male_QTAB,male_PING,male_ADHD200,male_PNC,male_ABIDE II,male_ds000119,male_ABIDE I,male_BRAINMINT,male_SLIM,male_QTIM,male_Beijing,male_AOMIC-PIOP2,male_ds000202,male_AOMIC-PIOP1,male_AOMIC-ID1000,male_CoRR,male_HCP,male_FCON1000,male_ds000171,male_TOP,male_SCZ-Z,male_NIMH,male_NKI-RS,male_MPI-LEMON,male_ds003592,male_ds004302,male_ds000222,male_SALD,male_IXI,male_DLBS,male_Cam-CAN,male_StrokeMRI,male_PPMI,male_UKBB,male_Tao-Wu,male_ds000245,male_OASIS3,male_Demgen,male_NEUROCON,male_MIRIAD,male_ds004392,male_AIBL,male_ANM,male_ADNI
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.006110520722635494,0.0,0.0,0.0,0.0,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124
4,0.0,0.0,0.0,0.0,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.006907545164718385,0.0,0.0,0.0,0.0,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124,0.006376195536663124
5,0.0,0.008235919234856535,0.008235919234856535,0.008235919234856535,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.015940488841657812,0.0,0.016206163655685443,0.016206163655685443,0.016206163655685443,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455,0.023379383634431455
6,0.0,0.012752391073326248,0.012752391073326248,0.012752391073326248,0.022051009564293306,0.022051009564293306,0.022051009564293306,0.023113708820403825,0.023113708820403825,0.023113708820403825,0.023113708820403825,0.023113708820403825,0.023113708820403825,0.023113708820403825,0.023113708820403825,0.023113708820403825,0.023113708820403825,0.023113708820403825,0.023645058448459086,0.023645058448459086,0.023645058448459086,0.023645058448459086,0.023645058448459086,0.023645058448459086,0.023645058448459086,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.024707757704569608,0.0,0.021785334750265676,0.021785334750265676,0.021785334750265676,0.031083953241232733,0.031083953241232733,0.031083953241232733,0.032678002125398516,0.032678002125398516,0.03294367693942614,0.03294367693942614,0.03294367693942614,0.03294367693942614,0.03294367693942614,0.03294367693942614,0.03294367693942614,0.03294367693942614,0.03294367693942614,0.03427205100956429,0.03427205100956429,0.03427205100956429,0.03427205100956429,0.03427205100956429,0.03427205100956429,0.03427205100956429,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444,0.035600425079702444
7,0.0,0.01514346439957492,0.01514346439957492,0.01514346439957492,0.023113708820403825,0.02763018065887354,0.02763018065887354,0.02922422954303932,0.02922422954303932,0.02922422954303932,0.02922422954303932,0.02922422954303932,0.02922422954303932,0.02922422954303932,0.02922422954303932,0.02922422954303932,0.02922422954303932,0.02922422954303932,0.031880977683315624,0.031880977683315624,0.031880977683315624,0.031880977683315624,0.031880977683315624,0.031880977683315624,0.031880977683315624,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0334750265674814,0.0,0.02975557917109458,0.02975557917109458,0.02975557917109458,0.040648246546227416,0.0475557917109458,0.0475557917109458,0.05127523910733262,0.05127523910733262,0.0536663124335813,0.0536663124335813,0.0536663124335813,0.0536663124335813,0.0536663124335813,0.0536663124335813,0.0536663124335813,0.0536663124335813,0.0536663124335813,0.05499468650371945,0.05499468650371945,0.05499468650371945,0.05499468650371945,0.05499468650371945,0.05499468650371945,0.05499468650371945,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471,0.05552603613177471
8,0.00026567481402763017,0.01700318809776833,0.036131774707757705,0.036397449521785336,0.04675876726886291,0.06004250797024442,0.06269925611052073,0.07146652497343252,0.07226354941551541,0.0757173219978746,0.0757173219978746,0.0757173219978746,0.0757173219978746,0.0757173219978746,0.0757173219978746,0.0757173219978746,0.0757173219978746,0.0757173219978746,0.07943676939426142,0.07943676939426142,0.07970244420828905,0.07970244420828905,0.07970244420828905,0.07970244420828905,0.07970244420828905,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.08049946865037194,0.0005313496280552603,0.028427205100956428,0.048618490967056324,0.048884165781083955,0.062167906482465465,0.07704569606801276,0.0783740701381509,0.09404888416578108,0.09404888416578108,0.10095642933049948,0.10095642933049948,0.10095642933049948,0.10095642933049948,0.10095642933049948,0.10095642933049948,0.10095642933049948,0.10095642933049948,0.10095642933049948,0.10441020191285866,0.10441020191285866,0.10441020191285866,0.10441020191285866,0.10441020191285866,0.10441020191285866,0.10441020191285866,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797,0.1065356004250797
9,0.001328374070138151,0.01381509032943677,0.8291710945802337,0.8392667375132837,0.8538788522848034,0.8676939426142402,0.8753985122210415,0.8846971307120085,0.8849628055260361,0.885759829968119,0.8876195536663124,0.8876195536663124,0.8876195536663124,0.8876195536663124,0.8876195536663124,0.8876195536663124,0.8876195536663124,0.8876195536663124,0.8892136025504782,0.8892136025504782,0.8892136025504782,0.8892136025504782,0.8892136025504782,0.8892136025504782,0.8892136025504782,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.890807651434644,0.006110520722635494,0.03746014877789586,0.9197662061636557,0.9311902231668437,0.9426142401700319,0.9601487778958555,0.9667906482465463,0.9835281615302869,0.9837938363443146,0.9904357066950054,0.9914984059511158,0.9914984059511158,0.9914984059511158,0.9914984059511158,0.9914984059511158,0.9914984059511158,0.9914984059511158,0.9914984059511158,0.9962805526036131,0.9962805526036131,0.9968119022316685,0.9968119022316685,0.9968119022316685,0.9968119022316685,0.9968119022316685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
