fold,ADHD-BL,ADHD-BA,ADHD-HM,ANX-BL,ANX-BA,ANX-HM,ASD-BL,ASD-BA,ASD-HM,BIP-BL,BIP-BA,BIP-HM,DEM-BL,DEM-BA,DEM-HM,MCI-BL,MCI-BA,MCI-HM,MDD-BL,MDD-BA,MDD-HM,MS-BL,MS-BA,MS-HM,SCZ-BL,SCZ-BA,SCZ-HM
0,0.5,0.5,0.47,0.43,0.67,0.55,0.48,0.56,0.53,0.5,0.46,0.49,0.5,0.709,0.785,0.5,0.556,0.661,0.5,0.5,0.535,0.5,0.724,0.905,0.5,0.716,0.633
1,0.5,0.5,0.5,0.5,0.35,0.59,0.482,0.47,0.48,0.5,0.48,0.58,0.5,0.701,0.783,0.5,0.651,0.648,0.5,0.5,0.547,0.5,0.576,0.916,0.5,0.492,0.666
2,0.5,0.5,0.455,0.5,0.43,0.45,0.5,0.5,0.46,0.5,0.479,0.71,0.5,0.699,0.771,0.489,0.627,0.653,0.5,0.5,0.309,0.5,0.61,0.894,0.5,0.636,0.748
3,0.5,0.45,0.53,0.5,0.57,0.44,0.5,0.56,0.52,0.5,0.482,0.65,0.5,0.759,0.86,0.5,0.655,0.632,0.428,0.5,0.464,0.5,0.612,0.824,0.5,0.526,0.619
4,0.5,0.5,0.58,0.5,0.78,0.71,0.5,0.49,0.43,0.48,0.59,0.6,0.5,0.77,0.843,0.493,0.562,0.630,0.5,0.5,0.214,0.5,0.642,0.884,0.5,0.48,0.564
5,0.5,0.46,0.45,0.48,0.6,0.86,0.5,0.55,0.48,0.47,0.68,0.65,0.5,0.781,0.862,0.5,0.555,0.563,0.5,0.5,0.215,0.5,0.640,0.854,0.5,0.587,0.603
6,0.481,0.5,0.41,0.54,0.4,0.72,0.5,0.56,0.57,0.476,0.7,0.603,0.5,0.8,0.828,0.5,0.517,0.627,0.5,0.5,0.559,0.5,0.636,0.843,0.5,0.6,0.543
7,0.5,0.5,0.59,0.46,0.64,0.45,0.5,0.45,0.38,0.5,0.48,0.63,0.5,0.734,0.781,0.5,0.640,0.619,0.5,0.5,0.333,0.5,0.715,0.826,0.5,0.629,0.78
8,0.5,0.5,0.58,0.48,0.57,0.715,0.5,0.53,0.47,0.5,0.59,0.58,0.5,0.753,0.792,0.5,0.500,0.578,0.428,0.5,0.357,0.453,0.683,0.897,0.5,0.483,0.674
9,0.5,0.46,0.47,0.57,0.62,0.48,0.5,0.52,0.64,0.5,0.48,0.54,0.5,0.798,0.823,0.5,0.578,0.610,0.5,0.5,0.666,0.449,0.507,0.859,0.5,0.533,0.645
