x,M-cases,M-controls,F-cases,F-controls
43.0,0.0,0.0,1.1569781938690961e-175,5.960192815493403e-41
44.0,0.0,0.0,1.2538674885787452e-165,1.2096137063273603e-38
45.0,0.0,0.0,6.845510029023257e-156,2.08891508303941e-36
46.0,0.0,0.0,1.8827284340430735e-146,3.069636166679693e-34
47.0,0.0,0.0,2.608538514835632e-137,3.838401428794916e-32
48.0,0.0,0.0,1.82068379368292e-128,4.084301872029384e-30
49.0,0.0,0.0,6.401761654211698e-120,3.6982590714207795e-28
50.0,0.0,0.0,1.1339454854639505e-111,2.8496981742665547e-26
51.0,0.0,0.0,1.0118416522974611e-103,1.8686790327184273e-24
52.0,0.0,0.0,4.548420739807578e-96,1.0428455242616188e-22
53.0,0.0,0.0,1.0299980689448604e-88,4.953055985623119e-21
54.0,0.0,0.0,1.1750054774829654e-81,2.002245288885963e-19
55.0,0.0,0.0,6.752600759540283e-75,6.889379152751779e-18
56.0,0.0,0.0,1.9549243548055776e-68,2.0178827706350594e-16
57.0,0.0,0.0,2.8511268734612005e-62,5.0316074495962935e-15
58.0,0.0,0.0,2.0947434175414135e-56,1.0682274824322939e-13
59.0,0.0,0.0,7.753054449998571e-51,1.9312090613904718e-12
60.0,0.0,0.0,1.4455814064811045e-45,2.9735766564622504e-11
61.0,0.0,0.0,1.3578131790818941e-40,3.9003625408240575e-10
62.0,0.0,0.0,6.424884098282068e-36,4.359305267042387e-09
63.0,0.0,0.0,1.5315054495139524e-31,4.152871228888765e-08
64.0,0.0,0.0,1.8390780211448566e-27,3.3733094795717175e-07
65.0,0.0,1.174979445613459e-286,1.1125282982046763e-23,2.337365853899034e-06
66.0,0.0,1.3771214942667118e-245,3.390420690451271e-20,1.382222366776311e-05
67.0,0.0,1.0574877144291413e-207,5.2051511718709807e-17,6.980105357180105e-05
68.0,0.0,5.3203412674696475e-173,4.025909878971229e-14,0.0003012082129509775
69.0,0.0,1.753738098362206e-141,1.568841668320168e-11,0.001111518346755379
70.0,0.0,3.787486287629932e-113,3.0807750052382526e-09,0.0035105230014520353
71.0,0.0,5.359181774789058e-88,3.0500353914624243e-07,0.009497959189232318
72.0,0.0,4.968290629551509e-66,1.5240359383903342e-05,0.022036214658030132
73.0,0.0,3.017703620839864e-47,0.00038538397517743245,0.04389523586030762
74.0,0.0,1.2009011530851687e-31,0.00496333188551666,0.07519211419897169
75.0,0.0,3.1311153132840894e-19,0.03304218801607724,0.11104908180867194
76.0,0.0,5.348781989345176e-10,0.11746251779024193,0.14207399093613818
77.0,0.0,0.000598978839039896,0.23789554962227344,0.15897464021570742
78.0,0.0,0.45917424890708697,0.3074773064266452,0.1585582139912197
79.0,3.382095207240088e-303,1.0,0.29885762654167786,0.14576581976874914
80.0,6.745085209950209e-97,0.02026457733457579,0.24403391847245756,0.12929603853280766
81.0,3.294810644012908e-05,3.387440472792422e-07,0.14920982276686623,0.11467233426705996
82.0,1.1099490688631969e-20,3.7218344415975695e-15,0.05545550861763146,0.10126634048929137
83.0,9.401606088100959e-147,2.6792956509544116e-26,0.011102973988991294,0.08545044717168034
84.0,0.0,1.2637044784928437e-40,0.001144277299332455,0.06573377285738542
85.0,0.0,3.90509405945712e-58,5.981140578599286e-05,0.044597415079118775
86.0,0.0,7.906395942544596e-79,1.5782572643313893e-06,0.02619723615220109
87.0,0.0,1.0487855770899668e-102,2.0993441644434925e-08,0.013201479220754396
88.0,0.0,9.114984602548186e-130,1.4070377926274087e-10,0.005682112231412703
89.0,0.0,5.19022587753842e-160,4.750979808140605e-13,0.0020846425853042983
90.0,0.0,1.9363223762131414e-193,8.081591796559562e-16,0.0006512952758055704
91.0,0.0,4.732930814012196e-230,6.925338703744826e-19,0.00017320436925599277
92.0,0.0,7.57955544196323e-270,2.989603987915242e-22,3.9200007939070155e-05
93.0,0.0,7.9527695565e-313,6.501510547458638e-26,7.549510186690636e-06
94.0,0.0,0.0,7.122667337572986e-30,1.2371931353670327e-06
95.0,0.0,0.0,3.930961383968671e-34,1.7251756992121877e-07
96.0,0.0,0.0,1.0929054784796005e-38,2.0469255006308865e-08
97.0,0.0,0.0,1.5307142743829629e-43,2.0665295632703603e-09
98.0,0.0,0.0,1.0800238929577744e-48,1.7752157823230198e-10
99.0,0.0,0.0,3.838842515309526e-54,1.2975681456238738e-11
100.0,0.0,0.0,6.873768949731939e-60,8.070092035863386e-13
101.0,0.0,0.0,6.20036513029006e-66,4.2706697386411104e-14
