epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.03125,,,
0,99,,,,0.015625,,,
0,149,,,,0.0234375,,,
0,199,,,,0.0859375,,,
0,249,,,,0.0390625,,,
0,299,,,,0.0625,,,
0,312,,,,,,0.07620000094175339,3.934965133666992
0,312,,,0.032349999994039536,,4.393519401550293,,
1,349,,,,0.0546875,,,
1,399,,,,0.0625,,,
1,449,,,,0.1484375,,,
1,499,,,,0.1484375,,,
1,549,,,,0.109375,,,
1,599,,,,0.1640625,,,
1,625,,,,,,0.13459999859333038,3.6226308345794678
1,625,,,0.11252500116825104,,3.770014762878418,,
2,649,,,,0.140625,,,
2,699,,,,0.203125,,,
2,749,,,,0.1796875,,,
2,799,,,,0.2265625,,,
2,849,,,,0.2109375,,,
2,899,,,,0.1484375,,,
2,938,,,,,,0.18199999630451202,3.3746140003204346
2,938,,,0.16930000483989716,,3.44284725189209,,
3,949,,,,0.15625,,,
3,999,,,,0.2265625,,,
3,1049,,,,0.203125,,,
3,1099,,,,0.2265625,,,
3,1149,,,,0.2265625,,,
3,1199,,,,0.2109375,,,
3,1249,,,,0.1953125,,,
3,1251,,,,,,0.24040000140666962,3.0673227310180664
3,1251,,,0.21427500247955322,,3.18644118309021,,
4,1299,,,,0.28125,,,
4,1349,,,,0.2890625,,,
4,1399,,,,0.2109375,,,
4,1449,,,,0.25,,,
4,1499,,,,0.2734375,,,
4,1549,,,,0.2578125,,,
4,1564,,,,,,0.2833999991416931,2.8823742866516113
4,1564,,,0.25142499804496765,,3.0011942386627197,,
5,1599,,,,0.2421875,,,
5,1649,,,,0.2734375,,,
5,1699,,,,0.234375,,,
5,1749,,,,0.25,,,
5,1799,,,,0.265625,,,
5,1849,,,,0.2734375,,,
5,1877,,,,,,0.28839999437332153,2.8753130435943604
5,1877,,,0.28139999508857727,,2.8402397632598877,,
6,1899,,,,0.3046875,,,
6,1949,,,,0.3515625,,,
6,1999,,,,0.21875,,,
6,2049,,,,0.2578125,,,
6,2099,,,,0.28125,,,
6,2149,,,,0.28125,,,
6,2190,,,,,,0.2757999897003174,2.8925704956054688
6,2190,,,0.31119999289512634,,2.6931393146514893,,
7,2199,,,,0.5078125,,,
7,2249,,,,0.328125,,,
7,2299,,,,0.2734375,,,
7,2349,,,,0.328125,,,
7,2399,,,,0.390625,,,
7,2449,,,,0.3828125,,,
7,2499,,,,0.3359375,,,
7,2503,,,,,,0.3343999981880188,2.6141107082366943
7,2503,,,0.33592501282691956,,2.566843271255493,,
8,2549,,,,0.34375,,,
8,2599,,,,0.4296875,,,
8,2649,,,,0.3515625,,,
8,2699,,,,0.4375,,,
8,2749,,,,0.4609375,,,
8,2799,,,,0.359375,,,
8,2816,,,,,,0.3481000065803528,2.5604820251464844
8,2816,,,0.3606249988079071,,2.450284004211426,,
9,2849,,,,0.5,,,
9,2899,,,,0.4921875,,,
9,2949,,,,0.3125,,,
9,2999,,,,0.4375,,,
9,3049,,,,0.421875,,,
9,3099,,,,0.4140625,,,
9,3129,,,,,,0.33649998903274536,2.6446332931518555
9,3129,,,0.38192498683929443,,2.345248222351074,,
10,3149,,,,0.3359375,,,
10,3199,,,,0.3515625,,,
10,3249,,,,0.3046875,,,
10,3299,,,,0.3671875,,,
10,3349,,,,0.40625,,,
10,3399,,,,0.3515625,,,
10,3442,,,,,,0.3504999876022339,2.5400829315185547
10,3442,,,0.40172499418258667,,2.2428665161132812,,
11,3449,,,,0.4375,,,
11,3499,,,,0.3984375,,,
11,3549,,,,0.4296875,,,
11,3599,,,,0.34375,,,
11,3649,,,,0.3359375,,,
11,3699,,,,0.46875,,,
11,3749,,,,0.4296875,,,
11,3755,,,,,,0.3528999984264374,2.561812400817871
11,3755,,,0.4240249991416931,,2.1508381366729736,,
12,3799,,,,0.4609375,,,
12,3849,,,,0.4765625,,,
12,3899,,,,0.5234375,,,
12,3949,,,,0.4453125,,,
12,3999,,,,0.3828125,,,
12,4049,,,,0.4375,,,
12,4068,,,,,,0.38580000400543213,2.368987560272217
12,4068,,,0.44084998965263367,,2.0723464488983154,,
13,4099,,,,0.4765625,,,
13,4149,,,,0.484375,,,
13,4199,,,,0.421875,,,
13,4249,,,,0.453125,,,
13,4299,,,,0.3828125,,,
13,4349,,,,0.4296875,,,
13,4381,,,,,,0.3903999924659729,2.3775076866149902
13,4381,,,0.45840001106262207,,1.983626127243042,,
14,4399,,,,0.484375,,,
14,4449,,,,0.46875,,,
14,4499,,,,0.5078125,,,
14,4549,,,,0.484375,,,
14,4599,,,,0.515625,,,
14,4649,,,,0.40625,,,
14,4694,,,,,,0.39730000495910645,2.3431382179260254
14,4694,,,0.4778749942779541,,1.904544472694397,,
15,4699,,,,0.515625,,,
15,4749,,,,0.5546875,,,
15,4799,,,,0.4921875,,,
