epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.796875,,,
0,99,,,,0.83203125,,,
0,149,,,,0.84765625,,,
0,187,,,,,,0.9112499952316284,0.28962287306785583
0,187,,,0.7673125267028809,,1.7325572967529297,,
1,199,,,,0.86328125,,,
1,249,,,,0.890625,,,
1,299,,,,0.85546875,,,
1,349,,,,0.91015625,,,
1,375,,,,,,0.940666675567627,0.20744754374027252
1,375,,,0.8852291703224182,,0.40257856249809265,,
2,399,,,,0.90625,,,
2,449,,,,0.89453125,,,
2,499,,,,0.91796875,,,
2,549,,,,0.8828125,,,
2,563,,,,,,0.9369166493415833,0.217693030834198
2,563,,,0.9028750061988831,,0.33419671654701233,,
3,599,,,,0.90625,,,
3,649,,,,0.93359375,,,
3,699,,,,0.91015625,,,
3,749,,,,0.90625,,,
3,751,,,,,,0.9462500214576721,0.19305017590522766
3,751,,,0.9163749814033508,,0.3015645742416382,,
4,799,,,,0.89453125,,,
4,849,,,,0.93359375,,,
4,899,,,,0.88671875,,,
4,939,,,,,,0.9443333148956299,0.18459972739219666
4,939,,,0.9182916879653931,,0.29530826210975647,,
5,949,,,,0.89453125,,,
5,999,,,,0.8984375,,,
5,1049,,,,0.94140625,,,
5,1099,,,,0.9375,,,
5,1127,,,,,,0.9495000243186951,0.176524356007576
5,1127,,,0.9236875176429749,,0.27132949233055115,,
6,1149,,,,0.9296875,,,
6,1199,,,,0.921875,,,
6,1249,,,,0.9140625,,,
6,1299,,,,0.9375,,,
6,1315,,,,,,0.9548333287239075,0.1613510102033615
6,1315,,,0.9254791736602783,,0.2656204104423523,,
7,1349,,,,0.92578125,,,
7,1399,,,,0.92578125,,,
7,1449,,,,0.921875,,,
7,1499,,,,0.94921875,,,
7,1503,,,,,,0.9472500085830688,0.1877877563238144
7,1503,,,0.929562509059906,,0.25117361545562744,,
8,1549,,,,0.9296875,,,
8,1599,,,,0.92578125,,,
8,1649,,,,0.95703125,,,
8,1691,,,,,,0.9570000171661377,0.15910452604293823
8,1691,,,0.9311249852180481,,0.24861329793930054,,
9,1699,,,,0.90625,,,
9,1749,,,,0.91796875,,,
9,1799,,,,0.95703125,,,
9,1849,,,,0.94140625,,,
9,1879,,,,,,0.9587500095367432,0.1530974954366684
9,1879,,,0.9348541498184204,,0.23681941628456116,,
10,1899,,,,0.953125,,,
10,1949,,,,0.95703125,,,
10,1999,,,,0.91796875,,,
10,2049,,,,0.92578125,,,
10,2067,,,,,,0.9559999704360962,0.15730790793895721
10,2067,,,0.9349583387374878,,0.2391519844532013,,
11,2099,,,,0.9453125,,,
