epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,4,,,,,235.9923553466797,,
0,5,,,,,,136109.703125,235.846923828125
0,5,,,676052.125,506.2148742675781,,,
1,9,,,,,254.11907958984375,,
1,11,,,,,,125702.9609375,241.98226928710938
1,11,,,150212.0,258.5352783203125,,,
2,14,,,,,272.3420104980469,,
2,17,,,,,,142275.671875,246.9897918701172
2,17,,,144795.40625,258.0920715332031,,,
3,19,,,,,283.0638732910156,,
3,23,,,,,,124102.4375,242.17498779296875
3,23,,,156104.234375,244.33399963378906,,,
4,24,,,,,252.91383361816406,,
4,29,,,,,238.2476348876953,,
4,29,,,,,,124646.8359375,243.70883178710938
4,29,,,145744.953125,250.19483947753906,,,
5,34,,,,,177.4301300048828,,
5,35,,,,,,131718.546875,243.42198181152344
5,35,,,137310.390625,245.6333770751953,,,
6,39,,,,,259.6325988769531,,
6,41,,,,,,125047.1953125,245.85121154785156
6,41,,,179231.234375,270.9996032714844,,,
7,44,,,,,299.52508544921875,,
7,47,,,,,,129880.4609375,244.69598388671875
7,47,,,149612.984375,251.29856872558594,,,
8,49,,,,,370.06573486328125,,
8,53,,,,,,131498.671875,247.44764709472656
8,53,,,136180.140625,257.7181396484375,,,
9,54,,,,,186.2185516357422,,
9,59,,,,,109.37125396728516,,
9,59,,,,,,121997.2109375,244.49188232421875
9,59,,,148482.40625,248.27304077148438,,,
10,64,,,,,272.1259460449219,,
10,65,,,,,,130256.640625,244.70370483398438
10,65,,,137182.765625,238.25265502929688,,,
11,69,,,,,237.0795135498047,,
11,71,,,,,,119870.1171875,246.43699645996094
11,71,,,152002.078125,244.11660766601562,,,
12,74,,,,,301.8501892089844,,
12,77,,,,,,129984.234375,265.28338623046875
12,77,,,151785.65625,253.2043914794922,,,
13,79,,,,,306.5403747558594,,
13,83,,,,,,127477.9453125,246.33595275878906
13,83,,,147561.703125,246.0388641357422,,,
14,84,,,,,260.0251159667969,,
14,89,,,,,414.7224426269531,,
14,89,,,,,,129798.984375,246.74403381347656
14,89,,,177670.859375,275.56927490234375,,,
15,94,,,,,264.8218078613281,,
15,95,,,,,,125286.0703125,246.98809814453125
15,95,,,161850.734375,261.05157470703125,,,
16,99,,,,,233.6302032470703,,
16,101,,,,,,126398.1875,248.18685913085938
16,101,,,134187.5625,242.85044860839844,,,
17,104,,,,,235.27310180664062,,
17,107,,,,,,159133.453125,272.4674072265625
17,107,,,135261.890625,246.4479522705078,,,
18,109,,,,,300.5482482910156,,
18,113,,,,,,143664.65625,261.0436096191406
18,113,,,131469.765625,242.92269897460938,,,
19,114,,,,,238.61663818359375,,
19,119,,,,,176.1298828125,,
19,119,,,,,,118634.8359375,247.026123046875
19,119,,,155302.0,259.9173583984375,,,
20,124,,,,,264.9268798828125,,
20,125,,,,,,141979.625,283.4359130859375
20,125,,,148145.96875,249.59567260742188,,,
21,129,,,,,246.23013305664062,,
21,131,,,,,,150162.546875,265.72869873046875
21,131,,,149867.953125,261.52252197265625,,,
22,134,,,,,183.668212890625,,
22,137,,,,,,151537.3125,265.3807067871094
22,137,,,145599.0,251.27536010742188,,,
23,139,,,,,248.25765991210938,,
23,143,,,,,,124598.875,244.59498596191406
23,143,,,135545.265625,250.2881622314453,,,
24,144,,,,,267.8244934082031,,
24,149,,,,,293.1816101074219,,
24,149,,,,,,116819.5234375,245.7038116455078
24,149,,,150070.65625,257.0762939453125,,,
25,154,,,,,208.05203247070312,,
25,155,,,,,,116530.2734375,243.61305236816406
25,155,,,144256.890625,245.12078857421875,,,
26,159,,,,,262.6937255859375,,
26,161,,,,,,131648.546875,252.16831970214844
26,161,,,150767.09375,260.5932922363281,,,
27,164,,,,,214.53460693359375,,
27,167,,,,,,120456.890625,255.10214233398438
27,167,,,147466.484375,263.9248352050781,,,
28,169,,,,,237.75045776367188,,
28,173,,,,,,139120.65625,256.43096923828125
28,173,,,115110.140625,234.40353393554688,,,
29,174,,,,,261.26165771484375,,
29,179,,,,,315.16650390625,,
29,179,,,,,,115082.1875,242.4314422607422
29,179,,,143848.78125,258.8424377441406,,,
30,184,,,,,413.6424255371094,,
30,185,,,,,,117525.6875,242.19403076171875
30,185,,,146391.25,256.4819641113281,,,
31,189,,,,,238.40658569335938,,
31,191,,,,,,113274.9140625,239.42202758789062
31,191,,,138509.84375,250.54861450195312,,,
32,194,,,,,226.75936889648438,,
32,197,,,,,,129927.84375,250.0554656982422
32,197,,,130030.21875,246.75881958007812,,,
33,199,,,,,269.14215087890625,,
33,203,,,,,,132303.84375,248.31980895996094
33,203,,,132257.609375,251.17062377929688,,,
34,204,,,,,313.29541015625,,
34,209,,,,,208.2291717529297,,
34,209,,,,,,113655.2109375,235.50741577148438
34,209,,,129651.734375,248.5257110595703,,,
35,214,,,,,202.15914916992188,,
35,215,,,,,,120874.1875,241.63551330566406
35,215,,,110072.5859375,227.10166931152344,,,
36,219,,,,,221.72703552246094,,
36,221,,,,,,121599.0390625,261.9521179199219
36,221,,,105406.078125,225.65113830566406,,,
37,224,,,,,212.26229858398438,,
37,227,,,,,,109808.9609375,239.8022003173828
37,227,,,124062.6171875,244.5114288330078,,,
38,229,,,,,210.29092407226562,,
38,233,,,,,,106507.4375,235.73655700683594
38,233,,,121483.09375,236.25448608398438,,,
39,234,,,,,198.6461639404297,,
39,239,,,,,198.4144744873047,,
39,239,,,,,,113301.25,235.2421417236328
39,239,,,109033.265625,219.87991333007812,,,
40,244,,,,,226.46307373046875,,
40,245,,,,,,165179.5,275.1911926269531
40,245,,,130874.0,251.5813446044922,,,
41,249,,,,,298.32696533203125,,
41,251,,,,,,107055.875,231.35345458984375
41,251,,,126399.5234375,229.06129455566406,,,
42,254,,,,,210.73716735839844,,
42,257,,,,,,119380.5234375,232.18865966796875
42,257,,,143374.203125,236.6001739501953,,,
43,259,,,,,217.0661163330078,,
43,263,,,,,,106916.6171875,234.5800323486328
43,263,,,97183.4375,211.15933227539062,,,
44,264,,,,,214.67538452148438,,
44,269,,,,,267.0030822753906,,
44,269,,,,,,111986.3359375,242.16358947753906
44,269,,,109692.640625,217.94371032714844,,,
45,274,,,,,236.45594787597656,,
45,275,,,,,,110992.0234375,242.22381591796875
45,275,,,97318.125,217.73504638671875,,,
46,279,,,,,226.572265625,,
46,281,,,,,,113310.046875,237.81927490234375
46,281,,,106907.9765625,230.64669799804688,,,
47,284,,,,,235.86785888671875,,
47,287,,,,,,103227.71875,229.88136291503906
47,287,,,136556.609375,251.95654296875,,,
48,289,,,,,170.4534454345703,,
48,293,,,,,,127049.7109375,274.26080322265625
48,293,,,110612.9609375,224.52682495117188,,,
49,294,,,,,223.79617309570312,,
49,299,,,,,248.25364685058594,,
49,299,,,,,,107904.6484375,221.83148193359375
49,299,,,104575.2109375,228.5023651123047,,,
50,300,107904.6484375,221.83148193359375,,,,,
