source,author,year,sample,diagnosis,modality,method,accuracy
mirzaei,silva,2019,69,AD/HC,sMRI,DL,96.0
arbabshirani,farzan,2014,85,AD/HC,sMRI,DL,93.7
fahti,ji,2019,615,AD/HC,sMRI,DL,98.59
fahti,cui,2019,662,AD/HC,sMRI,DL,100.0
fahti,shi,2018,202,AD/HC,sMRI/PET,DL,97.13
fahti,yue,2019,4359,AD/HC,sMRI,DL,98.6
fahti,sarraf,2019,1351,AD/HC,sMRI/fMRI,DL,98.75
fahti,hosseini,2018,210,AD/HC,sMRI,DL,99.31
fahti,liu,2018,339,AD/HC,PET,DL,91.2
fahti,abrol,2020,828,AD/HC,sMRI,DL,91.0
fahti,basaia,2019,1638,AD/HC,sMRI,DL,98.2
fahti,jain,2019,150,AD/HC,sMRI,DL,99.14
fahti,jie,2020,174,AD/HC,fMRI,DL,88.0
fahti,kruthika,2019,1941,AD/HC,sMRI,DL,97.6
fahti,li,2018,831,AD/HC,sMRI,DL,89.5
fahti,li,2019,807,AD/HC,sMRI,DL,89.1
fahti,liu,2020,449,AD/HC,sMRI,DL,88.9
fahti,suk,2014,398,AD/HC,sMRI/PET,DL,95.35
fahti,suk,2017,805,AD/HC,sMRI,DL,91.02
fahti,wang,2019,833,AD/HC,sMRI,DL,98.83
fahti,basheera,2019,1820,AD/HC,sMRI,DL,100.0
fahti,billones,2017,900,AD/HC,sMRI,DL,98.33
fahti,li,2020,389,AD/HC,fMRI,DL,97.37
fahti,ortiz,2016,275,AD/HC,sMRI/PET,DL,90.0
fahti,ji,2020,490,AD/HC,sMRI,DL,98.59
fahti,vu,2018,615,AD/HC,sMRI/PET,DL,98.8
fahti,yu,2019,381,AD/HC,sMRI,DL,99.47
fahti,yue,2018,1663,AD/HC,sMRI,DL,95.44
fahti,zheng,2018,962,AD/HC,PET,DL,91.0
fahti,liu,2014,311,AD/HC,sMRI/PET,DL,87.76
fahti,liu,2018,397,AD/HC,sMRI/PET,DL,93.26
fahti,lu,2018,1224,AD/HC,sMRI/PET,DL,84.6
fahti,liu,2015,331,AD/HC,sMRI/PET,DL,91.4
fahti,nanni,2020,773,AD/HC,sMRI,DL,90.8
fahti,odusami,2021,138,AD/HC,fMRI,DL,80.8
fahti,pan,2020,509,AD/HC,sMRI,DL,84.0
fahti,pan,2021,1006,AD/HC,PET,DL,93.13
fahti,zhang,2021,968,AD/HC,sMRI,DL,97.35
fahti,jin,2020,1832,AD/HC,sMRI,DL,92.0
fahti,mehmoo,2021,300,AD/HC,sMRI,DL,98.73
fahti,li,2021,807,AD/HC,sMRI,DL,85.9
fahti,sun,2021,959,AD/HC,PET,DL,90.1
fahti,basheera,2021,377,AD/HC,sMRI,DL,98.0
fahti,kumar,2021,600,AD/HC,sMRI,DL,92.0
fahti,naz,2021,379,AD/HC,sMRI,DL,98.89
fahti,helaly,2021,300,AD/HC,sMRI,DL,97.23
fahti,sethi,2021,365,AD/HC,sMRI,DL,92.56
fahti,song,2021,381,AD/HC,sMRI,DL,94.11
fahti,kamada,2021,360,AD/HC,sMRI,DL,92.3
fahti,kamada,2021,195,AD/HC,PET,DL,98.7
fahti,guan,2022,1340,AD/HC,sMRI,DL,90.7
fahti,zhang,2022,496,AD/HC,sMRI,DL,88.3
fahti,hu,2022,639,AD/HC,sMRI,DL,99.62
fahti,liu,2022,520,AD/HC,sMRI,DL,98.96
ebramhimighahnavieh,suk,2013,202,AD/HC,Multimodal,DL,95.9
ebramhimighahnavieh,gupta,2013,755,AD/HC,sMRI,DL,94.74
ebramhimighahnavieh,li,2014,202,AD/HC,sMRI/PET,DL,91.4
ebramhimighahnavieh,payan,2015,2265,AD/HC,sMRI,DL,95.39
ebramhimighahnavieh,suk,2015,202,AD/HC,Multimodal,DL,98.8
ebramhimighahnavieh,chen,2015,338,AD/HC,sMRI,DL,88.98
ebramhimighahnavieh,li,2015,202,AD/HC,Multimodal,DL,91.4
ebramhimighahnavieh,hosseini,2016,210,AD/HC,sMRI,DL,97.6
ebramhimighahnavieh,billones,2016,900,AD/HC,sMRI,DL,98.33
ebramhimighahnavieh,sarraf,2016,302,AD/HC,sMRI,DL,98.84
ebramhimighahnavieh,sarraf,2016,43,AD/HC,fMRI,DL,96.86
ebramhimighahnavieh,sarraf,2016,302,AD/HC,sMRI/fMRI,DL,100.0
ebramhimighahnavieh,zheng,2016,103,AD/HC,sMRI/PET,DL,97.27
ebramhimighahnavieh,bhatkoti,2016,150,AD/HC,Multimodal,DL,83.14
ebramhimighahnavieh,suk,2016,805,AD/HC,sMRI,DL,91.02
ebramhimighahnavieh,shakeri,2016,560,AD/HC,sMRI,DL,84.0
ebramhimighahnavieh,suk,2016,202,AD/HC,Multimodal,DL,95.09
ebramhimighahnavieh,aderghal,2017,815,AD/HC,sMRI,DL,82.2
ebramhimighahnavieh,cheng,2017,339,AD/HC,PET,DL,91.19
ebramhimighahnavieh,korolev,2017,231,AD/HC,sMRI,DL,88.0
ebramhimighahnavieh,valliani,2017,660,AD/HC,sMRI,DL,81.3
ebramhimighahnavieh,hon,2017,416,AD/HC,sMRI,DL,96.25
ebramhimighahnavieh,karwath,2017,2630,AD/HC,PET,DL,91.6
ebramhimighahnavieh,ortiz,2017,138,AD/HC,sMRI,DL,94.0
ebramhimighahnavieh,li,2017,832,AD/HC,sMRI,DL,91.7
ebramhimighahnavieh,cheng,2017,193,AD/HC,sMRI/PET,DL,89.64
ebramhimighahnavieh,vu,2017,317,AD/HC,sMRI/PET,DL,91.14
ebramhimighahnavieh,majumdar,2017,202,AD/HC,Multimodal,DL,95.4
ebramhimighahnavieh,faturrahman,2017,98,AD/HC,sMRI,DL,91.76
ebramhimighahnavieh,jha,2017,95,AD/HC,sMRI,DL,91.6
ebramhimighahnavieh,shi,2017,338,AD/HC,sMRI,DL,91.95
ebramhimighahnavieh,collazos,2017,694,AD/HC,sMRI,DL,93.2
ebramhimighahnavieh,cheng,2017,428,AD/HC,sMRI,DL,87.15
ebramhimighahnavieh,karasawa,2018,1728,AD/HC,sMRI,DL,94.0
ebramhimighahnavieh,senanayake,2018,515,AD/HC,Multimodal,DL,79.0
ebramhimighahnavieh,liu,2018,856,AD/HC,sMRI,DL,90.56
ebramhimighahnavieh,gao,2018,415,AD/HC,sMRI,DL,89.5
ebramhimighahnavieh,aderghal,2018,815,AD/HC,MRI/DTI,DL,92.5
ebramhimighahnavieh,backstrom,2018,340,AD/HC,sMRI,DL,98.37
ebramhimighahnavieh,cui,2018,428,AD/HC,sMRI,DL,89.69
ebramhimighahnavieh,lu,2018,1051,AD/HC,PET,DL,93.58
ebramhimighahnavieh,choi,2018,492,AD/HC,PET,DL,96.0
ebramhimighahnavieh,wang,2018,196,AD/HC,sMRI,DL,97.65
ebramhimighahnavieh,wegmayr,2018,1790,AD/HC,sMRI,DL,75.0
