residuals,horsepower
-1.416045685195492,130
1.1085199821823863,165
1.7408489818775799,150
-0.25915101812242014,150
-0.8375983516589578,140
6.317396182852956,198
8.789980316633333,220
8.000756649865068,215
9.579203983401605,225
5.054638316023727,190
1.8977436489506516,170
-0.6807036845858825,160
-1.2591510181224201,150
9.579203983401605,225
-0.9406113525733701,95
-2.94061135257337,95
-6.6249218858660655,97
-5.519058686109908,85
0.9544755139510528,88
-6.675003286902395,46
-1.2033692194025996,87
-1.729835019341639,90
0.05938864742662986,95
3.9005938477923934,113
-4.729835019341639,90
4.0007566498650675,215
1.633085649560261,200
4.211532983096802,210
-0.4718274839153125,193
0.9544755139510528,88
2.270164980658361,90
0.05938864742662986,95
-5.151387685805105,100
-7.3621640190368325,105
-7.151387685805105,100
-7.045524486048947,88
-6.151387685805105,100
0.10851998218238634,165
1.6869673157189204,175
-1.7856168180614596,153
-2.25915101812242,150
0.4761909824871893,180
-0.10225635104934838,170
0.6869673157189204,175
-4.572940352268567,110
-6.571040219707406,72
-5.151387685805105,100
-8.045524486048947,88
-3.361213952756252,86
2.270164980658361,90
1.1132703135852893,70
2.0603387137072104,76
1.3240466468170204,65
5.955425580231633,69
-3.4651770199512484,60
-2.8867296864147107,70
-0.9406113525733701,95
-2.308282352878173,80
-8.41224542007317,54
-5.729835019341639,90
-5.361213952756252,86
-0.8914800178176137,165
1.6869673157189204,175
-1.2591510181224201,150
-1.7856168180614596,153
0.7408489818775799,150
3.8958435163894904,208
-2.4699273513541513,155
-2.6807036845858825,160
3.054638316023727,190
-5.6249218858660655,97
-1.2591510181224201,150
-6.416045685195492,130
-4.837598351658958,140
-2.25915101812242,150
-4.257250885561259,112
-5.9396612862927896,76
-5.2033692194025996,87
-3.0445744197683666,69
-4.361213952756252,86
2.5858544473656693,92
-1.6249218858660655,97
0.6917176471218269,80
0.9544755139510528,88
0.6869673157189204,175
-2.25915101812242,150
-4.048374684890689,145
-4.311132551719918,137
-1.2591510181224201,150
3.3173961828529563,198
-3.25915101812242,150
-1.9963931512931907,158
-2.25915101812242,150
7.0007566498650675,215
7.579203983401605,225
0.6869673157189204,175
-5.3621640190368325,105
-8.151387685805105,100
-6.151387685805105,100
-8.045524486048947,88
-1.9406113525733701,95
-6.675003286902395,46
-5.25915101812242,150
-1.575790551110309,167
-0.10225635104934838,170
0.4761909824871893,180
-6.151387685805105,100
-6.045524486048947,88
-7.571040219707406,72
-3.098456085927026,94
-7.729835019341639,90
-7.519058686109908,85
-2.046474552329528,107
0.27016498065836103,90
-2.048374684890689,145
12.36842765016987,230
-3.201469086841442,49
-4.0975060196464455,75
-5.571990285987987,91
-3.257250885561259,112
-1.2591510181224201,150
1.4270596477314328,110
-0.6788035520247213,122
-0.5238090175128107,180
-4.94061135257337,95
-5.151387685805105,100
-9.151387685805105,100
1.6397361135243287,67
-1.308282352878173,80
2.3240466468170204,65
-3.0975060196464455,75
-8.151387685805105,100
-6.572940352268567,110
-5.3621640190368325,105
-1.8375983516589578,140
-3.25915101812242,150
-2.25915101812242,150
-3.837598351658958,140
-2.25915101812242,150
2.1652518471827875,83
-3.3602638864756713,67
-1.6239718195854849,78
-0.7279348867804778,52
1.6926677134024075,61
-0.09750601964644545,75
-4.0975060196464455,75
-2.0975060196464455,75
-0.6249218858660655,97
0.7436991807193216,93
1.6397361135243287,67
-5.94061135257337,95
-5.3621640190368325,105
-13.571040219707406,72
-13.571040219707406,72
2.8977436489506516,170
-2.048374684890689,145
-0.25915101812242014,150
-2.5748404848297284,148
-5.572940352268567,110
-7.3621640190368325,105
-7.572940352268567,110
-6.94061135257337,95
-1.5729403522685672,110
-2.572940352268567,110
-6.573890418549148,129
0.9024939803535545,75
-3.8347481528172125,83
-4.151387685805105,100
-4.623971819585485,78
-0.7827666192197178,96
-3.7288849530610584,71
-0.6249218858660655,97
-6.6249218858660655,97
0.11327031358528927,70
-6.729835019341639,90
-1.9406113525733701,95
-3.045524486048947,88
-2.4670771525124096,98
3.2162833144997016,115
1.4299098465731745,53
1.638786047243748,86
-2.1504376195245243,81
-0.4141455526343307,92
-1.466127086231829,79
0.16525184718278751,83
-0.3375983516589578,140
-0.25915101812242014,150
-5.4944930187320296,120
-1.443461551415112,152
-2.151387685805105,100
-1.3621640190368325,105
-3.1504376195245243,81
-3.229835019341639,90
-2.727934886780478,52
-5.965177019951248,60
0.11327031358528927,70
1.4299098465731745,53
-4.151387685805105,100
-9.623971819585485,78
-4.072940352268567,110
-7.44061135257337,95
0.7711150469389416,71
3.1132703135852893,70
-0.09750601964644545,75
-2.071040219707406,72
-3.8356982190977966,102
-3.25915101812242,150
-7.045524486048947,88
-3.888629818975872,108
-4.4944930187320296,120
4.976190982487189,180
-4.048374684890689,145
-6.416045685195492,130
-3.25915101812242,150
2.297580846877981,68
2.691717647121827,80
5.219133513341447,58
0.7172333807802822,96
4.613270313585289,70
0.45162531510931103,145
-5.572940352268567,110
-1.548374684890689,145
-4.416045685195492,130
-5.072940352268567,110
-2.8621640190368325,105
-5.151387685805105,100
-5.9670771525124096,98
4.476190982487189,180
2.3977436489506516,170
5.554638316023727,190
-0.4169957514760725,149
1.3760281804145151,78
-1.5455244860489472,88
-2.0975060196464455,75
-0.3876797526952913,89
0.5083571801097122,63
6.6652518471827875,83
0.6397361135243287,67
2.876028180414515,78
-2.6249218858660655,97
-1.0729403522685672,110
-1.0729403522685672,110
10.74068617980491,48
6.581891380170674,66
1.0720651132195194,52
10.513270313585288,70
5.634822980048753,60
-2.6729403522685686,110
1.5624016483410408,140
2.204556914987389,139
-4.162164019036833,105
-4.44061135257337,95
-6.3190586861099085,85
-0.9455244860489458,88
-3.651387685805105,100
-6.32983501934164,90
-2.762164019036831,105
-5.719058686109907,85
-3.972940352268566,110
-2.894493018732028,120
2.1516253151093103,145
3.8085199821823856,165
0.10455691498739128,139
-0.3375983516589578,140
0.797580846877981,68
2.55938864742663,95
2.575078114133934,97
2.802493980353553,75
-3.8406113525733687,95
-0.1621640190368332,105
-2.719058686109907,85
-0.7249218858660669,97
-3.37785348574414,103
-3.2052693519637607,125
-0.18371668550029696,115
-2.742511485134532,133
2.7711150469389416,71
0.29758084687798103,68
-0.2837166855002984,115
-6.719058686109907,85
-3.7455244860489465,88
-5.52983501934164,90
-1.9729403522685658,110
-2.416045685195492,130
-1.9738904185491464,129
-1.6532878183662625,138
-0.4268220184272238,135
1.4300726486458473,155
-2.0219088849516496,142
-1.0052693519637614,125
2.24084898187758,150
3.17111504693894,71
4.424046646817022,65
8.39171764712183,80
0.09171764712182551,80
-2.381816552939135,77
2.7947306480362393,125
-1.528884953061059,71
-1.8298350193416404,90
5.313270313585292,70
5.613270313585289,70
2.124046646817021,65
8.25542558023163,69
2.6701649806583596,90
7.016283314499702,115
5.016283314499702,115
7.770164980658361,90
13.56033871370721,76
7.634822980048753,60
3.2132703135852907,70
7.524046646817023,65
2.270164980658361,90
0.35447551395105137,88
-1.4298350193416383,90
-6.6298350193416375,90
6.676028180414512,78
4.070164980658362,90
3.2024939803535553,75
11.58585444736567,92
4.102493980353557,75
16.924046646817022,65
4.537835980963166,105
11.124046646817018,65
11.940686179804906,48
11.040686179804908,48
7.039736113524327,67
0.6397361135243287,67
15.23973611352433,67
4.439736113524326,67
-0.34948755324393943,62
13.599643781511816,132
-0.4513876858051056,100
8.954475513951053,88
3.8289597802925925,72
0.5230965805364391,84
-0.07690341946355872,84
0.38585444736567,92
0.9270596477314328,110
3.32309658053644,84
8.319133513341448,58
9.166201913463368,64
4.634822980048753,60
2.939736113524326,67
7.3240466468170204,65
7.550512446756063,62
4.8975808468779825,68
4.708357180109715,63
4.724046646817019,65
0.22404664681701902,65
4.744649246999902,74
5.602493980353557,75
4.302493980353553,75
8.748612314194894,100
3.3446492469999036,74
0.7917176471218283,80
2.7603387137072097,76
3.774128047853356,116
3.2055069812679697,120
-0.17294035226856863,110
3.237835980963169,105
-5.845524486048948,88
-8.919058686109906,85
1.9544755139510528,88
0.9544755139510528,88
7.954475513951053,88
4.480941313890092,85
2.32309658053644,84
1.270164980658361,90
-1.4141455526343307,92
7.744649246999902,74
7.797580846877981,68
1.797580846877981,68
8.008357180109712,63
7.113270313585289,70
9.954475513951053,88
7.9024939803535545,75
5.113270313585289,70
8.639736113524329,67
2.6397361135243287,67
8.639736113524329,67
2.427059647731433,110
11.480941313890092,85
0.5858544473656693,92
-0.25725088556125897,112
7.217233380780282,96
9.32309658053644,84
1.270164980658361,90
0.6387860472437481,86
12.272065113219522,52
5.32309658053644,84
0.533872913768171,79
4.007407113829132,82
