source,author,year,sample,diagnosis,modality,method,accuracy
mirzaei,martinez-murcia,2016,360,AD/HC,sMRI,ML,80.0
mirzaei,bi,2018,60,AD/HC,fMRI,ML,94.0
mirzaei,alickovic,2019,267,AD/HC,sMRI,ML,85.0
mirzaei,silva,2019,69,AD/HC,sMRI,DL,96.0
mirzaei,lella,2020,80,AD/HC,Multimodal,ML,74.0
mirzaei,bi,2020,72,AD/HC,Multimodal,ML,87.0
arbabshirani,grana,2011,45,AD/HC,dMRI,ML,100.0
arbabshirani,wu,2013,31,AD/HC,rsfMRI,ML,100.0
arbabshirani,khazaee,2015,40,AD/HC,rsfMRI,ML,100.0
arbabshirani,zhang,2015,126,AD/HC,sMRI,ML,92.3
arbabshirani,zhang,2011,100,AD/HC,sMRI,ML,90.0
arbabshirani,wang,2007,44,AD/HC,sMRI,ML,82.85
arbabshirani,vemuri,2008,380,AD/HC,sMRI,ML,87.44
arbabshirani,sabuncu,2012,300,AD/HC,sMRI,ML,93.0
arbabshirani,polat,2012,62,AD/HC,sMRI,ML,76.5
arbabshirani,oliveira,2010,34,AD/HC,sMRI,ML,88.2
arbabshirani,miller,2009,101,AD/HC,sMRI,ML,77.0
arbabshirani,mahanand,2012,60,AD/HC,sMRI,ML,98.4
arbabshirani,magnin,2009,38,AD/HC,sMRI,ML,94.5
arbabshirani,li,2007,39,AD/HC,sMRI,ML,89.75
arbabshirani,lerch,2008,36,AD/HC,sMRI,ML,95.0
arbabshirani,lee,2014,117,AD/HC,sMRI,ML,87.5
arbabshirani,hinrichs,2009,183,AD/HC,sMRI,ML,82.0
arbabshirani,hidalgo,2014,370,AD/HC,sMRI,ML,94.7
arbabshirani,hampel,2002,55,AD/HC,sMRI,ML,92.5
arbabshirani,frisoni,1996,77,AD/HC,sMRI,ML,84.0
arbabshirani,freeborough,1998,66,AD/HC,sMRI,ML,91.0
arbabshirani,farzan,2015,60,AD/HC,sMRI,ML,91.7
arbabshirani,farzan,2014,85,AD/HC,sMRI,DL,93.7
arbabshirani,decarli,1995,60,AD/HC,sMRI,ML,100.0
arbabshirani,cuingnet,2013,299,AD/HC,sMRI,ML,87.0
arbabshirani,coupe,2012,100,AD/HC,sMRI,ML,93.0
arbabshirani,chen,2014,212,AD/HC,sMRI,ML,78.5
arbabshirani,behesti,2015,260,AD/HC,sMRI,ML,86.0
arbabshirani,batmanghelich,2012,117,AD/HC,sMRI,ML,88.0
arbabshirani,arimura,2008,54,AD/HC,sMRI,ML,90.9
arbabshirani,adaszewksi,2013,448,AD/HC,sMRI,ML,72.0
arbabshirani,abdulkadir,2011,417,AD/HC,sMRI,ML,87.0
arbabshirani,li,2014,36,AD/HC,sMRI/dMRI,ML,94.3
arbabshirani,dyrba,2013,280,AD/HC,sMRI/dMRI,ML,77.75
arbabshirani,dukart,2013,90,AD/HC,sMRI/PET,ML,93.0
arbabshirani,dai,2012,38,AD/HC,sMRI/rsfMRI,ML,89.5
arbabshirani,dyrba,2015,53,AD/HC,sMRI/rsfMRI/dMRI,ML,79.5
fahti,ji,2019,615,AD/HC,sMRI,DL,98.59
fahti,cui,2019,662,AD/HC,sMRI,DL,100.0
fahti,shi,2018,202,AD/HC,sMRI/PET,DL,97.13
fahti,yue,2019,4359,AD/HC,sMRI,DL,98.6
fahti,sarraf,2019,1351,AD/HC,sMRI/fMRI,DL,98.75
fahti,hosseini,2018,210,AD/HC,sMRI,DL,99.31
fahti,liu,2018,339,AD/HC,PET,DL,91.2
fahti,abrol,2020,828,AD/HC,sMRI,DL,91.0
fahti,basaia,2019,1638,AD/HC,sMRI,DL,98.2
fahti,cui,2019,830,AD/HC,sMRI,DL,91.33
fahti,jain,2019,150,AD/HC,sMRI,DL,99.14
fahti,jie,2020,174,AD/HC,fMRI,DL,88.0
fahti,kruthika,2019,1941,AD/HC,sMRI,DL,97.6
fahti,li,2018,831,AD/HC,sMRI,DL,89.5
fahti,li,2019,807,AD/HC,sMRI,DL,89.1
fahti,liu,2020,449,AD/HC,sMRI,DL,88.9
fahti,suk,2014,398,AD/HC,sMRI/PET,DL,95.35
fahti,suk,2017,805,AD/HC,sMRI,DL,91.02
fahti,wang,2019,833,AD/HC,sMRI,DL,98.83
fahti,basheera,2019,1820,AD/HC,sMRI,DL,100.0
fahti,billones,2017,900,AD/HC,sMRI,DL,98.33
fahti,li,2020,389,AD/HC,fMRI,DL,97.37
fahti,ortiz,2016,275,AD/HC,sMRI/PET,DL,90.0
fahti,ji,2020,490,AD/HC,sMRI,DL,98.59
fahti,vu,2018,615,AD/HC,sMRI/PET,DL,98.8
fahti,yu,2019,381,AD/HC,sMRI,DL,99.47
fahti,yue,2018,1663,AD/HC,sMRI,DL,95.44
fahti,zheng,2018,962,AD/HC,PET,DL,91.0
fahti,liu,2014,311,AD/HC,sMRI/PET,DL,87.76
fahti,liu,2018,397,AD/HC,sMRI/PET,DL,93.26
fahti,lu,2018,1224,AD/HC,sMRI/PET,DL,84.6
fahti,liu,2015,331,AD/HC,sMRI/PET,DL,91.4
fahti,nanni,2020,773,AD/HC,sMRI,DL,90.8
fahti,odusami,2021,138,AD/HC,fMRI,DL,80.8
fahti,pan,2020,509,AD/HC,sMRI,DL,84.0
fahti,pan,2021,1006,AD/HC,PET,DL,93.13
fahti,zhang,2021,968,AD/HC,sMRI,DL,97.35
fahti,zhang,2021,1407,AD/HC,sMRI,DL,91.3
fahti,jin,2020,1832,AD/HC,sMRI,DL,92.0
fahti,mehmoo,2021,300,AD/HC,sMRI,DL,98.73
