,source,author,year,sample,diagnosis,modality,method,accuracy
244,shoebi,siar,2019,1111,MS/HC,sMRI,DL,96.88
245,shoebi,eitel,2019,147,MS/HC,sMRI,DL,80.92
246,shoebi,afzal,2019,21,MS/HC,T2,DL,100.0
247,shoebi,alijamaat,2020,58,MS/HC,sMRI,DL,99.05
248,shoebi,shrwan,2021,38,MS/HC,T1,DL,99.55
249,shoebi,wang,2018,64,MS/HC,T2,DL,98.77
250,shoebi,zhang,2018,64,MS/HC,sMRI,DL,91.33
251,shoebi,eitel,2019,147,MS/HC,FLAIR,DL,87.94
252,shoebi,ye,2020,38,MS/HC,FLAIR,DL,93.4
253,shoebi,yoo,2018,99,MS/HC,T1,DL,87.9
566,aslam,ashtiani,2022,20,MS/HC,fMRI,ML,85.0
567,aslam,zhang,2017,72,MS/HC,sMRI,DL,97.8
568,aslam,wang,2016,72,MS/HC,sMRI,ML,97.76
569,aslam,zhang,2016,76,MS/HC,sMRI,ML,97.94
570,aslam,zhang,2019,84,MS/HC,T1/T2,ML,84.5
571,aslam,sacca,2019,37,MS/HC,rsfMRI,ML,85.7
572,aslam,moghadasi,2019,72,MS/HC,sMRI,ML,77.83
573,aslam,rezaee,2020,125,MS/HC,sMRI,ML,97.0
574,aslam,eksi,2021,90,MS/HC,sMRI,DL,100.0
575,aslam,yuling,2021,45,MS/HC,T2,ML,82.7
576,aslam,elsebely,2021,45,MS/HC,FLAIR,ML,98.5
577,aslam,bonamo,2021,20,MS/HC,FLAIR,ML,87.0
578,aslam,jain,2022,192,MS/HC,sMRI,ML,96.55
579,aslam,hahn,2019,64,MS/HC,sMRI,DL,91.95
580,aslam,wu,2017,67,MS/HC,sMRI,ML,89.72
581,aslam,azarmi,2019,20,MS/HC,fMRI,ML,95.0
582,aslam,macin,2022,131,MS/HC,FLAIR,ML,98.37
583,aslam,neeb,2018,97,MS/HC,T1/T2,ML,79.1
584,aslam,zurita,2018,150,MS/HC,dMRI/fMRI,ML,88.9
585,aslam,yoo,2018,99,MS/HC,T1,ML,87.9
586,aslam,eitel,2019,147,MS/HC,T1,DL,87.04
587,aslam,soltani,2020,72,MS/HC,T2,DL,99.66
588,aslam,siar,2019,200,MS/HC,sMRI,DL,96.88
589,aslam,wang,2021,64,MS/HC,sMRI,DL,95.82
590,aslam,wang,2018,64,MS/HC,sMRI,DL,98.77
591,aslam,zhang,2018,64,MS/HC,sMRI,DL,98.23
592,aslam,acar,2022,30,MS/HC,FLAIR,DL,90.3
593,aslam,fooladi,2018,60,MS/HC,T1,DL,90.0
594,aslam,lopatina,2020,132,MS/HC,sMRI,DL,92.0
595,aslam,alijamaat,2021,58,MS/HC,sMRI,DL,99.05
596,aslam,yoo,2019,140,MS/HC,Multimodal,DL,75.0
597,aslam,jannat,2021,30,MS/HC,FLAIR,DL,98.24
598,aslam,zhang,2021,38,MS/HC,FLAIR,DL,95.42
599,aslam,ye,2020,38,MS/HC,Multimodal,DL,93.4
600,aslam,shmueli,2022,39,MS/HC,sMRI,DL,91.0
601,aslam,wang,2020,64,MS/HC,sMRI,DL,98.31
602,aslam,karaca,2017,120,MS/HC,sMRI,DL,99.78
