x,y,assignment_0,assignment_1,assignment_2,assignment_3,assignment_4,assignment_5,assignment_6,assignment_7,assignment_8
-0.02516429234943837,-0.05691321505855924,2,2,2,2,2,2,2,2,2
-0.017615573094965378,0.026151492820401273,2,2,2,2,2,2,2,2,2
-0.0617076687361668,-0.06170684784745903,2,2,2,2,2,2,2,2,2
0.02896064077536957,-0.011628263542354564,2,2,2,2,2,2,2,2,2
-0.0734737192967476,-0.02287199782070177,2,2,2,2,2,2,2,2,2
-0.07317088464062312,-0.07328648767851284,2,2,2,2,2,2,2,2,2
-0.0379018864216983,-0.14566401223288988,3,2,2,2,2,2,2,2,2
-0.13624589162565165,-0.07811437646204863,2,2,2,2,2,2,2,2,2
-0.1006415560167212,-0.03428763337023631,2,2,2,2,2,2,2,2,2
-0.09540120377606055,-0.12061518506676458,2,2,2,2,2,2,2,2,2
0.023282438446077705,-0.06128881502432679,3,2,2,2,2,2,2,2,2
-0.04662358976560381,-0.12123740931067284,3,2,2,2,2,2,2,2,2
-0.07721913622625914,-0.0444538705145067,2,2,2,2,2,2,2,2,2
-0.10754967887111515,-0.031215099082716403,2,2,2,2,2,2,2,2,2
-0.08003193449594026,-0.06458468748966384,2,2,2,2,2,2,2,2,2
-0.08008533061146986,0.04261390922544689,2,2,2,2,2,2,2,2,2
-0.0506748612368967,-0.10288554644779502,3,2,2,2,2,2,2,2,2
-0.008872754394840546,-0.11104218249855112,3,2,2,2,2,2,2,2,2
-0.03955682024976223,-0.14798350619398878,3,2,2,2,2,2,2,2,2
-0.11640930244492154,-0.04015693820654383,2,2,2,2,2,2,2,2,2
-0.013076671000229481,-0.041431585940501475,2,2,2,2,2,2,2,2,2
-0.05578241411941203,-0.06505518477946444,2,2,2,2,2,2,2,2,2
-0.12392609951837137,-0.08599221041973543,2,2,2,2,2,2,2,2,2
-0.07303193854798938,0.0028561113109457845,2,2,2,2,2,2,2,2,2
-0.03281908552157693,-0.1381520077681367,3,2,2,2,2,2,2,2,2
-0.03379580153026025,-0.06925411402081583,2,2,2,2,2,2,2,2,2
-0.08384610001529794,-0.019416185557956607,2,2,2,2,2,2,2,2,2
0.0015499761247975488,-0.003435994044190073,2,2,2,2,2,2,2,2,2
-0.09196087616113194,-0.06546061879256074,2,2,2,2,2,2,2,2,2
-0.033436828429821805,-0.0012227436438820433,2,2,2,2,2,2,2,2,2
-0.0739587118922645,-0.05928294883319086,2,2,2,2,2,2,2,2,2
-0.10531674870030142,-0.10981033120403355,2,2,2,2,2,2,2,2,2
-0.0093737088802901,0.01781200142854114,2,2,2,2,2,2,2,2,2
-0.053600506079016695,0.0001766448946012092,2,2,2,2,2,2,2,2,2
-0.031918198747618295,-0.08225598773025622,3,2,2,2,2,2,2,2,2
-0.03193021972457931,0.02690182832329846,2,2,2,2,2,2,2,2,2
-0.05179130195549758,0.02823218279070032,2,2,2,2,2,2,2,2,2
-0.18098725520448722,-0.00890487478123881,2,2,2,2,2,2,2,2,2
-0.045647646588091444,-0.06495036752329338,2,2,2,2,2,2,2,2,2
-0.045411961173224887,-0.14937844573004466,3,2,2,2,2,2,2,2,2
-0.060983594391875603,-0.03214437142441268,2,2,2,2,2,2,2,2,2
0.023894702237075807,-0.07591351091368237,3,2,2,2,2,2,2,2,2
-0.09042468014465939,-0.07508785217922684,2,2,2,2,2,2,2,2,2
-0.004229894114896292,-0.033562444517015774,2,2,2,2,2,2,2,2,2
-0.07648801018835194,-0.024336628344332197,2,2,2,2,2,2,2,2,2
-0.04514612253259798,-0.001567750473355542,2,2,2,2,2,2,2,2,2
-0.08510265469386763,-0.06638310732988842,2,2,2,2,2,2,2,2,2
-0.06960540765660789,-0.12317574740660593,3,2,2,2,2,2,2,2,2
-0.0351939861467712,-0.036947236391005535,2,2,2,2,2,2,2,2,2
-0.04974432716787696,-0.06172935666875735,2,2,2,2,2,2,2,2,2
0.07923146289747927,0.12896773386173205,2,1,1,1,1,1,1,1,1
0.13286427417366153,0.10988613653891904,2,0,0,0,0,0,0,0,0
0.14193571441669953,0.17020254284072692,1,1,1,1,1,1,1,1,1
0.2443092950605265,0.15872889064159193,0,0,0,0,0,0,0,0,0
0.16287751953613822,0.14627770421169164,0,0,0,0,0,0,0,0,0
0.054061439235047914,0.14867430622753916,2,1,1,1,1,1,1,1,1
0.1530115104970513,0.2731621056242643,1,1,1,1,1,1,1,1,1
0.14038195176094387,0.1650773671166806,1,1,1,1,1,1,1,1,1
0.14826441151473782,0.09156609811902339,3,0,0,0,0,0,0,0,0
0.20714114072575102,0.1875966516343387,0,0,0,0,0,1,1,1,1
0.18955159735215235,0.10453062726026305,0,0,0,0,0,0,0,0,0
0.22013971554680495,0.07990744686038595,3,0,0,0,0,0,0,0,0
0.17934285469001351,0.25952278129049894,0,1,1,1,1,1,1,1,1
0.10047318374346557,0.1216851135198614,2,1,1,1,1,1,1,1,1
0.15498256825438206,0.12482621729419004,0,0,0,0,0,0,0,0,0
0.07246682844669336,0.15342814874030136,2,1,1,1,1,1,1,1,1
0.09688481431369475,0.1736796215317591,1,1,1,1,1,1,1,1,1
0.10402878828830983,0.22749672025087697,1,1,1,1,1,1,1,1,1
0.11083733538318813,0.13389692418971622,2,1,1,1,1,1,1,1,1
0.19067586086848348,0.08845678417830223,3,0,0,0,0,0,0,0,0
0.16137299673020647,0.2153571377141214,0,1,1,1,1,1,1,1,1
0.0696258382719386,0.1592316929266152,1,1,1,1,1,1,1,1,1
0.16299413971242116,0.18909114358886553,0,0,1,1,1,1,1,1,1
0.0881524644560959,0.08397716934578618,2,1,1,0,0,0,0,0,0
0.17609707828084487,0.1648492336616593,0,0,0,0,0,0,1,1,1
0.16252464251729382,0.16732241047484878,0,0,0,0,1,1,1,1,1
0.11599876392107544,0.16161268485805017,1,1,1,1,1,1,1,1,1
0.16465362366493405,0.11428242909868161,0,0,0,0,0,0,0,0,0
0.24328872555723782,0.17369164604558937,0,0,0,0,0,0,0,0,0
0.09043482513986756,0.18282768043169148,1,1,1,1,1,1,1,1,1
0.10126591648863392,0.1893542301871226,1,1,1,1,1,1,1,1,1
0.2079297789503702,0.10896588408241448,0,0,0,0,0,0,0,0,0
0.19816880646221607,0.17063904634682492,0,0,0,0,0,0,0,1,1
0.1911030079997245,0.24483964913269737,0,0,1,1,1,1,1,1,1
0.13773059419985648,0.11231319178212551,2,0,0,0,0,0,0,0,0
0.10552427851872383,0.10920948575172808,2,1,1,0,0,0,0,0,0
0.1461449145292948,0.1670575987408322,1,1,1,1,1,1,1,1,1
0.16383453996650094,0.19135916245180118,0,0,1,1,1,1,1,1,1
0.15065009459389533,0.22267670385786584,1,1,1,1,1,1,1,1,1
0.13676715833810218,0.28600845832948096,1,1,1,1,1,1,1,1,1
0.1812833673882503,0.10714212217918587,0,0,0,0,0,0,0,0,0
0.09645537509694438,0.17412362076215926,1,1,1,1,1,1,1,1,1
0.13882686073370745,0.1857000247046046,1,1,1,1,1,1,1,1,1
0.17366188122867723,0.14635855436715636,0,0,0,0,0,0,0,0,0
0.10766031409657975,0.07425763876570676,2,0,0,0,0,0,0,0,0
0.12767425239664892,0.19281993971617362,1,1,1,1,1,1,1,1,1
0.16070468720651018,0.08771306106440059,3,0,0,0,0,0,0,0,0
0.15865904629255909,0.16926586898644183,0,0,0,1,1,1,1,1,1
0.10580712818994334,0.1576862552972764,1,1,1,1,1,1,1,1,1
0.1529104359223,0.09285148510846883,3,0,0,0,0,0,0,0,0
0.16788936801741416,-0.16304419771675227,3,3,3,3,3,3,3,3,3
0.1780392263184117,-0.0541069026472612,3,3,3,3,3,3,3,3,3
0.20415256215876385,0.006107809850631668,3,3,3,3,0,0,0,0,0
0.20269010260174514,-0.04837673697244266,3,3,3,3,3,3,3,3,3
0.08111653160214544,-0.17596849829770067,3,3,3,3,3,3,3,3,3
0.10310874800424386,-0.12421170364331258,3,3,3,3,3,3,3,3,3
0.175751763360433,-0.036654442540668866,3,3,3,3,3,3,3,3,3
0.17568929754561044,-0.13538347328093905,3,3,3,3,3,3,3,3,3
0.17575238431530238,-0.07780902859268858,3,3,3,3,3,3,3,3,3
0.3426365745327361,-0.061268297328533165,3,3,3,3,3,3,3,3,3
0.17854452553465835,-0.14634652357890415,3,3,3,3,3,3,3,3,3
0.20677828200902995,-0.10297626780309001,3,3,3,3,3,3,3,3,3
0.19770008817466012,-0.2620633670034537,3,3,3,3,3,3,3,3,3
0.1825695625652899,-0.1512193820667145,3,3,3,3,3,3,3,3,3
0.13423653776798272,-0.11262840756965803,3,3,3,3,3,3,3,3,3
0.18794846102466337,-0.16238915909824247,3,3,3,3,3,3,3,3,3
0.1113587392731214,-0.018379434803418235,3,3,3,3,3,3,3,3,3
0.13815906966299954,-0.17150706889803163,3,3,3,3,3,3,3,3,3
0.12573182260854482,-0.1220022243348492,3,3,3,3,3,3,3,3,3
0.15409370696931612,-0.09346297113569543,3,3,3,3,3,3,3,3,3
0.26573292833367546,-0.027936335546694224,3,3,3,3,3,3,3,3,3
0.05663674037041258,-0.17179310755897198,3,3,3,3,3,3,3,3,3
0.18431300951872567,-0.04184181239225202,3,3,3,3,3,3,3,3,3
0.06936420644051741,-0.09948834694902066,3,3,3,3,3,3,3,3,3
0.12640340671052833,-0.14907543255239755,3,3,3,3,3,3,3,3,3
0.2044475298483683,-0.07689482628683647,3,3,3,3,3,3,3,3,3
0.15321400095477314,-0.0900470152213265,3,3,3,3,3,3,3,3,3
0.09611276110353469,-0.13001084385793973,3,3,3,3,3,3,3,3,3
0.11423481453700157,-0.09650989575049906,3,3,3,3,3,3,3,3,3
0.1839798874467338,-0.11926567984308802,3,3,3,3,3,3,3,3,3
0.11348166841414316,-0.0943241327374376,3,3,3,3,3,3,3,3,3
0.16082292947909874,-0.06689346627394767,3,3,3,3,3,3,3,3,3
0.15227859199519067,-0.020699159192732394,3,3,3,3,3,3,3,3,3
0.11741998261970914,-0.16189077494134246,3,3,3,3,3,3,3,3,3
0.25719720446626626,0.006651668732813337,3,3,3,0,0,0,0,0,0
0.18169595111590056,-0.19760438997612512,3,3,3,3,3,3,3,3,3
0.04874287066711963,-0.10758925475177918,3,3,3,3,3,3,3,3,3
0.15932271573847137,-0.07058413967577118,3,3,3,3,3,3,3,3,3
0.1169106767615806,-0.08595040661324838,3,3,3,3,3,3,3,3,3
0.19262166673981118,-0.1311349759910297,3,3,3,3,3,3,3,3,3
0.11037396307836496,-0.11040611251786377,3,3,3,3,3,3,3,3,3
0.14426317792665505,-0.12465004673294165,3,3,3,3,3,3,3,3,3
0.17524936394902285,-0.1294682378472106,3,3,3,3,3,3,3,3,3
0.19328775970850606,-0.05751989514894877,3,3,3,3,3,3,3,3,3
0.08998517964721117,-0.08214922570174764,3,3,3,3,3,3,3,3,3
0.13327493820795258,-0.1346454797630327,3,3,3,3,3,3,3,3,3
0.12625273444195217,-0.05502000622833747,3,3,3,3,3,3,3,3,3
0.1173335383713144,-0.08463502395616954,3,3,3,3,3,3,3,3,3
0.23827271201405484,-0.059356894058052,3,3,3,3,3,3,3,3,3
0.17024908554804777,-0.06851855790381939,3,3,3,3,3,3,3,3,3
