x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.0,0.0,1.7641753285483457e-237,1.8095853115195812e-266,9.79060302200207e-280,0.0
0.002,0.0,3.667859092948656e-236,4.295914267432475e-265,2.7776531370762634e-278,0.0
0.004,0.0,7.561053434314463e-235,1.0114470907816456e-263,7.811490409284072e-277,0.0
0.006,0.0,1.5454349749426426e-233,2.361792581689117e-262,2.177595037549473e-275,0.0
0.008,0.0,3.1319724355887137e-232,5.469547010822985e-261,6.017382997080681e-274,0.0
0.01,0.0,6.293379063782251e-231,1.2562381712234896e-259,1.6482592171748133e-272,0.0
0.012,0.0,1.2538587532132117e-229,2.8615651114004146e-258,4.4753880058519027e-271,0.0
0.014,0.0,2.476920721810115e-228,6.464669095084189e-257,1.204545463420333e-269,0.0
0.016,0.0,4.851481303365274e-227,1.4484382598032614e-255,3.213682894160724e-268,0.0
0.018000000000000002,0.0,9.421832580777516e-226,3.2185828812798654e-254,8.499045769392893e-267,0.0
0.02,0.0,1.8142418004717125e-224,7.093170953790378e-253,2.228048483299674e-265,0.0
0.022,0.0,3.463807276994922e-223,1.5503408047680717e-251,5.789838211277576e-264,0.0
0.024,0.0,6.557088372321535e-222,3.360662882915592e-250,1.491404816752465e-262,0.0
0.026000000000000002,0.0,1.2307422754591303e-220,7.224931634754844e-249,3.808131850422708e-261,0.0
0.028,0.0,2.2904560655096626e-219,1.540471101159857e-247,9.638639430434928e-260,0.0
0.03,0.0,4.2264484677090957e-218,3.257499741665844e-246,2.4182812783463966e-258,0.0
0.032,0.0,7.732642919374319e-217,6.831660020101606e-245,6.0143017719138094e-257,0.0
0.034,0.0,1.402746192163487e-215,1.420951065100562e-243,1.482691982294213e-255,0.0
0.036000000000000004,0.0,2.5230682965327435e-214,2.9311835819852046e-242,3.62329742174309e-254,0.0
0.038,0.0,4.499639078003062e-213,5.996777537156128e-241,8.776964725392805e-253,0.0
0.04,0.0,7.956555901324066e-212,1.216757068471184e-239,2.1075216417221434e-251,0.0
0.042,0.0,1.3949907318180586e-210,2.4485041181263427e-238,5.016341045707043e-250,0.0
0.044,0.0,2.425025396948251e-209,4.8866228443334467e-237,1.1835575753348414e-248,0.0
0.046,0.0,4.17984354013927e-208,9.672256927238636e-236,2.7680826029636123e-247,0.0
0.048,0.0,7.143359795210243e-207,1.8987065516545473e-234,6.417354405560757e-246,0.0
0.05,0.0,1.2104414578225793e-205,3.6965696623733028e-233,1.474756520207905e-244,0.0
0.052000000000000005,0.0,2.033685630274967e-204,7.137579561596215e-232,3.359479131400762e-243,0.0
0.054,0.0,3.3878378460260453e-203,1.3668285795736247e-230,7.585966010341349e-242,0.0
0.056,0.0,5.595774125886839e-202,2.595901212464701e-229,1.6979979414315594e-240,0.0
0.058,0.0,9.164240998546822e-201,4.889599554671942e-228,3.767478203536054e-239,0.0
0.06,0.0,1.4880982044376392e-199,9.13417748953005e-227,8.286128415279721e-238,0.0
0.062,0.0,2.3958821336132804e-198,1.692297142704881e-225,1.806508015097352e-236,0.0
0.064,0.0,3.8247061175598336e-197,3.109530476791653e-224,3.90405069210871e-235,0.0
0.066,0.0,6.053819351379081e-196,5.666619294109575e-223,8.36331251577956e-234,0.0
0.068,0.0,9.500787604736889e-195,1.0241516665629016e-221,1.7759409652316188e-232,0.0
