x,multi-finetuned,multi-frozen,baseline,linear
0.0,5.520148113759619e-08,2.5951633620843067e-17,4.3410954904889426e-15,3.0034908198568985e-21
0.002,6.682931289129272e-08,3.7259128660334474e-17,6.33244611265571e-15,4.6237934912870144e-21
0.004,8.079572924490002e-08,5.3395805807343195e-17,9.215258220331793e-15,7.103173739431821e-21
0.006,9.754723651840512e-08,7.638148639122574e-17,1.3378498002884723e-14,1.0889009001916396e-20
0.008,1.1761066477935064e-07,1.0906254539482025e-16,1.9376308930999937e-14,1.6657361542798677e-20
0.01,1.4160664114297786e-07,1.554424994082809e-16,2.799616762738235e-14,2.5427638481916604e-20
0.012,1.7026513823114758e-07,2.2114167002248231e-16,4.035431349277856e-14,3.873359713025426e-20
0.014,2.0444338408175683e-07,3.140350536596586e-16,5.802901318755178e-14,5.887780995761851e-20
0.016,2.451464535775262e-07,4.451357323324235e-16,8.324616790125752e-14,8.930946844927933e-20
0.018000000000000002,2.9355089828477164e-07,6.298159167678338e-16,1.19137137156079e-13,1.3518404291784615e-19
0.02,3.5103181158100096e-07,8.894913114413076e-16,1.7009592653948763e-13,2.041904634062531e-19
0.022,4.1919376920409433e-07,1.25393999051474e-15,2.4227271767950236e-13,3.077709370160269e-19
0.024,4.999061319460865e-07,1.7644884586588926e-15,3.4425396693366853e-13,4.629157075144187e-19
0.026000000000000002,5.953432471759765e-07,2.478380479732524e-15,4.879970997238631e-13,6.947977738183871e-19
0.028,7.080301392006141e-07,3.4747558145627818e-15,6.901116734614733e-13,1.0406319171424973e-18
0.03,8.408943351008102e-07,4.862815793760263e-15,9.736107315542619e-13,1.5553141459330831e-18
0.032,9.97324532491702e-07,6.792953327949331e-15,1.3702984828833415e-12,2.319644292973087e-18
0.034,1.1812368784623148e-06,9.471893236707846e-15,1.9240167481979534e-12,3.45228777261624e-18
0.036000000000000004,1.3971496944794098e-06,1.3183246655961991e-14,2.6950471433427324e-12,5.127137329391616e-18
0.038,1.6502675499348241e-06,1.831535964999256e-14,3.766064315743473e-12,7.598455257727916e-18
0.04,1.9465756568112737e-06,2.5398968858645384e-14,5.250164930265334e-12,1.123719998918592e-17
0.042,2.2929456290643545e-06,3.515801552829015e-14,7.301666782748456e-12,1.6583392833298267e-17
0.044,2.697253722068781e-06,4.8578078125699784e-14,1.0130594270720998e-11,2.4421435422188805e-17
0.046,3.1685127390206883e-06,6.699834685539131e-14,1.4022055608397041e-11,3.588818932750488e-17
0.048,3.717018861544485e-06,9.223498973505603e-14,1.9362092877602577e-11,5.26277148843095e-17
0.05,4.354514729785846e-06,1.2674629048702923e-13,2.667207262460686e-11,7.701230623280029e-17
0.052000000000000005,5.094370161681227e-06,1.7385325557603748e-13,3.665431299038406e-11,1.1245750423488717e-16
0.054,5.951781960404142e-06,2.3803372604034247e-13,5.0252451947525195e-11,1.638700160243502e-16
0.056,6.9439943115473156e-06,3.2531369111474773e-13,6.87310985111757e-11,2.382831558296553e-16
0.058,8.090541315573943e-06,4.437868720161387e-13,9.378063517327598e-11,3.4575624445870944e-16
0.06,9.413513234441748e-06,6.043032206738919e-13,1.2765473030837192e-10,5.006446907038933e-16
0.062,1.0937848051872191e-05,8.213793912864319e-13,1.7335026677952902e-10,7.233894053473645e-16
0.064,1.2691649952131153e-05,1.1144002963608041e-12,2.3484211190957025e-10,1.043032098821243e-15
0.066,1.4706536309864189e-05,1.509201574144522e-12,3.1738858491082634e-10,1.5007427739455313e-15
0.068,1.7018014750799803e-05,2.040149463911545e-12,4.2792779259031347e-10,2.1547553257554775e-15
0.07,1.9665891787175588e-05,2.752868842614659e-12,5.755904117989491e-10,3.0872573901686522e-15
0.07200000000000001,2.2694714449620775e-05,3.707814078898769e-12,7.723612511293688e-10,4.4139859894075636e-15
0.074,2.6154246225943698e-05,4.984933494870243e-12,1.0339303305846177e-09,6.297560667014925e-15
0.076,3.0099978473774164e-05,6.689749834729079e-12,1.380784643589716e-09,8.96596692451212e-15
0.078,3.459367829526067e-05,8.961270276458153e-12,1.8396046497683718e-09,1.2738119955365152e-14
0.08,3.97039736450349e-05,1.1982255243846878e-11,2.4450454114937124e-09,1.8059138725726156e-14
0.082,4.550697618456023e-05,1.5992521869164083e-11,3.242001750282845e-09,2.5548905638252733e-14
0.084,5.2086942094080226e-05,2.1306143221598944e-11,4.288480588152261e-09,3.6068759932744515e-14
0.08600000000000001,5.9536970705229224e-05,2.8333638002321202e-11,5.659232605970752e-09,5.0812882897247414e-14
0.088,6.795974042084205e-05,3.76105392182309e-11,7.450330487548512e-09,7.143322404620568e-14
0.09,7.746828094188107e-05,4.9834099030056705e-11,9.784923472836211e-09,1.0020987932774515e-13
0.092,8.818678032347657e-05,6.591034849739903e-11,1.2820449036966598e-08,1.4028291397111914e-13
0.094,0.00010025142483220728,8.701430730137043e-11,1.6757643753446374e-08,1.9596704929626093e-13
0.096,0.00011381126897499058,1.1466685654088717e-10,2.1851768502801204e-08,2.731778293333271e-13
0.098,0.00012902913241712402,1.5083268000704867e-10,2.8426550082497852e-08,3.8000740184253227e-13
