x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.0,2.2144795883488697e-62,2.2994330565913375e-07,3.393224428526905e-05,3.8056688670024403e-60,4.9451291314340543e-23
0.002,5.665812478164196e-62,2.6666945436208067e-07,3.733190268673673e-05,8.645203251906083e-60,7.138006175924305e-23
0.004,1.4449983284977895e-61,3.089649777436447e-07,4.1046571854838696e-05,1.9589406830800582e-59,1.028875779318606e-22
0.006,3.6735599034626514e-61,3.576256942234312e-07,4.510274055691331e-05,4.427608679358302e-59,1.4809340849841086e-22
0.008,9.309396775674972e-61,4.1355345519849956e-07,4.952885562602019e-05,9.982033921020465e-59,2.1286060633619805e-22
0.01,2.3516386459782566e-60,4.777691162566632e-07,5.435544134095202e-05,2.2447641582488203e-58,3.055214186098777e-22
0.012,5.921534578944522e-60,5.514269294276756e-07,5.961522381495306e-05,5.035287405304536e-58,4.378999046014988e-22
0.014,1.486320897633906e-59,6.358304895462519e-07,6.534326040203403e-05,1.1266257576119746e-57,6.267507785374364e-22
0.016,3.7188231990017587e-59,7.32450377312626e-07,7.157707410819332e-05,2.5144149761363303e-57,8.957808587989075e-22
0.018000000000000002,9.274982786958416e-59,8.429436514489455e-07,7.835679297127873e-05,5.597525750641142e-57,1.2784847757718504e-21
0.02,2.305872693105471e-58,9.691753524186853e-07,8.572529434759869e-05,1.242959884723737e-56,1.8221169696271112e-21
0.022,5.71442021557663e-58,1.1132421904473267e-06,9.372835401566717e-05,2.753087354199993e-56,2.5932469587905067e-21
0.024,1.4116390182965804e-57,1.2774986009919267e-06,0.00010241479997761615,6.082536693614878e-56,3.685517331967981e-21
0.026000000000000002,3.4760800373678057e-57,1.4645853612791326e-06,0.00011183667080679556,1.3404522571819274e-55,5.230461611770968e-21
0.028,8.53238639387369e-57,1.6774609719781236e-06,0.0001220493783559079,2.9465908098970495e-55,7.412566206142706e-21
0.03,2.0876894406964374e-56,1.919436018397168e-06,0.00013311187460367095,6.460857709719791e-55,1.0490210000398812e-20
0.032,5.09185359459823e-56,2.1942107356753294e-06,0.0001450868223795015,1.413065814307053e-54,1.482473148264851e-20
0.034,1.2379427322862933e-55,2.5059160121566203e-06,0.00015804076966508478,3.082736964499175e-54,2.0920717374288892e-20
0.036000000000000004,3.0001283460130447e-55,2.85915807433946e-06,0.00017204432712898194,6.708299083708961e-54,2.948176087940286e-20
0.038,7.247592173395924e-55,3.259067105330038e-06,0.00018717234850570608,1.4560967444274474e-53,4.1487513275287904e-20
0.04,1.7452686740626442e-54,3.7113500564205106e-06,0.000203504113384038,3.152607552019522e-53,5.830000014591281e-20
0.042,4.1893386941331e-54,4.22234791806998e-06,0.00022112351192086235,6.808500271363993e-53,8.181009610678623e-20
0.044,1.0024051419317946e-53,4.79909772197978e-06,0.00024011923094661378,1.4666783236230606e-52,1.1463902272526675e-19
0.046,2.390868728462586e-53,5.449399549901985e-06,0.00026058494087666614,3.1515206324492936e-52,1.604151209604172e-19
0.048,5.684376178988614e-53,6.181888827059374e-06,0.00028261948278984815,6.754719247994427e-52,2.241534449862135e-19
0.05,1.3471765768044328e-52,7.006114178330022e-06,0.00030632705498093686,1.4440968401596794e-51,3.1277558947573524e-19
0.052000000000000005,3.182591282048992e-52,7.932621123389991e-06,0.0003318173982386413,3.0795495725169327e-51,4.358204811513517e-19
0.054,7.494658482039333e-52,8.973041882525451e-06,0.00035920597904454067,6.550582913558087e-51,6.064148179191036e-19
0.056,1.7592901035200682e-51,1.0140191557523661e-05,0.00038861416983191157,1.389871224515433e-50,8.425959986988565e-19
0.058,4.116590855303e-51,1.1448170941620216e-05,0.0004201694253866574,2.94151485387433e-50,1.1691128483467515e-18
0.06,9.601798404670807e-51,1.2912476198597818e-05,0.00045400545441602103,6.2096824942156015e-50,1.6198729874233227e-18
0.062,2.232451821679781e-50,1.4550115633472855e-05,0.0004902623852546703,1.307584039557999e-49,2.2412640169904927e-18
0.064,5.173997805196179e-50,1.637973375544188e-05,0.0005290869246225448,2.7464499796752857e-49,3.0966536718776764e-18
0.066,1.19532229046233e-49,1.8421742807554464e-05,0.000570632508294913,5.7540766578611545e-49,4.272478203561626e-18
0.068,2.752697128000456e-49,2.069846190660618e-05,0.0006150594424927989,1.2024899626329447e-48,5.886467013786047e-18
0.07,6.3189726317025365e-49,2.3234263900682067e-05,0.0006625350347518067,2.5066237099328084e-48,8.098736207994847e-18
0.07200000000000001,1.4459362716646904e-48,2.6055730010311048e-05,0.0007132337129797829,5.211931432080272e-48,1.1126729051814593e-17
0.074,3.2981200775061846e-48,2.91918122720247e-05,0.0007673371313692782,1.0809612122171243e-47,1.5265306698880785e-17
0.076,7.498914598239778e-48,3.267400374997068e-05,0.0008250342617898323,2.236265658228914e-47,2.0913723450279977e-17
0.078,1.6995932013935215e-47,3.653651642186088e-05,0.0008865214692482856,4.614647639917691e-47,2.8611790489807005e-17
0.08,3.839778706929761e-47,4.081646657972927e-05,0.0009520025699730887,9.498511718712531e-47,3.9088283996545206e-17
0.082,8.64733014081663e-47,4.555406751354965e-05,0.0010216888706515686,1.950178873337419e-46,5.3325644470815745e-17
0.084,1.941209987807014e-46,5.079282916658922e-05,0.001095799187327755,3.993881717077131e-46,7.264631784114092e-17
0.08600000000000001,4.343878082291172e-46,5.657976436538118e-05,0.0011745598424533342,8.158640873655816e-46,9.882780138483849e-17
0.088,9.68941085081002e-46,6.296560113435866e-05,0.0012582046385760718,1.662425920729932e-45,1.3425570315647557e-16
0.09,2.15442682639e-45,7.000500050555716e-05,0.0013469748071491966,3.3788479887626976e-45,1.82127063669463e-16
0.092,4.7750811686503e-45,7.775677912749624e-05,0.0014411189309523284,6.85009938370158e-45,2.467200314143513e-16
0.094,1.0549804254659452e-44,8.628413586458293e-05,0.0015408928386300698,1.3852461698435228e-44,3.3375099838024006e-16
0.096,2.323393008775631e-44,9.56548814594475e-05,0.001646559469878919,2.7942091499766595e-44,4.508468345809981e-16
0.098,5.100533308259197e-44,0.00010594167020591694,0.0017583887098471364,5.622024446934726e-44,6.081683573113464e-16
0.1,1.1161514583301018e-43,0.00011722223245033445,0.001876657191356145,1.1283099446724893e-43,8.192322035835106e-16
0.10200000000000001,2.4346991676811183e-43,0.00012957960660425882,0.0020016480636063667,2.2587385755320854e-43,1.1019925761164395e-15
0.10400000000000001,5.2939778119228954e-43,0.00014310236921294246,0.002133650726095475,4.510299575851034e-43,1.480262842326219e-15
0.106,1.1474494429667561e-42,0.0001578848614821923,0.0022729605265532807,8.983522825305474e-43,1.9855808797847842e-15
0.108,2.4791319100270188e-42,0.00017402741052228036,0.0024198784217851666,1.784801117565212e-42,2.6596529074353083e-15
0.11,5.339251084527504e-42,0.0001916365434224839,0.0025747106004153134,3.536998288750289e-42,3.557550262342606e-15
0.112,1.1462403354358719e-41,0.0002108251921248977,0.0027377680666322663,6.991683124119981e-42,4.751884644704013e-15
0.114,2.452932867760563e-41,0.00023171288692259292,0.0029093661841626955,1.3785752946814013e-41,6.33825288813241e-15
0.116,5.232512462193517e-41,0.00025442593626657806,0.0030898241798345606,2.7113220897515836e-41,8.442326277775593e-15
0.11800000000000001,1.1126267917487882e-40,0.00027909759042975957,0.0032794646062383587,5.319044213868359e-41,1.1229066838270717e-14
0.12,2.3583235547041344e-40,0.00030586818644607184,0.0034786127631545685,1.0408495414268204e-40,1.4914690155196286e-14
0.122,4.982782118194562e-40,0.00033488527162075734,0.0036875960775866815,2.0316279404718396e-40,1.9782169117967812e-14
0.124,1.0494337786834577e-39,0.00036630370279547016,0.003906743442421893,3.955507984979205e-40,2.6201295455355968e-14
0.126,2.203194374011894e-39,0.0004002857184513339,0.004136384513935551,7.681786295183506e-40,3.46545985881907e-14
0.128,4.6106825548492763e-39,0.0004370009806464065,0.0043768489685600724,1.4880723375324582e-39,4.5770779808579016e-14
0.13,9.61816589427628e-39,0.0004766265837132775,0.004628465719553813,2.8753302458181663e-39,6.036777367902229e-14
0.132,2.0000181559515694e-38,0.0005193470265899351,0.004891562094429816,5.5418311434231764e-39,7.950812223174188e-14
0.134,4.14562720872033e-38,0.0005653541456247164,0.005166462974237191,1.0654196735762696e-38,1.0457007141564084e-13
0.136,8.565667008293902e-38,0.0006148470046863152,0.00545348989602907,2.0431017792484643e-38,1.3733871102779205e-13
0.138,1.7641957090662077e-37,0.0006680317394245965,0.005752960120098701,3.9080594252553936e-38,1.8012262588223924e-13
0.14,3.621987681931265e-37,0.0007251213525694447,0.00606518566381901,7.45648558673707e-38,2.3590296514272425e-13
0.14200000000000002,7.412450560915202e-37,0.0007863354572251159,0.006390472304179342,1.4190871694678344e-37,3.085236401453789e-13
0.14400000000000002,1.5121375000239118e-36,0.0008518999652184236,0.0067291185513746795,2.6939270499338374e-37,4.0293361690626086e-13
0.146,3.074931114088242e-36,0.0009220467176924194,0.007081414596066577,5.101107262530128e-37,5.254950864431265e-13
0.148,6.232957009085685e-36,0.0009970130553045825,0.007447641233199204,9.634849765827385e-37,6.84374807424429e-13
0.15,1.2594110663436756e-35,0.0010770413255913175,0.007828068765517263,1.8152117981907217e-36,8.900402849996278e-13
0.152,2.5366205821216515e-35,0.0011623783253000533,0.008222955890193347,3.411234152084412e-36,1.1558878770096099e-12
0.154,5.092817951620614e-35,0.001253274675767154,0.008632548572228631,6.394367953022725e-36,1.4990366483861544e-12
0.156,1.0192375740037396e-34,0.001349984129735017,0.009057078908540976,1.1955991089760457e-35,1.941330124088676e-12
0.158,2.0333274891719603e-34,0.0014527628083553267,0.00949676398689722,2.2298487654892e-35,2.510598382405926e-12
0.16,4.043466709569664e-34,0.0015618683675173407,0.009951804744078729,4.148270826548888e-35,3.242245623255381e-12
0.162,8.015212573609798e-34,0.0016775590930699722,0.010422384827890397,7.697694346574283e-35,4.181243972463154e-12
0.164,1.583765401074808e-33,0.001800092924973328,0.010908669467830473,1.424807162827596e-34,5.3846334862508545e-12
0.166,3.1194734280367304e-33,0.0019297264109180224,0.011410804359430274,2.6305913275462707e-34,6.92465187638097e-12
0.168,6.12472175167694e-33,0.002066713590487193,0.011928914567447154,4.8445399908700205e-34,8.892646319895615e-12
0.17,1.1986877560407015e-32,0.0022113048115046338,0.012463103453248617,8.899253408417764e-34,1.140395497048748e-11
0.17200000000000001,2.3385163378804515e-32,0.002363745480809834,0.013013451631859095,1.630633907896422e-33,1.4603988796737075e-11
0.17400000000000002,4.547674587197187e-32,0.002524274752324239,0.013580015964250717,2.980308567964965e-33,1.8675796745265098e-11
0.176,8.815622535432737e-32,0.002693124155918514,0.014162828590544983,5.43335223854427e-33,2.3849460885541267e-11
0.178,1.7034571961905144e-31,0.002870516171254396,0.01476189600985024,9.880441641481162e-33,3.0413745426101586e-11
0.18,3.2811349835767494e-31,0.0030566627514518143,0.015377198212490116,1.7922010235246607e-32,3.873051701909434e-11
0.182,6.299870215887184e-31,0.0032517638021175746,0.016008687870378367,3.242641613442773e-32,4.925256681684517e-11
0.184,1.2057402010331962e-30,0.0034560056219603854,0.016656289591264126,5.852117665755699e-32,6.254560112704381e-11
0.186,2.3003319571546348e-30,0.003669559311902552,0.01731989924250822,1.0534865972358554e-31,7.931533173801197e-11
0.188,4.374635952476743e-30,0.0038925791602749805,0.01799938334995375,1.891676405444847e-31,1.0044079435974197e-10
0.19,8.292929168962052e-30,0.00412520101234271,0.018694578577322277,3.388180560873468e-31,1.2701526038734717e-10
0.192,1.567070833140418e-29,0.004367540633046235,0.019405291291399722,6.053243064290193e-31,1.6039639065430271e-10
0.194,2.951779634810439e-29,0.004619692072452233,0.0201312972180732,1.0787269949186734e-30,2.022676185574527e-10
0.196,5.542349003443845e-29,0.0048817260439789735,0.02087234119404028,1.91750651488695e-30,2.547131538861217e-10
0.198,1.0373335900199987e-28,0.005153688325989279,0.021628137018737163,3.399883349993396e-30,3.2030947949339356e-10
0.2,1.9353416603853032e-28,0.005435598197820281,0.022398367410719863,6.013025594975e-30,4.0223678410155105e-10
0.202,3.5992456043706364e-28,0.0057274469217371915,0.02318268407238504,1.0607766603426359e-29,5.044144516649033e-10
0.20400000000000001,6.672367429239972e-28,0.006029196282650633,0.023980707866534452,1.8666234875096342e-29,6.316655288789413e-10
0.20600000000000002,1.2329999463894852e-27,0.006340777197717626,0.024792029107869283,3.276358106985737e-29,7.899160384339379e-10
0.20800000000000002,2.2712283208374663e-27,0.006662088408147566,0.025616207972050394,5.736247344908172e-29,9.864361203807953e-10
0.21,4.170356341300842e-27,0.006992995265651702,0.02645277502447833,1.0017658963215842e-28,1.2301312949225722e-09
