x,multi-finetuned,multi-frozen,baseline,linear
0.0,6.191433518560391e-14,1.5820641325191613e-54,7.382870155607328e-26,1.6051040649605513e-37
0.002,8.113609820455497e-14,4.3840880918570146e-54,1.2365048426699761e-25,3.1186681397025323e-37
0.004,1.0618323827349467e-13,1.2096513641310924e-53,2.0658734659402105e-25,6.043366825921611e-37
0.006,1.3877676650048557e-13,3.323280095360631e-53,3.4430946467911873e-25,1.1679723799066253e-36
0.008,1.8113255920219157e-13,9.09074493192408e-53,5.724421393263393e-25,2.2512825910312975e-36
0.01,2.360996008819654e-13,2.4760409232085336e-52,9.49405334879413e-25,4.3278408019856775e-36
0.012,3.07335666574869e-13,6.71493796127172e-52,1.570757792243073e-24,8.297673935363141e-36
0.014,3.9953024858170767e-13,1.813226480451277e-51,2.5924137094820423e-24,1.5866651263925123e-35
0.016,5.186870082323433e-13,4.8751500260698616e-51,4.268123498264289e-24,3.02592397068818e-35
0.018000000000000002,6.72481109292892e-13,1.3051181327176691e-50,7.009826636876442e-24,5.755387521735217e-35
0.02,8.707106051406934e-13,3.4788651251387245e-50,1.1484583840393306e-23,1.0917795460484736e-34
0.022,1.1258657767080217e-12,9.233180221302685e-50,1.8769858006798747e-23,2.0655663999149244e-34
0.024,1.4538461592887765e-12,2.440006655001729e-49,3.060162630403331e-23,3.897509575474489e-34
0.026000000000000002,1.8748622050653415e-12,6.4203205411202375e-49,4.9769798326499976e-23,7.334644094805101e-34
0.028,2.414567409738063e-12,1.682086940698941e-48,8.074677158782846e-23,1.3766220546056155e-33
0.03,3.1054776553907583e-12,4.3879959750163786e-48,1.306840028108717e-22,2.576880177712804e-33
0.032,3.9887479342494415e-12,1.139751263479848e-47,2.109879862071671e-22,4.810802747093403e-33
0.034,5.1163930579505486e-12,2.947678079543088e-47,3.3980606712812266e-22,8.957456330862954e-33
0.036000000000000004,6.554059072830624e-12,7.590600891099178e-47,5.459372164274151e-22,1.663396076043911e-32
0.038,8.384476672771864e-12,1.946249110031252e-46,8.74968691775964e-22,3.080707525616692e-32
0.04,1.0711757861636692e-11,4.968747082175506e-46,1.3988805672888555e-21,5.690482473790799e-32
0.042,1.3666733585445285e-11,1.2630530133194295e-45,2.2310389195999905e-21,1.04831435900388e-31
0.044,1.7413574365573822e-11,3.1968519423507186e-45,3.5495403490476406e-21,1.9260954380618254e-31
0.046,2.215798970993188e-11,8.056562005086107e-45,5.633465362220594e-21,3.5294569948556102e-31
0.048,2.8157367152257596e-11,2.021637591412011e-44,8.919032789037352e-21,6.450328165063536e-31
0.05,3.573329041705545e-11,5.051067919097326e-44,1.408635396720816e-20,1.1757082067791739e-30
0.052000000000000005,4.528697109024864e-11,1.2565781378267996e-43,2.2193113019954478e-20,2.1372784801320027e-30
0.054,5.7318242438195855e-11,3.112592117582987e-43,3.4880020531693787e-20,3.874953541782606e-30
0.056,7.24489013690961e-11,7.676820493577927e-43,5.468575470458472e-20,7.006735295005585e-30
0.058,9.145134933524185e-11,1.885241769799156e-42,8.55284799858769e-20,1.2635974630765957e-29
0.06,1.1528368035633586e-10,4.609769973410444e-42,1.334401312479817e-19,2.27271827234099e-29
0.062,1.451326003063602e-10,1.1223234264454361e-41,2.0768323042943653e-19,4.076864578788766e-29
0.064,1.824658431662469e-10,2.720717270873669e-41,3.2244508941177896e-19,7.293748626485536e-29
0.066,2.290960852850185e-10,6.567127553240382e-41,4.994011958624838e-19,1.3014249283863563e-28
0.068,2.872587573340742e-10,1.5783168189749344e-40,7.715835721096932e-19,2.31596117558574e-28
0.07,3.5970662663431745e-10,3.776936253331424e-40,1.1892031868403643e-18,4.110429954831345e-28
0.07200000000000001,4.4982458268081253e-10,8.999365838589223e-40,1.8283905621210667e-18,7.2759055510582824e-28
0.074,5.617687207670568e-10,2.1350644319886686e-39,2.8042828290289696e-18,1.2844898521583625e-27
0.076,7.006345996541561e-10,5.0435570477445116e-39,4.290567261567519e-18,2.2616121366532283e-27
0.078,8.726604688170254e-10,1.1862871055590953e-38,6.548590066402073e-18,3.971452735549147e-27
0.08,1.0854723413748044e-09,2.778239306286846e-38,9.970598226232001e-18,6.955438171308643e-27
0.082,1.3483790560394888e-09,6.478530565732062e-38,1.5143807670813777e-17,1.2149080626682211e-26
0.084,1.6727269545612215e-09,1.504216829180012e-37,2.2945078773566887e-17,2.116440959490115e-26
0.08600000000000001,2.0723255334934287e-09,3.4775349014192347e-37,3.468045324247929e-17,3.677161676358019e-26
0.088,2.5639574483904206e-09,8.004970363423963e-37,5.229026830976168e-17,6.371814389847912e-26
0.09,3.167988597466906e-09,1.8347427978587383e-36,7.864987277214835e-17,1.101177505776921e-25
0.092,3.909096738415704e-09,4.1871444508630724e-36,1.1800934140412105e-16,1.8979963372460851e-25
0.094,4.817140250593123e-09,9.514545405732742e-36,1.7663473916952984e-16,3.2627006724957085e-25
0.096,5.928192305755359e-09,2.1527101037562224e-35,2.637408480223137e-16,5.5937482746868565e-25
0.098,7.285769921673727e-09,4.849651416794375e-35,3.9284424230464364e-16,9.564723696090706e-25
0.1,8.942292219644501e-09,1.0878350029484664e-34,5.837209545147291e-16,1.6311194353631794e-24
0.10200000000000001,1.0960807772764373e-08,2.4296467183003707e-34,8.652313748015646e-16,2.7742329147716707e-24
0.10400000000000001,1.3417037309305448e-08,5.403198123842449e-34,1.2793857535139297e-15,4.705913081199887e-24
0.106,1.640178532639799e-08,1.196427494881881e-33,1.8871796076778575e-15,7.961386472793874e-24
0.108,2.0023782485200815e-08,2.637847454024691e-33,2.776947297639191e-15,1.3433133642974783e-23
0.11,2.4413030121821696e-08,5.790830321425862e-33,4.0762886391736075e-15,2.2605274656990865e-23
0.112,2.9724728951177996e-08,1.2657850069317702e-32,5.96905148869015e-15,3.7939016166644065e-23
0.114,3.6143886207492135e-08,2.754907837634095e-32,8.719449191111591e-15,6.350474329490635e-23
0.116,4.389070921007579e-08,5.970109535432788e-32,1.2706219055028125e-14,1.0601567646160555e-22
0.11800000000000001,5.322690883252634e-08,1.2882071369498083e-31,1.8470873083820232e-14,1.7651346348814933e-22
0.12,6.446305376443271e-08,2.7676894668206576e-31,2.6785672520466496e-14,2.9310917169049695e-22
0.122,7.79671359747455e-08,5.920758718381785e-31,3.874913246472523e-14,4.854279779122399e-22
0.124,9.417452961253776e-08,1.2611472396096908e-30,5.591984670772985e-14,8.017962535511357e-22
0.126,1.1359954992030466e-07,2.6747471949147407e-30,8.050350510753074e-14,1.3208304290156368e-21
0.128,1.3684884580108708e-07,5.64843707746398e-30,1.1561354415753122e-13,2.170070945007256e-21
0.13,1.646368896932289e-07,1.1876884965711455e-29,1.6563344455544523e-13,3.5558597458975864e-21
0.132,1.978038615887596e-07,2.4865981218967214e-29,2.3671895895612024e-13,5.811110543087784e-21
0.134,2.3733626060740078e-07,5.183672400601347e-29,3.3749243733142146e-13,9.47147189747227e-21
0.136,2.843906177298309e-07,1.075965852139598e-28,4.800001330891492e-13,1.5396415998117916e-20
0.138,3.403207273166927e-07,2.223763148932702e-28,6.810285263156169e-13,2.4961209334997858e-20
0.14,4.0670886309876544e-07,4.576229281942345e-28,9.63909404210816e-13,4.0360397223714654e-20
0.14200000000000002,4.854014966076197e-07,9.376836380162135e-28,1.3609884638637051e-12,6.508622228390063e-20
0.14400000000000002,5.785500926919865e-07,1.9130852719907686e-27,1.916992170441578e-12,1.0468067685162505e-19
0.146,6.886576179713988e-07,3.886349574650307e-27,2.693607231936151e-12,1.679143462198796e-19
0.148,8.186314639177563e-07,7.861022867636294e-27,3.775692463744116e-12,2.6862900746198895e-19
0.15,9.718435567851519e-07,1.5832374052738348e-26,5.279681935481291e-12,4.2860954244394813e-19
0.152,1.1521985018332355e-06,3.174994190638003e-26,7.364921333743777e-12,6.8204744758661855e-19
0.154,1.3642106891504097e-06,6.33971694869097e-26,1.0248919563162355e-11,1.0824582729962214e-18
0.156,1.6130913727475814e-06,1.2604539237481109e-25,1.4227811549136944e-11,1.7133715993216934e-18
0.158,1.9048468232430816e-06,2.4952518751652415e-25,1.9703737440150012e-11,2.704803921511895e-18
0.16,2.2463887470793722e-06,4.9184952590103135e-25,2.722137519419513e-11,4.258570436417668e-18
0.162,2.645658261378336e-06,9.653409258849709e-25,3.7516552402967236e-11,6.687067485252902e-18
