source,author,year,sample,diagnosis,modality,method,accuracy
mirzaei,ortiz-garcia,2016,275,AD/MCI/HC,PET/sMRI,DL,90.0
mirzaei,cheng,2017,807,AD/MCI/HC,sMRI,DL,94.0
mirzaei,farooq,2017,127,AD/MCI/HC,sMRI,DL,98.0
mirzaei,jain,2019,150,AD/MCI/HC,sMRI,DL,95.0
mirzaei,lee,2019,1618,AD/MCI/HC,Multimodal,DL,81.0
mirzaei,silva,2019,69,AD/HC,sMRI,DL,96.0
mirzaei,wada,2019,48,AD/DLB/HC,sMRI,DL,73.0
mirzaei,feng,2020,398,AD/MCI/HC,sMRI,DL,95.74
arbabshirani,farzan,2014,85,AD/HC,sMRI,DL,93.7
arbabshirani,kim,2015,100,SCZ/HC,rsfMRI,DL,86.0
arbabshirani,chyzhyk,2015,144,SCZ/HC,rsfMRI,DL,85.5
fahti,ji,2019,615,AD/HC,sMRI,DL,98.59
fahti,cui,2019,662,AD/HC,sMRI,DL,100.0
fahti,shi,2018,202,AD/HC,sMRI/PET,DL,97.13
fahti,yue,2019,4359,AD/HC,sMRI,DL,98.6
fahti,sarraf,2019,1351,AD/HC,sMRI/fMRI,DL,98.75
fahti,hosseini,2018,210,AD/HC,sMRI,DL,99.31
fahti,liu,2018,339,AD/HC,PET,DL,91.2
fahti,abrol,2020,828,AD/HC,sMRI,DL,91.0
fahti,basaia,2019,1638,AD/HC,sMRI,DL,98.2
fahti,cui,2019,830,AD/HC,sMRI,DL,91.33
fahti,jain,2019,150,AD/HC,sMRI,DL,99.14
fahti,jie,2020,174,AD/HC,fMRI,DL,88.0
fahti,kruthika,2019,1941,AD/HC,sMRI,DL,97.6
fahti,li,2018,831,AD/HC,sMRI,DL,89.5
fahti,li,2019,807,AD/HC,sMRI,DL,89.1
fahti,liu,2020,449,AD/HC,sMRI,DL,88.9
fahti,suk,2014,398,AD/HC,sMRI/PET,DL,95.35
fahti,suk,2017,805,AD/HC,sMRI,DL,91.02
fahti,wang,2019,833,AD/HC,sMRI,DL,98.83
fahti,basheera,2019,1820,AD/HC,sMRI,DL,100.0
fahti,billones,2017,900,AD/HC,sMRI,DL,98.33
fahti,li,2020,389,AD/HC,fMRI,DL,97.37
fahti,ortiz,2016,275,AD/HC,sMRI/PET,DL,90.0
fahti,ji,2020,490,AD/HC,sMRI,DL,98.59
fahti,vu,2018,615,AD/HC,sMRI/PET,DL,98.8
fahti,yu,2019,381,AD/HC,sMRI,DL,99.47
fahti,yue,2018,1663,AD/HC,sMRI,DL,95.44
fahti,zheng,2018,962,AD/HC,PET,DL,91.0
fahti,liu,2014,311,AD/HC,sMRI/PET,DL,87.76
fahti,liu,2018,397,AD/HC,sMRI/PET,DL,93.26
fahti,lu,2018,1224,AD/HC,sMRI/PET,DL,84.6
fahti,liu,2015,331,AD/HC,sMRI/PET,DL,91.4
fahti,nanni,2020,773,AD/HC,sMRI,DL,90.8
fahti,odusami,2021,138,AD/HC,fMRI,DL,80.8
fahti,pan,2020,509,AD/HC,sMRI,DL,84.0
fahti,pan,2021,1006,AD/HC,PET,DL,93.13
fahti,zhang,2021,968,AD/HC,sMRI,DL,97.35
fahti,zhang,2021,1407,AD/HC,sMRI,DL,91.3
fahti,jin,2020,1832,AD/HC,sMRI,DL,92.0
fahti,mehmoo,2021,300,AD/HC,sMRI,DL,98.73
fahti,li,2021,807,AD/HC,sMRI,DL,85.9
fahti,sun,2021,959,AD/HC,PET,DL,90.1
fahti,basheera,2021,377,AD/HC,sMRI,DL,98.0
fahti,kumar,2021,600,AD/HC,sMRI,DL,92.0
fahti,naz,2021,379,AD/HC,sMRI,DL,98.89
fahti,zhang,2021,1461,AD/HC,sMRI,DL,95.2
fahti,helaly,2021,300,AD/HC,sMRI,DL,97.23
fahti,sethi,2021,365,AD/HC,sMRI,DL,92.56
fahti,song,2021,381,AD/HC,sMRI,DL,94.11
fahti,kamada,2021,360,AD/HC,sMRI,DL,92.3
fahti,kamada,2021,195,AD/HC,PET,DL,98.7
fahti,guan,2022,1340,AD/HC,sMRI,DL,90.7
fahti,zhang,2022,496,AD/HC,sMRI,DL,88.3
fahti,hu,2022,639,AD/HC,sMRI,DL,99.62
fahti,liu,2022,520,AD/HC,sMRI,DL,98.96
shoebi,siar,2019,1111,MS/HC,sMRI,DL,96.88
shoebi,eitel,2019,147,MS/HC,sMRI,DL,80.92
shoebi,afzal,2019,21,MS/HC,T2,DL,100.0
shoebi,alijamaat,2020,58,MS/HC,sMRI,DL,99.05
shoebi,shrwan,2021,38,MS/HC,T1,DL,99.55
shoebi,wang,2018,64,MS/HC,T2,DL,98.77
shoebi,zhang,2018,64,MS/HC,sMRI,DL,91.33
shoebi,eitel,2019,147,MS/HC,T1/FLAIR,DL,87.94
shoebi,ye,2020,38,MS/HC,FLAIR/T1,DL,93.4
shoebi,yoo,2018,99,MS/HC,T1,DL,87.9
filipis,pinaya,2016,258,SCZ/PSY/HC,sMRI,DL,73.6
filipis,kim,2016,100,SCZ/HC,rsfMRI,DL,85.8
quaak,dakka,2017,95,SCZ/HC,tfMRI,DL,66.4
quaak,pinaya,2019,75,SCZ/HC,sMRI,DL,70.7
quaak,matsubara,2019,175,SCZ/HC,rsfMRI,DL,71.3
quaak,vyskovsky,2019,104,SCZ/HC,sMRI,DL,73.1
quaak,pinaya,2016,226,SCZ/HC,sMRI,DL,73.6
quaak,ulloa,2015,389,SCZ/HC,sMRI,DL,75.0
quaak,han,2017,70,SCZ/HC,rsfMRI,DL,79.3
quaak,li,2019,183,SCZ/HC,Multimodal,DL,80.5
quaak,lei,2019,747,SCZ/HC,rsfMRI,DL,81.0
quaak,wang,2019,56,SCZ/HC,rsfMRI,DL,82.2
quaak,yang,2019,222,SCZ/HC,rsfMRI,DL,82.8
quaak,yan,2019,1110,SCZ/HC,rsfMRI,DL,83.2
quaak,oh,2019,144,SCZ/HC,tfMRI,DL,84.4
quaak,yan,2017,1110,SCZ/HC,rsfMRI,DL,84.8
quaak,zeng,2018,784,SCZ/HC,rsfMRI/tfMRI,DL,85.0
quaak,kim,2016,100,SCZ/HC,rsfMRI,DL,86.5
quaak,plis,2014,389,SCZ/HC,sMRI,DL,91.0
quaak,chyzhyk,2015,146,SCZ/HC,rsfMRI,DL,91.2
quaak,patel,2016,146,SCZ/HC,rsfMRI,DL,92.0
quaak,srinivasagopalan,2019,144,SCZ/HC,sMRI/rsfMRI,DL,94.4
quaak,quershi,2019,144,SCZ/HC,rsfMRI,DL,98.0
quaak,quershi,2017,144,SCZ/HC,sMRI/rsfMRI,DL,99.3
quaak,matsubara,2019,163,BP/HC,rsfMRI,DL,64.0
quaak,pominova,2018,50,MDD/HC,rsfMRI,DL,73.0
quaak,miholca,2017,39,MDD/HC,tfMRI,DL,92.3
verma,sutcubasi,2019,62,SCZ/HC,DTI,DL,81.25
verma,vyskovsky,2019,104,SCZ/HC,sMRI,DL,73.12
verma,vieira,2020,958,SCZ/HC,sMRI,DL,70.0
wolfers,guo,2014,63,MDD/HC,rsfMRI,DL,90.05
claude,arribas,2010,60,BP/SCZ/HC,tfMRI,DL,71.0
claude,sutsucsabi,2019,103,SCZ/BP/HC,DTI,DL,81.25
aggarwal,vyas,2022,318,PD/HC,T2,DL,88.9
aggarwal,bhan,2021,54,PD/HC,T1,DL,97.62
aggarwal,mozhdehfarahbakhsh,2021,100,PD/HC,sMRI,DL,94.0
aggarwal,kaur,2021,504,PD/HC,T2,DL,89.23
aggarwal,chakraborty,2020,906,PD/HC,T1,DL,95.3
aggarwal,sivaranjini,2020,182,PD/HC,T2,DL,88.9
aggarwal,shah,2018,500,PD/HC,T2,DL,96.87
aggarwal,esmaelizadehet,2018,656,PD/HC,sMRI,DL,82.0
aggarwal,singh,2018,1316,PD/AD/HC,T1,DL,94.29
aggarwal,kurmi,2022,645,PD/HC,SPECT,DL,98.45
aggarwal,dehgan,2022,650,PD/HC,SPECT,DL,95.5
aggarwal,magesh,2020,642,PD/HC,SPECT,DL,95.2
aggarwal,hsu,2020,202,PD/HC,SPECT,DL,85.0
aggarwal,ortiz,2019,269,PD/HC,SPECT,DL,95.1
aggarwal,wenzel,2019,645,PD/HC,SPECT,DL,62.9
aggarwal,martinez,2018,642,PD/HC,SPECT,DL,94.1
aggarwal,kim,2018,153,PD/HC,SPECT,DL,96.3
aggarwal,zhang,2017,1513,PD/HC,SPECT,DL,93.8
aggarwal,challa,2017,686,PD/HC,Multimodal,DL,97.159
aggarwal,yadav,2018,30,PD/HC,fMRI,DL,100.0
ebramhimighahnavieh,suk,2013,202,AD/HC,Multimodal,DL,95.9
ebramhimighahnavieh,gupta,2013,755,AD/HC,sMRI,DL,94.74
ebramhimighahnavieh,liu,2014,311,AD/HC,sMRI/PET,DL,87.76
ebramhimighahnavieh,suk,2014,398,AD/HC,sMRI/PET,DL,95.35
ebramhimighahnavieh,li,2014,202,AD/HC,sMRI/PET,DL,91.4
ebramhimighahnavieh,payan,2015,2265,AD/HC,sMRI,DL,95.39
ebramhimighahnavieh,liu,2015,311,AD/HC,sMRI/PET,DL,91.4
ebramhimighahnavieh,suk,2015,202,AD/HC,Multimodal,DL,98.8
ebramhimighahnavieh,liu,2015,311,AD/HC,sMRI/PET,DL,90.11
ebramhimighahnavieh,chen,2015,338,AD/HC,sMRI,DL,88.98
ebramhimighahnavieh,li,2015,202,AD/HC,Multimodal,DL,91.4
