age,female_ds002424,female_HBN,female_ABCD,female_QTAB,female_PING,female_ADHD200,female_PNC,female_ABIDE-II,female_ds000119,female_ABIDE-I,female_BRAINMINT,female_SLIM,female_QTIM,female_Beijing,female_AOMIC-PIOP2,female_ds000202,female_AOMIC-PIOP1,female_AOMIC-ID1000,female_CoRR,female_HCP,female_FCON1000,female_ds000171,female_TOP,female_SCZ-C,female_NIMH,female_NKI-RS,female_MPI-LEMON,female_ds003592,female_ds004302,female_ds000222,female_SALD,female_IXI,female_DLBS,female_Cam-CAN,female_StrokeMRI,female_PPMI,female_UKBB,female_Tao-Wu,female_ds000245,female_OASIS3,female_NEUROCON,female_MIRIAD,female_ds004392,female_AIBL,female_ADNI,male_ds002424,male_HBN,male_ABCD,male_QTAB,male_PING,male_ADHD200,male_PNC,male_ABIDE-II,male_ds000119,male_ABIDE-I,male_BRAINMINT,male_SLIM,male_QTIM,male_Beijing,male_AOMIC-PIOP2,male_ds000202,male_AOMIC-PIOP1,male_AOMIC-ID1000,male_CoRR,male_HCP,male_FCON1000,male_ds000171,male_TOP,male_SCZ-C,male_NIMH,male_NKI-RS,male_MPI-LEMON,male_ds003592,male_ds004302,male_ds000222,male_SALD,male_IXI,male_DLBS,male_Cam-CAN,male_StrokeMRI,male_PPMI,male_UKBB,male_Tao-Wu,male_ds000245,male_OASIS3,male_NEUROCON,male_MIRIAD,male_ds004392,male_AIBL,male_ADNI
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0060526315789473685,0.0,0.0,0.0,0.0,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421
4,0.0,0.0,0.0,0.0,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.006842105263157895,0.0,0.0,0.0,0.0,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421,0.00631578947368421
5,0.0,0.008157894736842105,0.008157894736842105,0.008157894736842105,0.015789473684210527,0.015789473684210527,0.015789473684210527,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.016578947368421054,0.0,0.016052631578947367,0.016052631578947367,0.016052631578947367,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896,0.026842105263157896
6,0.0,0.01263157894736842,0.01263157894736842,0.01263157894736842,0.021842105263157895,0.021842105263157895,0.021842105263157895,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.023157894736842106,0.02368421052631579,0.02368421052631579,0.02368421052631579,0.02368421052631579,0.02368421052631579,0.02368421052631579,0.02368421052631579,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.024736842105263158,0.0,0.02157894736842105,0.02157894736842105,0.02157894736842105,0.030789473684210526,0.030789473684210526,0.030789473684210526,0.035789473684210524,0.035789473684210524,0.03605263157894737,0.03605263157894737,0.03605263157894737,0.03605263157894737,0.03605263157894737,0.03605263157894737,0.03605263157894737,0.03605263157894737,0.03605263157894737,0.03736842105263158,0.03736842105263158,0.03736842105263158,0.03736842105263158,0.03736842105263158,0.03736842105263158,0.03736842105263158,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786,0.038684210526315786
7,0.0,0.015,0.015,0.015,0.022894736842105263,0.02736842105263158,0.02736842105263158,0.029210526315789475,0.029210526315789475,0.029473684210526315,0.029473684210526315,0.029473684210526315,0.029473684210526315,0.029473684210526315,0.029473684210526315,0.029473684210526315,0.029473684210526315,0.029473684210526315,0.032105263157894734,0.032105263157894734,0.032105263157894734,0.032105263157894734,0.032105263157894734,0.032105263157894734,0.032105263157894734,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.03368421052631579,0.0,0.029473684210526315,0.029473684210526315,0.029473684210526315,0.04026315789473684,0.04710526315789473,0.04710526315789473,0.05605263157894737,0.05605263157894737,0.060263157894736845,0.060263157894736845,0.060263157894736845,0.060263157894736845,0.060263157894736845,0.060263157894736845,0.060263157894736845,0.060263157894736845,0.060263157894736845,0.06157894736842105,0.06157894736842105,0.06157894736842105,0.06157894736842105,0.06157894736842105,0.06157894736842105,0.06157894736842105,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474,0.06210526315789474
8,0.0002631578947368421,0.016842105263157894,0.035789473684210524,0.03605263157894737,0.04631578947368421,0.05947368421052632,0.06210526315789474,0.07131578947368421,0.07210526315789474,0.07710526315789473,0.07710526315789473,0.07710526315789473,0.07710526315789473,0.07710526315789473,0.07710526315789473,0.07710526315789473,0.07710526315789473,0.07710526315789473,0.08078947368421052,0.08078947368421052,0.08105263157894736,0.08105263157894736,0.08105263157894736,0.08105263157894736,0.08105263157894736,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0818421052631579,0.0005263157894736842,0.028157894736842104,0.04815789473684211,0.04842105263157895,0.06157894736842105,0.07631578947368421,0.07763157894736843,0.09736842105263158,0.09736842105263158,0.1081578947368421,0.1081578947368421,0.1081578947368421,0.1081578947368421,0.1081578947368421,0.1081578947368421,0.1081578947368421,0.1081578947368421,0.1081578947368421,0.11157894736842106,0.11157894736842106,0.11157894736842106,0.11157894736842106,0.11157894736842106,0.11157894736842106,0.11157894736842106,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579,0.11368421052631579
9,0.0013157894736842105,0.01368421052631579,0.8213157894736842,0.8313157894736842,0.8457894736842105,0.8594736842105263,0.8671052631578947,0.8763157894736842,0.876578947368421,0.8789473684210526,0.8807894736842106,0.8807894736842106,0.8807894736842106,0.8807894736842106,0.8807894736842106,0.8807894736842106,0.8807894736842106,0.8807894736842106,0.8823684210526316,0.8823684210526316,0.8823684210526316,0.8823684210526316,0.8823684210526316,0.8823684210526316,0.8823684210526316,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.8839473684210526,0.0060526315789473685,0.03710526315789474,0.9110526315789473,0.9223684210526316,0.9336842105263158,0.9510526315789474,0.9576315789473684,0.9765789473684211,0.9768421052631578,0.9905263157894737,0.991578947368421,0.991578947368421,0.991578947368421,0.991578947368421,0.991578947368421,0.991578947368421,0.991578947368421,0.991578947368421,0.9963157894736843,0.9963157894736843,0.9968421052631579,0.9968421052631579,0.9968421052631579,0.9968421052631579,0.9968421052631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
